Coho,Chinook,Pink,Steelhead
251,147,242,001
252,147,242,002
253,150,242,002
254,150,243,003
255,151,243,003
256,151,243,003
256,151,244,003
256,151,244,004
256,151,244,004
256,151,244,004
257,151,244,004
257,151,244,004
257,151,244,004
257,152,244,004
257,152,245,004
257,152,246,004
258,153,247,004
258,153,247,004
258,153,247,004
258,153,247,004
258,153,247,004
258,154,247,004
258,154,248,004
258,154,248,004
258,154,248,004
258,154,248,004
258,154,249,004
258,155,249,004
258,155,249,005
258,155,249,006
259,155,249,006
259,155,249,006
259,155,250,006
259,155,252,007
259,155,253,007
259,155,254,007
260,155,254,007
260,156,254,007
261,156,254,007
261,156,254,007
261,156,254,007
262,156,254,007
262,156,254,007
263,156,254,007
263,156,254,007
263,156,254,007
263,156,255,007
263,157,256,007
263,157,256,007
264,157,256,007
264,157,256,007
264,157,256,007
264,157,257,007
264,157,257,007
264,157,257,007
264,157,257,007
264,157,257,007
264,157,257,007
264,157,257,007
264,157,257,007
265,157,257,007
265,157,257,007
265,157,257,007
265,157,257,007
265,157,257,007
265,157,257,007
265,157,257,007
265,157,257,007
265,157,257,007
266,157,257,007
266,157,257,007
266,157,257,007
266,158,257,007
266,158,257,007
266,158,257,007
266,158,257,007
266,158,257,007
266,158,257,007
266,158,257,007
266,158,257,007
266,158,257,007
266,158,257,007
266,158,257,007
266,158,257,007
266,158,257,007
266,158,257,007
266,159,257,007
266,159,257,007
266,159,257,007
267,159,257,007
267,159,257,007
267,159,257,007
267,159,257,007
267,159,257,007
268,159,257,007
268,159,257,007
268,159,257,007
268,159,257,008
268,159,257,008
268,159,257,008
268,159,257,009
268,159,257,009
268,159,257,009
269,159,257,009
269,159,257,010
269,159,257,010
269,159,257,010
269,160,257,010
269,160,257,011
269,160,257,011
269,160,257,011
269,160,257,011
269,160,257,011
269,160,257,011
269,160,257,011
269,160,257,011
269,160,257,011
269,160,257,011
269,160,257,011
270,160,258,011
270,160,258,011
270,160,258,011
270,160,258,011
270,160,258,011
270,161,258,012
270,161,258,012
270,161,258,012
270,161,258,012
270,161,258,012
270,161,258,012
270,161,258,012
270,161,258,013
270,161,258,013
270,161,258,013
270,161,258,013
270,161,258,013
270,161,258,013
270,161,258,013
271,161,258,013
271,161,258,013
271,161,258,013
271,161,258,013
271,162,258,013
271,162,258,013
271,162,258,013
271,162,258,013
271,162,258,013
271,162,258,013
271,162,258,013
271,162,258,013
271,162,258,013
272,162,259,013
272,162,259,013
272,162,259,013
272,162,259,014
272,162,259,015
272,162,259,015
272,162,259,016
272,162,259,016
272,162,259,016
272,162,259,016
272,162,259,016
272,162,259,016
273,162,259,016
273,162,259,016
273,162,259,016
273,162,259,016
273,162,259,016
273,162,259,016
273,162,259,016
273,162,259,017
273,163,259,017
273,163,259,017
273,163,259,017
273,163,259,017
273,163,259,017
273,163,259,017
273,163,259,017
273,163,259,017
273,163,259,017
274,163,259,018
274,163,259,018
274,163,259,018
274,163,259,018
274,163,259,018
274,163,259,018
274,163,259,019
274,163,259,019
274,163,259,019
274,163,259,019
274,164,259,020
274,164,259,020
274,164,259,020
274,164,259,021
274,164,259,021
274,164,259,021
274,164,259,021
274,164,259,022
274,164,259,022
274,164,259,023
274,164,259,023
274,164,259,023
274,164,259,023
274,165,259,024
274,165,259,024
274,165,259,024
274,165,259,024
274,165,259,024
275,165,259,024
275,165,259,024
275,165,259,024
275,165,259,024
275,165,259,024
275,165,259,024
275,165,259,025
275,165,259,027
275,165,259,027
275,165,259,027
275,165,259,027
275,165,259,027
275,165,259,029
275,165,259,030
275,165,259,031
275,165,259,031
275,165,259,031
275,165,259,031
275,165,259,031
275,165,259,031
275,165,259,032
275,165,259,032
275,165,259,032
275,165,259,032
275,165,259,032
275,166,259,032
275,166,259,032
276,166,259,032
276,166,259,032
276,166,259,032
276,166,259,032
276,166,259,032
276,166,259,032
276,166,259,032
276,166,259,032
276,166,259,033
276,166,259,033
276,166,259,033
276,166,259,034
276,166,259,034
276,166,259,034
276,166,259,035
277,167,259,036
277,167,260,037
277,167,260,037
277,167,260,040
278,167,260,041
278,167,260,042
278,167,260,043
278,167,260,044
278,167,260,045
278,167,260,046
278,167,260,046
278,167,260,047
278,167,260,048
278,167,260,048
278,167,260,048
278,167,260,048
278,167,260,050
278,167,260,051
278,167,260,055
278,167,260,059
278,167,260,059
278,167,260,059
278,167,260,059
278,167,260,059
278,167,260,059
279,167,260,059
279,167,260,059
280,167,260,059
280,167,260,059
280,167,260,059
280,167,260,059
280,167,260,059
280,167,260,059
280,167,260,059
280,167,260,059
280,167,260,059
280,167,260,059
280,167,260,059
280,167,260,059
280,167,260,059
280,167,260,145
280,167,260,146
280,167,260,147
280,167,260,147
280,167,260,147
280,167,260,149
280,167,260,150
281,167,260,150
281,167,260,150
281,167,260,151
281,168,260,151
281,168,260,151
281,168,260,151
281,168,260,151
281,168,260,151
281,168,261,151
281,168,261,151
281,168,261,151
281,168,261,151
281,168,261,151
281,168,261,151
281,168,261,151
281,168,261,151
281,168,261,151
281,168,261,151
281,168,261,151
281,168,261,151
281,168,261,151
281,168,261,151
281,168,261,151
281,169,261,151
282,169,261,152
282,169,261,152
282,169,261,152
282,169,261,152
282,169,261,152
282,169,261,152
282,170,261,152
282,170,261,152
282,170,261,153
282,170,261,153
282,170,261,153
282,170,261,153
282,170,261,153
282,170,261,153
282,170,261,153
282,170,261,153
282,170,261,154
282,170,261,154
282,170,261,154
282,170,261,154
282,170,261,155
282,170,261,155
282,170,261,155
282,170,261,155
282,170,261,155
282,170,261,155
282,170,261,155
282,170,261,155
282,170,261,155
282,170,261,155
282,170,261,155
282,170,261,155
282,170,261,155
282,170,261,155
282,170,261,155
282,170,261,155
282,170,261,155
282,170,261,156
282,171,261,156
283,171,261,156
283,171,261,156
283,171,261,156
283,171,261,156
283,171,261,156
283,171,261,156
283,171,261,156
283,171,261,156
283,171,261,156
283,171,261,156
283,171,261,156
283,171,261,157
283,171,261,157
283,171,261,157
283,171,261,158
283,171,261,158
283,172,261,158
283,172,261,158
283,172,261,158
283,172,261,158
283,172,261,158
283,172,261,158
283,172,261,158
283,172,261,158
283,172,261,158
283,172,261,158
283,172,261,158
283,172,261,158
283,172,261,158
283,172,262,158
283,172,262,158
283,172,262,158
283,172,262,158
283,172,262,159
283,172,262,159
283,172,262,159
283,172,262,159
283,172,262,159
283,172,262,159
283,172,262,159
283,172,262,159
283,172,262,159
283,172,262,159
283,172,262,159
283,172,262,159
283,172,262,159
283,172,262,159
283,172,262,159
283,172,262,159
283,172,262,159
283,172,262,160
283,172,262,160
283,172,262,160
283,172,262,160
283,172,262,160
283,172,262,160
283,172,262,160
283,173,262,160
283,173,262,160
283,173,262,161
283,173,262,161
283,173,262,161
284,173,262,161
284,173,262,161
284,173,262,161
284,173,262,161
284,173,262,161
284,173,262,161
284,173,262,162
284,173,262,162
284,173,262,162
284,173,262,162
284,174,262,163
284,174,262,163
284,174,262,163
284,174,262,163
284,174,262,163
284,174,262,163
284,174,262,164
284,174,262,164
284,174,263,164
284,174,263,164
284,174,263,165
284,174,263,165
284,174,263,165
284,174,263,165
284,174,263,165
284,174,263,165
284,174,263,165
284,174,263,165
284,174,263,166
284,174,263,166
284,174,263,166
284,174,263,166
284,174,263,166
284,174,263,166
284,174,263,166
284,174,263,166
284,174,264,166
284,174,264,166
284,174,264,166
284,174,264,166
284,174,264,166
284,174,264,166
284,174,264,166
284,174,264,166
284,174,264,166
284,174,264,166
284,174,264,167
284,174,264,167
284,174,264,167
284,174,264,167
284,174,264,167
284,174,264,167
284,174,264,167
284,175,264,167
284,175,264,167
284,175,264,167
284,175,264,168
284,175,265,168
284,175,265,168
284,175,265,168
284,175,265,168
284,175,265,168
284,175,265,168
285,175,265,168
285,175,265,168
285,175,265,169
285,175,265,169
285,175,265,170
285,175,265,170
285,175,265,170
285,175,265,170
285,175,265,170
285,175,265,171
285,175,265,171
285,175,265,171
285,175,265,171
286,175,265,171
286,175,265,171
286,175,265,171
286,175,265,171
286,175,265,171
286,175,265,171
286,175,265,171
286,176,265,171
287,176,265,172
287,176,265,172
287,176,265,172
287,176,265,172
287,176,265,172
287,176,265,172
287,176,265,172
287,176,265,172
287,176,265,173
287,177,265,173
287,177,265,173
287,177,265,173
287,177,265,173
287,177,265,173
287,177,265,173
287,177,265,173
287,177,265,173
287,177,265,173
287,177,265,173
287,177,265,173
287,177,266,174
287,177,266,174
287,177,266,174
287,177,266,174
287,177,266,174
287,177,266,174
287,177,266,174
287,177,266,174
287,177,266,174
287,177,266,174
288,177,266,174
288,177,266,174
288,177,266,174
288,177,266,174
288,177,266,174
288,177,266,174
288,177,266,174
288,177,266,174
288,177,266,174
288,178,266,174
288,178,266,174
288,178,266,174
288,178,266,174
288,178,266,174
288,178,266,175
288,178,266,175
288,178,266,175
288,178,266,175
288,178,266,175
289,178,266,175
289,178,266,175
289,178,266,175
289,178,266,175
289,178,266,175
289,178,266,175
289,178,266,176
289,178,266,176
289,178,266,176
289,178,266,176
289,178,266,176
289,178,266,176
289,178,266,176
289,178,266,176
289,178,266,177
289,178,266,177
289,178,266,177
289,178,267,177
289,178,267,177
289,178,267,177
289,178,267,177
289,178,267,177
289,178,267,177
289,178,267,177
289,178,267,177
289,178,267,178
289,178,267,178
289,178,267,178
289,179,267,178
289,179,267,178
289,179,267,178
289,179,267,178
289,179,267,178
289,179,267,178
289,179,267,178
289,179,267,178
289,179,267,178
289,179,267,178
289,179,267,178
289,179,267,179
289,179,267,179
289,179,267,179
289,179,267,179
289,179,267,179
289,179,267,179
289,179,267,180
289,179,267,180
289,179,268,180
289,179,268,180
289,179,268,180
289,179,268,180
289,179,268,180
289,179,268,180
290,179,268,180
290,179,268,181
290,179,268,181
290,179,268,181
290,180,268,181
290,180,268,181
290,180,268,181
290,180,268,181
290,180,268,182
290,180,268,182
290,180,268,183
290,180,268,183
290,180,268,183
290,180,268,184
290,180,268,184
290,180,268,184
290,180,268,184
290,180,268,184
290,180,268,184
290,180,268,184
290,180,268,184
290,180,268,185
290,180,268,185
290,180,268,185
290,180,268,185
290,180,268,185
290,180,268,185
290,180,268,186
290,180,268,186
290,180,268,186
290,180,268,186
290,180,268,186
290,180,268,187
290,180,268,187
290,180,268,187
290,181,268,187
290,181,268,188
290,181,268,188
290,181,268,188
290,181,268,189
290,181,268,191
290,181,268,191
290,181,268,191
290,181,268,192
290,181,268,192
290,181,268,192
290,181,268,192
290,181,268,192
290,181,268,192
290,181,268,192
290,181,268,193
290,181,268,193
290,181,268,193
290,181,268,193
290,181,268,193
290,181,268,193
290,181,268,193
290,181,268,193
290,181,268,193
291,182,268,193
291,182,268,193
291,182,268,193
291,182,268,193
291,182,268,193
291,182,268,193
291,182,268,193
291,182,268,193
291,182,268,193
291,182,268,193
291,182,268,193
291,182,269,193
291,182,269,193
291,182,269,193
291,182,269,193
291,182,269,193
291,182,269,193
291,182,269,193
291,182,269,193
291,182,269,193
291,182,269,193
291,182,269,194
291,182,269,194
291,182,269,194
291,182,269,195
291,182,269,195
291,182,269,195
291,182,269,195
291,182,269,195
291,182,269,196
291,182,269,196
291,182,269,196
291,182,269,196
291,182,269,196
291,182,269,196
291,182,269,196
291,182,269,196
291,182,269,196
291,182,269,196
291,182,269,196
291,183,269,196
291,183,269,196
291,183,269,196
291,183,269,196
291,183,269,196
291,183,269,196
291,183,269,196
291,183,269,196
291,183,269,196
291,183,269,196
291,183,269,196
291,183,269,196
291,183,270,196
291,183,270,196
291,184,270,196
291,184,270,196
291,184,270,196
291,184,270,196
291,184,270,196
291,184,270,196
