Species,Origin,Run,Year,Count
Steelhead,Hatchery,Summer,1997,0
Steelhead,Hatchery,Summer,1998,70
Steelhead,Hatchery,Summer,1999,0
Steelhead,Hatchery,Summer,2000,0
Steelhead,Hatchery,Summer,2001,0
Steelhead,Hatchery,Summer,2002,0
Steelhead,Hatchery,Summer,2003,0
Steelhead,Hatchery,Summer,2004,0
Steelhead,Hatchery,Summer,2005,0
Steelhead,Hatchery,Summer,2006,0
Steelhead,Hatchery,Summer,2007,0
Steelhead,Hatchery,Summer,2008,0
Steelhead,Hatchery,Summer,2009,0
Steelhead,Hatchery,Summer,2010,0
Steelhead,Hatchery,Summer,2011,0
Steelhead,Hatchery,Summer,2012,20
Steelhead,Hatchery,Summer,2013,18
Steelhead,Hatchery,Summer,2014,0
Steelhead,Hatchery,Summer,2015,0
Steelhead,Hatchery,Summer,2016,0
Steelhead,Hatchery,Summer,2017,0
Steelhead,Hatchery,Summer,2018,15
Steelhead,Hatchery,Summer,2019,9
Steelhead,Hatchery,Summer,2020,22
Steelhead,Hatchery,Winter,1997,13
Steelhead,Hatchery,Winter,1998,446
Steelhead,Hatchery,Winter,1999,480
Steelhead,Hatchery,Winter,2000,279
Steelhead,Hatchery,Winter,2001,0
Steelhead,Hatchery,Winter,2002,0
Steelhead,Hatchery,Winter,2003,0
Steelhead,Hatchery,Winter,2004,0
Steelhead,Hatchery,Winter,2005,0
Steelhead,Hatchery,Winter,2006,0
Steelhead,Hatchery,Winter,2007,0
Steelhead,Hatchery,Winter,2008,0
Steelhead,Hatchery,Winter,2009,0
Steelhead,Hatchery,Winter,2010,0
Steelhead,Hatchery,Winter,2011,597
Steelhead,Hatchery,Winter,2012,936
Steelhead,Hatchery,Winter,2013,354
Steelhead,Hatchery,Winter,2014,105
Steelhead,Hatchery,Winter,2015,137
Steelhead,Hatchery,Winter,2016,72
Steelhead,Hatchery,Winter,2017,168
Steelhead,Hatchery,Winter,2018,655
Steelhead,Hatchery,Winter,2019,124
Steelhead,Hatchery,Winter,2020,573
Coho,Hatchery,Type N,1997,0
Coho,Hatchery,Type N,1998,0
Coho,Hatchery,Type N,1999,0
Coho,Hatchery,Type N,2000,0
Coho,Hatchery,Type N,2001,0
Coho,Hatchery,Type N,2002,0
Coho,Hatchery,Type N,2003,0
Coho,Hatchery,Type N,2004,0
Coho,Hatchery,Type N,2005,0
Coho,Hatchery,Type N,2006,0
Coho,Hatchery,Type N,2007,0
Coho,Hatchery,Type N,2008,0
Coho,Hatchery,Type N,2009,0
Coho,Hatchery,Type N,2010,25
Coho,Hatchery,Type N,2011,0
Coho,Hatchery,Type N,2012,0
Coho,Hatchery,Type N,2013,0
Coho,Hatchery,Type N,2014,91
Coho,Hatchery,Type N,2015,19
Coho,Hatchery,Type N,2016,32
Coho,Hatchery,Type N,2017,8
Coho,Hatchery,Type N,2018,16
Coho,Hatchery,Type N,2019,715
Coho,Hatchery,Type N,2020,193
