Species,Origin,Run,Year,Count
Steelhead,Hatchery,Summer,1997,123
Steelhead,Hatchery,Summer,1998,844
Steelhead,Hatchery,Summer,1999,315
Steelhead,Hatchery,Summer,2000,358
Steelhead,Hatchery,Summer,2001,1236
Steelhead,Hatchery,Summer,2002,768
Steelhead,Hatchery,Summer,2003,1122
Steelhead,Hatchery,Summer,2004,1941
Steelhead,Hatchery,Summer,2005,606
Steelhead,Hatchery,Summer,2006,1678
Steelhead,Hatchery,Summer,2007,776
Steelhead,Hatchery,Summer,2008,1010
Steelhead,Hatchery,Summer,2009,620
Steelhead,Hatchery,Summer,2010,1348
Steelhead,Hatchery,Summer,2011,1160
Steelhead,Hatchery,Summer,2012,1461
Steelhead,Hatchery,Summer,2013,551
Steelhead,Hatchery,Summer,2014,995
Steelhead,Hatchery,Summer,2015,651
Steelhead,Hatchery,Summer,2016,666
Steelhead,Hatchery,Summer,2017,192
Steelhead,Hatchery,Summer,2018,275
Steelhead,Hatchery,Summer,2019,117
Steelhead,Hatchery,Summer,2020,169
Steelhead,Hatchery,Winter,1997,190
Steelhead,Hatchery,Winter,1998,1416
Steelhead,Hatchery,Winter,1999,1900
Steelhead,Hatchery,Winter,2000,1105
Steelhead,Hatchery,Winter,2001,2143
Steelhead,Hatchery,Winter,2002,2641
Steelhead,Hatchery,Winter,2003,1621
Steelhead,Hatchery,Winter,2004,4414
Steelhead,Hatchery,Winter,2005,1936
Steelhead,Hatchery,Winter,2006,2729
Steelhead,Hatchery,Winter,2007,1370
Steelhead,Hatchery,Winter,2008,847
Steelhead,Hatchery,Winter,2009,2392
Steelhead,Hatchery,Winter,2010,3002
Steelhead,Hatchery,Winter,2011,1823
Steelhead,Hatchery,Winter,2012,2649
Steelhead,Hatchery,Winter,2013,1703
Steelhead,Hatchery,Winter,2014,2727
Steelhead,Hatchery,Winter,2015,3188
Steelhead,Hatchery,Winter,2016,2204
Steelhead,Hatchery,Winter,2017,2787
Steelhead,Hatchery,Winter,2018,1783
Steelhead,Hatchery,Winter,2019,1044
Steelhead,Hatchery,Winter,2020,1443
