Species,Origin,Run,Year,Count
Chinook,Wild,Fall,1997,53
Chinook,Wild,Fall,1998,222
Chinook,Wild,Fall,1999,46
Chinook,Wild,Fall,2000,10
Chinook,Wild,Fall,2001,38
Chinook,Wild,Fall,2002,0
Chinook,Wild,Fall,2003,0
Chinook,Wild,Fall,2004,15
Chinook,Wild,Fall,2005,35
Chinook,Wild,Fall,2006,23
Chinook,Wild,Fall,2007,10
Chinook,Wild,Fall,2008,0
Chinook,Wild,Fall,2009,0
Chinook,Wild,Fall,2010,4
Chinook,Wild,Fall,2011,9
Chinook,Wild,Fall,2012,17
Chinook,Wild,Fall,2013,13
Chinook,Wild,Fall,2014,2
Chinook,Wild,Fall,2015,27
Chinook,Wild,Fall,2016,53
Chinook,Wild,Fall,2017,31
Chinook,Wild,Fall,2018,40
Chinook,Wild,Fall,2019,31
Chinook,Wild,Fall,2020,14
Chinook,Hatchery,Fall,1997,0
Chinook,Hatchery,Fall,1998,0
Chinook,Hatchery,Fall,1999,0
Chinook,Hatchery,Fall,2000,0
Chinook,Hatchery,Fall,2001,0
Chinook,Hatchery,Fall,2002,0
Chinook,Hatchery,Fall,2003,0
Chinook,Hatchery,Fall,2004,28
Chinook,Hatchery,Fall,2005,37
Chinook,Hatchery,Fall,2006,27
Chinook,Hatchery,Fall,2007,10
Chinook,Hatchery,Fall,2008,0
Chinook,Hatchery,Fall,2009,0
Chinook,Hatchery,Fall,2010,1
Chinook,Hatchery,Fall,2011,5
Chinook,Hatchery,Fall,2012,0
Chinook,Hatchery,Fall,2013,2
Chinook,Hatchery,Fall,2014,0
Chinook,Hatchery,Fall,2015,11
Chinook,Hatchery,Fall,2016,31
Chinook,Hatchery,Fall,2017,3
Chinook,Hatchery,Fall,2018,6
Chinook,Hatchery,Fall,2019,14
Chinook,Hatchery,Fall,2020,11
Sockeye,Unknown,nan,1997,0
Sockeye,Unknown,nan,1998,0
Sockeye,Unknown,nan,1999,0
Sockeye,Unknown,nan,2000,0
Sockeye,Unknown,nan,2001,0
Sockeye,Unknown,nan,2002,0
Sockeye,Unknown,nan,2003,0
Sockeye,Unknown,nan,2004,0
Sockeye,Unknown,nan,2005,0
Sockeye,Unknown,nan,2006,0
Sockeye,Unknown,nan,2007,0
Sockeye,Unknown,nan,2008,0
Sockeye,Unknown,nan,2009,0
Sockeye,Unknown,nan,2010,5498
Sockeye,Unknown,nan,2011,5799
Sockeye,Unknown,nan,2012,12656
Sockeye,Unknown,nan,2013,5136
Sockeye,Unknown,nan,2014,6320
Sockeye,Unknown,nan,2015,2600
Sockeye,Unknown,nan,2016,3207
Sockeye,Unknown,nan,2017,4248
Sockeye,Unknown,nan,2018,3754
Sockeye,Unknown,nan,2019,1753
Sockeye,Unknown,nan,2020,989
Coho,Wild,nan,1997,36
Coho,Wild,nan,1998,31
Coho,Wild,nan,1999,10
Coho,Wild,nan,2000,27
Coho,Wild,nan,2001,31
Coho,Wild,nan,2002,29
Coho,Wild,nan,2003,0
Coho,Wild,nan,2004,29
Coho,Wild,nan,2005,35
Coho,Wild,nan,2006,25
Coho,Wild,nan,2007,3
Coho,Wild,nan,2008,0
Coho,Wild,nan,2009,0
Coho,Wild,nan,2010,0
Coho,Wild,nan,2011,5
Coho,Wild,nan,2012,13
Coho,Wild,nan,2013,1
Coho,Wild,nan,2014,0
Coho,Wild,nan,2015,0
Coho,Wild,nan,2016,0
Coho,Wild,nan,2017,0
Coho,Wild,nan,2018,0
Coho,Wild,nan,2019,0
Coho,Wild,nan,2020,0
