Species,Origin,Run,Year,Count
Chinook,Wild,Spring,1997,0
Chinook,Wild,Spring,1998,0
Chinook,Wild,Spring,1999,1
Chinook,Wild,Spring,2000,0
Chinook,Wild,Spring,2001,0
Chinook,Wild,Spring,2002,0
Chinook,Wild,Spring,2003,0
Chinook,Wild,Spring,2004,95
Chinook,Wild,Spring,2005,301
Chinook,Wild,Spring,2006,97
Chinook,Wild,Spring,2007,55
Chinook,Wild,Spring,2008,108
Chinook,Wild,Spring,2009,107
Chinook,Wild,Spring,2010,85
Chinook,Wild,Spring,2011,77
Chinook,Wild,Spring,2012,90
Chinook,Wild,Spring,2013,0
Chinook,Wild,Spring,2014,37
Chinook,Wild,Spring,2015,99
Chinook,Wild,Spring,2016,47
Chinook,Wild,Spring,2017,33
Chinook,Wild,Spring,2018,38
Chinook,Wild,Spring,2019,12
Chinook,Wild,Spring,2020,62
Chinook,Hatchery,Spring,1997,0
Chinook,Hatchery,Spring,1998,0
Chinook,Hatchery,Spring,1999,0
Chinook,Hatchery,Spring,2000,0
Chinook,Hatchery,Spring,2001,0
Chinook,Hatchery,Spring,2002,0
Chinook,Hatchery,Spring,2003,0
Chinook,Hatchery,Spring,2004,144
Chinook,Hatchery,Spring,2005,509
Chinook,Hatchery,Spring,2006,321
Chinook,Hatchery,Spring,2007,208
Chinook,Hatchery,Spring,2008,981
Chinook,Hatchery,Spring,2009,605
Chinook,Hatchery,Spring,2010,808
Chinook,Hatchery,Spring,2011,327
Chinook,Hatchery,Spring,2012,579
Chinook,Hatchery,Spring,2013,0
Chinook,Hatchery,Spring,2014,108
Chinook,Hatchery,Spring,2015,351
Chinook,Hatchery,Spring,2016,53
Chinook,Hatchery,Spring,2017,104
Chinook,Hatchery,Spring,2018,61
Chinook,Hatchery,Spring,2019,77
Chinook,Hatchery,Spring,2020,107
