Species,Origin,Run,Year,Count
Steelhead,Wild,Summer,1997,0
Steelhead,Wild,Summer,1998,0
Steelhead,Wild,Summer,1999,0
Steelhead,Wild,Summer,2000,0
Steelhead,Wild,Summer,2001,0
Steelhead,Wild,Summer,2002,0
Steelhead,Wild,Summer,2003,0
Steelhead,Wild,Summer,2004,16
Steelhead,Wild,Summer,2005,3
Steelhead,Wild,Summer,2006,35
Steelhead,Wild,Summer,2007,18
Steelhead,Wild,Summer,2008,30
Steelhead,Wild,Summer,2009,20
Steelhead,Wild,Summer,2010,59
Steelhead,Wild,Summer,2011,9
Steelhead,Wild,Summer,2012,0
Steelhead,Wild,Summer,2013,26
Steelhead,Wild,Summer,2014,0
Steelhead,Wild,Summer,2015,0
Steelhead,Wild,Summer,2016,7
Steelhead,Wild,Summer,2017,3
Steelhead,Wild,Summer,2018,0
Steelhead,Wild,Summer,2019,0
Steelhead,Wild,Summer,2020,0
Steelhead,Hatchery,Summer,1997,0
Steelhead,Hatchery,Summer,1998,720
Steelhead,Hatchery,Summer,1999,222
Steelhead,Hatchery,Summer,2000,291
Steelhead,Hatchery,Summer,2001,774
Steelhead,Hatchery,Summer,2002,1710
Steelhead,Hatchery,Summer,2003,480
Steelhead,Hatchery,Summer,2004,850
Steelhead,Hatchery,Summer,2005,1010
Steelhead,Hatchery,Summer,2006,2006
Steelhead,Hatchery,Summer,2007,558
Steelhead,Hatchery,Summer,2008,1497
Steelhead,Hatchery,Summer,2009,2313
Steelhead,Hatchery,Summer,2010,1409
Steelhead,Hatchery,Summer,2011,509
Steelhead,Hatchery,Summer,2012,1081
Steelhead,Hatchery,Summer,2013,942
Steelhead,Hatchery,Summer,2014,861
Steelhead,Hatchery,Summer,2015,322
Steelhead,Hatchery,Summer,2016,1132
Steelhead,Hatchery,Summer,2017,275
Steelhead,Hatchery,Summer,2018,918
Steelhead,Hatchery,Summer,2019,0
Steelhead,Hatchery,Summer,2020,911
