Species,Origin,Run,Year,Count
Chinook,Hatchery,Fall,1997,1595
Chinook,Hatchery,Fall,1998,1500
Chinook,Hatchery,Fall,1999,1000
Chinook,Hatchery,Fall,2000,0
Chinook,Hatchery,Fall,2001,0
Chinook,Hatchery,Fall,2002,0
Chinook,Hatchery,Fall,2003,0
Chinook,Hatchery,Fall,2004,0
Chinook,Hatchery,Fall,2005,0
Chinook,Hatchery,Fall,2006,0
Chinook,Hatchery,Fall,2007,0
Chinook,Hatchery,Fall,2008,0
Chinook,Hatchery,Fall,2009,0
Chinook,Hatchery,Fall,2010,0
Chinook,Hatchery,Fall,2011,0
Chinook,Hatchery,Fall,2012,0
Chinook,Hatchery,Fall,2013,0
Chinook,Hatchery,Fall,2014,0
Chinook,Hatchery,Fall,2015,0
Chinook,Hatchery,Fall,2016,0
Chinook,Hatchery,Fall,2017,0
Chinook,Hatchery,Fall,2018,0
Chinook,Hatchery,Fall,2019,0
Chinook,Hatchery,Fall,2020,0
