Species,Origin,Run,Year,Count
Chinook,Wild,Spring,1997,0
Chinook,Wild,Spring,1998,0
Chinook,Wild,Spring,1999,0
Chinook,Wild,Spring,2000,0
Chinook,Wild,Spring,2001,0
Chinook,Wild,Spring,2002,0
Chinook,Wild,Spring,2003,0
Chinook,Wild,Spring,2004,0
Chinook,Wild,Spring,2005,196
Chinook,Wild,Spring,2006,0
Chinook,Wild,Spring,2007,0
Chinook,Wild,Spring,2008,0
Chinook,Wild,Spring,2009,0
Chinook,Wild,Spring,2010,1022
Chinook,Wild,Spring,2011,1202
Chinook,Wild,Spring,2012,94
Chinook,Wild,Spring,2013,134
Chinook,Wild,Spring,2014,117
Chinook,Wild,Spring,2015,166
Chinook,Wild,Spring,2016,150
Chinook,Wild,Spring,2017,153
Chinook,Wild,Spring,2018,115
Chinook,Wild,Spring,2019,163
Chinook,Wild,Spring,2020,149
Chinook,Wild,Summer,1997,0
Chinook,Wild,Summer,1998,0
Chinook,Wild,Summer,1999,0
Chinook,Wild,Summer,2000,0
Chinook,Wild,Summer,2001,0
Chinook,Wild,Summer,2002,0
Chinook,Wild,Summer,2003,0
Chinook,Wild,Summer,2004,0
Chinook,Wild,Summer,2005,0
Chinook,Wild,Summer,2006,576
Chinook,Wild,Summer,2007,498
Chinook,Wild,Summer,2008,0
Chinook,Wild,Summer,2009,0
Chinook,Wild,Summer,2010,3079
Chinook,Wild,Summer,2011,1321
Chinook,Wild,Summer,2012,545
Chinook,Wild,Summer,2013,526
Chinook,Wild,Summer,2014,792
Chinook,Wild,Summer,2015,624
Chinook,Wild,Summer,2016,805
Chinook,Wild,Summer,2017,570
Chinook,Wild,Summer,2018,373
Chinook,Wild,Summer,2019,451
Chinook,Wild,Summer,2020,390
Chinook,Hatchery,Spring,1997,0
Chinook,Hatchery,Spring,1998,0
Chinook,Hatchery,Spring,1999,0
Chinook,Hatchery,Spring,2000,0
Chinook,Hatchery,Spring,2001,0
Chinook,Hatchery,Spring,2002,0
Chinook,Hatchery,Spring,2003,0
Chinook,Hatchery,Spring,2004,0
Chinook,Hatchery,Spring,2005,88
Chinook,Hatchery,Spring,2006,0
Chinook,Hatchery,Spring,2007,0
Chinook,Hatchery,Spring,2008,0
Chinook,Hatchery,Spring,2009,0
Chinook,Hatchery,Spring,2010,4138
Chinook,Hatchery,Spring,2011,2248
Chinook,Hatchery,Spring,2012,80
Chinook,Hatchery,Spring,2013,69
Chinook,Hatchery,Spring,2014,306
Chinook,Hatchery,Spring,2015,167
Chinook,Hatchery,Spring,2016,154
