Species,Origin,Run,Year,Count
Coho,Hatchery,Late,1997,0
Coho,Hatchery,Late,1998,0
Coho,Hatchery,Late,1999,0
Coho,Hatchery,Late,2000,0
Coho,Hatchery,Late,2001,27
Coho,Hatchery,Late,2002,325
Coho,Hatchery,Late,2003,152
Coho,Hatchery,Late,2004,67
Coho,Hatchery,Late,2005,0
Coho,Hatchery,Late,2006,0
Coho,Hatchery,Late,2007,0
Coho,Hatchery,Late,2008,0
Coho,Hatchery,Late,2009,25
Coho,Hatchery,Late,2010,373
Coho,Hatchery,Late,2011,0
Coho,Hatchery,Late,2012,0
Coho,Hatchery,Late,2013,0
Coho,Hatchery,Late,2014,0
Coho,Hatchery,Late,2015,0
Coho,Hatchery,Late,2016,0
Coho,Hatchery,Late,2017,0
Coho,Hatchery,Late,2018,0
Coho,Hatchery,Late,2019,0
Coho,Hatchery,Late,2020,0
