Species,Origin,Run,Year,Count
Chinook,Hatchery,Spring,1997,0
Chinook,Hatchery,Spring,1998,0
Chinook,Hatchery,Spring,1999,0
Chinook,Hatchery,Spring,2000,1
Chinook,Hatchery,Spring,2001,29
Chinook,Hatchery,Spring,2002,0
Chinook,Hatchery,Spring,2003,52
Chinook,Hatchery,Spring,2004,177
Chinook,Hatchery,Spring,2005,25
Chinook,Hatchery,Spring,2006,16
Chinook,Hatchery,Spring,2007,5
Chinook,Hatchery,Spring,2008,0
Chinook,Hatchery,Spring,2009,0
Chinook,Hatchery,Spring,2010,0
Chinook,Hatchery,Spring,2011,0
Chinook,Hatchery,Spring,2012,0
Chinook,Hatchery,Spring,2013,0
Chinook,Hatchery,Spring,2014,0
Chinook,Hatchery,Spring,2015,0
Chinook,Hatchery,Spring,2016,0
Chinook,Hatchery,Spring,2017,0
Chinook,Hatchery,Spring,2018,0
Chinook,Hatchery,Spring,2019,0
Chinook,Hatchery,Spring,2020,0
Chinook,Hatchery,Fall,1997,3711
Chinook,Hatchery,Fall,1998,1440
Chinook,Hatchery,Fall,1999,2914
Chinook,Hatchery,Fall,2000,1763
Chinook,Hatchery,Fall,2001,3863
Chinook,Hatchery,Fall,2002,2617
Chinook,Hatchery,Fall,2003,3338
Chinook,Hatchery,Fall,2004,2139
Chinook,Hatchery,Fall,2005,1514
Chinook,Hatchery,Fall,2006,1102
Chinook,Hatchery,Fall,2007,0
Chinook,Hatchery,Fall,2008,0
Chinook,Hatchery,Fall,2009,0
Chinook,Hatchery,Fall,2010,0
Chinook,Hatchery,Fall,2011,0
Chinook,Hatchery,Fall,2012,0
Chinook,Hatchery,Fall,2013,0
Chinook,Hatchery,Fall,2014,0
Chinook,Hatchery,Fall,2015,0
Chinook,Hatchery,Fall,2016,0
Chinook,Hatchery,Fall,2017,0
Chinook,Hatchery,Fall,2018,0
Chinook,Hatchery,Fall,2019,0
Chinook,Hatchery,Fall,2020,0
Steelhead,Wild,Winter,1997,0
Steelhead,Wild,Winter,1998,0
Steelhead,Wild,Winter,1999,8
Steelhead,Wild,Winter,2000,74
Steelhead,Wild,Winter,2001,98
Steelhead,Wild,Winter,2002,0
Steelhead,Wild,Winter,2003,32
