Species,Origin,Run,Year,Count
Chinook,Hatchery,Fall,1997,1453
Chinook,Hatchery,Fall,1998,1576
Chinook,Hatchery,Fall,1999,560
Chinook,Hatchery,Fall,2000,350
Chinook,Hatchery,Fall,2001,508
Chinook,Hatchery,Fall,2002,720
Chinook,Hatchery,Fall,2003,816
Chinook,Hatchery,Fall,2004,1230
Chinook,Hatchery,Fall,2005,1306
Chinook,Hatchery,Fall,2006,1023
Chinook,Hatchery,Fall,2007,710
Chinook,Hatchery,Fall,2008,168
Chinook,Hatchery,Fall,2009,57
Chinook,Hatchery,Fall,2010,166
Chinook,Hatchery,Fall,2011,175
Chinook,Hatchery,Fall,2012,141
Chinook,Hatchery,Fall,2013,70
Chinook,Hatchery,Fall,2014,128
Chinook,Hatchery,Fall,2015,49
Chinook,Hatchery,Fall,2016,190
Chinook,Hatchery,Fall,2017,58
Chinook,Hatchery,Fall,2018,184
Chinook,Hatchery,Fall,2019,264
Chinook,Hatchery,Fall,2020,350
Coho,Wild,nan,1997,0
Coho,Wild,nan,1998,0
Coho,Wild,nan,1999,0
Coho,Wild,nan,2000,0
Coho,Wild,nan,2001,0
Coho,Wild,nan,2002,0
Coho,Wild,nan,2003,0
Coho,Wild,nan,2004,0
Coho,Wild,nan,2005,0
Coho,Wild,nan,2006,0
Coho,Wild,nan,2007,0
Coho,Wild,nan,2008,0
Coho,Wild,nan,2009,0
Coho,Wild,nan,2010,6
Coho,Wild,nan,2011,35
Coho,Wild,nan,2012,20
Coho,Wild,nan,2013,8
Coho,Wild,nan,2014,18
Coho,Wild,nan,2015,9
Coho,Wild,nan,2016,163
Coho,Wild,nan,2017,7
Coho,Wild,nan,2018,30
Coho,Wild,nan,2019,57
Coho,Wild,nan,2020,242
Coho,Hatchery,nan,1997,3845
Coho,Hatchery,nan,1998,1355
Coho,Hatchery,nan,1999,0
Coho,Hatchery,nan,2000,0
Coho,Hatchery,nan,2001,355
Coho,Hatchery,nan,2002,0
Coho,Hatchery,nan,2003,0
Coho,Hatchery,nan,2004,1051
Coho,Hatchery,nan,2005,0
Coho,Hatchery,nan,2006,0
Coho,Hatchery,nan,2007,0
Coho,Hatchery,nan,2008,0
Coho,Hatchery,nan,2009,0
Coho,Hatchery,nan,2010,56
Coho,Hatchery,nan,2011,59
Coho,Hatchery,nan,2012,6
Coho,Hatchery,nan,2013,30
Coho,Hatchery,nan,2014,23
Coho,Hatchery,nan,2015,2
Coho,Hatchery,nan,2016,17
Coho,Hatchery,nan,2017,1
Coho,Hatchery,nan,2018,9
Coho,Hatchery,nan,2019,11
Coho,Hatchery,nan,2020,30
Chum,Wild,Late,1997,0
Chum,Wild,Late,1998,0
Chum,Wild,Late,1999,0
Chum,Wild,Late,2000,0
Chum,Wild,Late,2001,2841
Chum,Wild,Late,2002,1247
Chum,Wild,Late,2003,1078
Chum,Wild,Late,2004,2636
Chum,Wild,Late,2005,104
Chum,Wild,Late,2006,443
Chum,Wild,Late,2007,1594
Chum,Wild,Late,2008,1358
Chum,Wild,Late,2009,2
Chum,Wild,Late,2010,40
Chum,Wild,Late,2011,0
Chum,Wild,Late,2012,0
Chum,Wild,Late,2013,0
Chum,Wild,Late,2014,0
Chum,Wild,Late,2015,0
Chum,Wild,Late,2016,0
Chum,Wild,Late,2017,0
Chum,Wild,Late,2018,0
Chum,Wild,Late,2019,0
Chum,Wild,Late,2020,0
Chum,Hatchery,Late,1997,734
Chum,Hatchery,Late,1998,2244
Chum,Hatchery,Late,1999,118
Chum,Hatchery,Late,2000,26
Chum,Hatchery,Late,2001,0
Chum,Hatchery,Late,2002,0
Chum,Hatchery,Late,2003,0
Chum,Hatchery,Late,2004,0
Chum,Hatchery,Late,2005,0
Chum,Hatchery,Late,2006,0
Chum,Hatchery,Late,2007,0
Chum,Hatchery,Late,2008,0
Chum,Hatchery,Late,2009,0
Chum,Hatchery,Late,2010,0
Chum,Hatchery,Late,2011,0
Chum,Hatchery,Late,2012,0
Chum,Hatchery,Late,2013,0
Chum,Hatchery,Late,2014,0
Chum,Hatchery,Late,2015,0
Chum,Hatchery,Late,2016,0
Chum,Hatchery,Late,2017,0
Chum,Hatchery,Late,2018,0
Chum,Hatchery,Late,2019,0
Chum,Hatchery,Late,2020,0
