Species,Origin,Run,Year,Count
Chinook,Hatchery,Fall,1997,0
Chinook,Hatchery,Fall,1998,0
Chinook,Hatchery,Fall,1999,0
Chinook,Hatchery,Fall,2000,90
Chinook,Hatchery,Fall,2001,909
Chinook,Hatchery,Fall,2002,852
Chinook,Hatchery,Fall,2003,64
Chinook,Hatchery,Fall,2004,6
Chinook,Hatchery,Fall,2005,52
Chinook,Hatchery,Fall,2006,15
Chinook,Hatchery,Fall,2007,0
Chinook,Hatchery,Fall,2008,0
Chinook,Hatchery,Fall,2009,21
Chinook,Hatchery,Fall,2010,713
Chinook,Hatchery,Fall,2011,1721
Chinook,Hatchery,Fall,2012,1570
Chinook,Hatchery,Fall,2013,1115
Chinook,Hatchery,Fall,2014,367
Chinook,Hatchery,Fall,2015,858
Chinook,Hatchery,Fall,2016,669
Chinook,Hatchery,Fall,2017,449
Chinook,Hatchery,Fall,2018,2
Chinook,Hatchery,Fall,2019,116
Chinook,Hatchery,Fall,2020,0
Coho,Hatchery,nan,1997,0
Coho,Hatchery,nan,1998,0
Coho,Hatchery,nan,1999,0
Coho,Hatchery,nan,2000,400
Coho,Hatchery,nan,2001,340
Coho,Hatchery,nan,2002,9
Coho,Hatchery,nan,2003,0
Coho,Hatchery,nan,2004,266
Coho,Hatchery,nan,2005,13
Coho,Hatchery,nan,2006,0
Coho,Hatchery,nan,2007,0
Coho,Hatchery,nan,2008,0
Coho,Hatchery,nan,2009,0
Coho,Hatchery,nan,2010,22
Coho,Hatchery,nan,2011,136
Coho,Hatchery,nan,2012,7
Coho,Hatchery,nan,2013,5
Coho,Hatchery,nan,2014,0
Coho,Hatchery,nan,2015,0
Coho,Hatchery,nan,2016,0
Coho,Hatchery,nan,2017,0
Coho,Hatchery,nan,2018,0
Coho,Hatchery,nan,2019,0
Coho,Hatchery,nan,2020,0
