Species,Origin,Run,Year,Count
Chinook,Hatchery,Fall,1997,32
Chinook,Hatchery,Fall,1998,250
Chinook,Hatchery,Fall,1999,111
Chinook,Hatchery,Fall,2000,50
Chinook,Hatchery,Fall,2001,0
Chinook,Hatchery,Fall,2002,0
Chinook,Hatchery,Fall,2003,11
Chinook,Hatchery,Fall,2004,10
Chinook,Hatchery,Fall,2005,0
Chinook,Hatchery,Fall,2006,0
Chinook,Hatchery,Fall,2007,7
Chinook,Hatchery,Fall,2008,0
Chinook,Hatchery,Fall,2009,0
Chinook,Hatchery,Fall,2010,0
Chinook,Hatchery,Fall,2011,0
Chinook,Hatchery,Fall,2012,0
Chinook,Hatchery,Fall,2013,36
Chinook,Hatchery,Fall,2014,0
Chinook,Hatchery,Fall,2015,0
Chinook,Hatchery,Fall,2016,0
Chinook,Hatchery,Fall,2017,0
Chinook,Hatchery,Fall,2018,0
Chinook,Hatchery,Fall,2019,0
Chinook,Hatchery,Fall,2020,0
Steelhead,Hatchery,Winter,1997,3
Steelhead,Hatchery,Winter,1998,0
Steelhead,Hatchery,Winter,1999,0
Steelhead,Hatchery,Winter,2000,410
Steelhead,Hatchery,Winter,2001,332
Steelhead,Hatchery,Winter,2002,0
Steelhead,Hatchery,Winter,2003,0
Steelhead,Hatchery,Winter,2004,300
Steelhead,Hatchery,Winter,2005,74
Steelhead,Hatchery,Winter,2006,437
Steelhead,Hatchery,Winter,2007,238
Steelhead,Hatchery,Winter,2008,171
Steelhead,Hatchery,Winter,2009,72
Steelhead,Hatchery,Winter,2010,234
Steelhead,Hatchery,Winter,2011,166
Steelhead,Hatchery,Winter,2012,350
Steelhead,Hatchery,Winter,2013,0
Steelhead,Hatchery,Winter,2014,102
Steelhead,Hatchery,Winter,2015,62
Steelhead,Hatchery,Winter,2016,0
Steelhead,Hatchery,Winter,2017,30
Steelhead,Hatchery,Winter,2018,0
Steelhead,Hatchery,Winter,2019,0
Steelhead,Hatchery,Winter,2020,0
Coho,Hatchery,Type S,1997,659
Coho,Hatchery,Type S,1998,72
Coho,Hatchery,Type S,1999,719
Coho,Hatchery,Type S,2000,9825
Coho,Hatchery,Type S,2001,7100
Coho,Hatchery,Type S,2002,590
Coho,Hatchery,Type S,2003,458
Coho,Hatchery,Type S,2004,2011
Coho,Hatchery,Type S,2005,3349
Coho,Hatchery,Type S,2006,950
Coho,Hatchery,Type S,2007,969
Coho,Hatchery,Type S,2008,1712
Coho,Hatchery,Type S,2009,744
Coho,Hatchery,Type S,2010,201
Coho,Hatchery,Type S,2011,122
Coho,Hatchery,Type S,2012,45
Coho,Hatchery,Type S,2013,96
Coho,Hatchery,Type S,2014,168
Coho,Hatchery,Type S,2015,0
Coho,Hatchery,Type S,2016,19
Coho,Hatchery,Type S,2017,0
Coho,Hatchery,Type S,2018,20
Coho,Hatchery,Type S,2019,15
Coho,Hatchery,Type S,2020,0
Coho,Hatchery,Type N,1997,0
Coho,Hatchery,Type N,1998,0
Coho,Hatchery,Type N,1999,0
Coho,Hatchery,Type N,2000,0
Coho,Hatchery,Type N,2001,0
Coho,Hatchery,Type N,2002,0
Coho,Hatchery,Type N,2003,0
Coho,Hatchery,Type N,2004,0
Coho,Hatchery,Type N,2005,0
Coho,Hatchery,Type N,2006,0
Coho,Hatchery,Type N,2007,0
Coho,Hatchery,Type N,2008,0
Coho,Hatchery,Type N,2009,0
Coho,Hatchery,Type N,2010,4400
Coho,Hatchery,Type N,2011,2111
Coho,Hatchery,Type N,2012,873
Coho,Hatchery,Type N,2013,814
Coho,Hatchery,Type N,2014,5566
Coho,Hatchery,Type N,2015,891
Coho,Hatchery,Type N,2016,1335
Coho,Hatchery,Type N,2017,156
Coho,Hatchery,Type N,2018,330
Coho,Hatchery,Type N,2019,176
Coho,Hatchery,Type N,2020,0
Chum,Wild,nan,1997,0
Chum,Wild,nan,1998,0
Chum,Wild,nan,1999,0
Chum,Wild,nan,2000,0
Chum,Wild,nan,2001,362
Chum,Wild,nan,2002,310
Chum,Wild,nan,2003,40
Chum,Wild,nan,2004,308
Chum,Wild,nan,2005,128
Chum,Wild,nan,2006,118
Chum,Wild,nan,2007,136
Chum,Wild,nan,2008,88
Chum,Wild,nan,2009,108
Chum,Wild,nan,2010,301
Chum,Wild,nan,2011,295
Chum,Wild,nan,2012,226
Chum,Wild,nan,2013,253
Chum,Wild,nan,2014,259
Chum,Wild,nan,2015,243
Chum,Wild,nan,2016,0
Chum,Wild,nan,2017,0
Chum,Wild,nan,2018,0
Chum,Wild,nan,2019,0
Chum,Wild,nan,2020,0
