Species,Origin,Run,Year,Count
Chinook,Hatchery,Spring,1997,903
Chinook,Hatchery,Spring,1998,375
Chinook,Hatchery,Spring,1999,0
Chinook,Hatchery,Spring,2000,647
Chinook,Hatchery,Spring,2001,492
Chinook,Hatchery,Spring,2002,399
Chinook,Hatchery,Spring,2003,508
Chinook,Hatchery,Spring,2004,587
Chinook,Hatchery,Spring,2005,399
Chinook,Hatchery,Spring,2006,921
Chinook,Hatchery,Spring,2007,2143
Chinook,Hatchery,Spring,2008,1056
Chinook,Hatchery,Spring,2009,615
Chinook,Hatchery,Spring,2010,0
Chinook,Hatchery,Spring,2011,0
Chinook,Hatchery,Spring,2012,0
Chinook,Hatchery,Spring,2013,0
Chinook,Hatchery,Spring,2014,0
Chinook,Hatchery,Spring,2015,0
Chinook,Hatchery,Spring,2016,0
Chinook,Hatchery,Spring,2017,0
Chinook,Hatchery,Spring,2018,0
Chinook,Hatchery,Spring,2019,0
Chinook,Hatchery,Spring,2020,0
