Species,Origin,Run,Year,Count
Chinook,Wild,Spring,1997,0
Chinook,Wild,Spring,1998,0
Chinook,Wild,Spring,1999,0
Chinook,Wild,Spring,2000,0
Chinook,Wild,Spring,2001,0
Chinook,Wild,Spring,2002,0
Chinook,Wild,Spring,2003,0
Chinook,Wild,Spring,2004,76
Chinook,Wild,Spring,2005,122
Chinook,Wild,Spring,2006,0
Chinook,Wild,Spring,2007,0
Chinook,Wild,Spring,2008,0
Chinook,Wild,Spring,2009,0
Chinook,Wild,Spring,2010,0
Chinook,Wild,Spring,2011,0
Chinook,Wild,Spring,2012,0
Chinook,Wild,Spring,2013,30
Chinook,Wild,Spring,2014,19
Chinook,Wild,Spring,2015,47
Chinook,Wild,Spring,2016,39
Chinook,Wild,Spring,2017,42
Chinook,Wild,Spring,2018,32
Chinook,Wild,Spring,2019,35
Chinook,Wild,Spring,2020,30
Chinook,Hatchery,Spring,1997,0
Chinook,Hatchery,Spring,1998,0
Chinook,Hatchery,Spring,1999,0
Chinook,Hatchery,Spring,2000,0
Chinook,Hatchery,Spring,2001,0
Chinook,Hatchery,Spring,2002,0
Chinook,Hatchery,Spring,2003,0
Chinook,Hatchery,Spring,2004,0
Chinook,Hatchery,Spring,2005,0
Chinook,Hatchery,Spring,2006,0
Chinook,Hatchery,Spring,2007,0
Chinook,Hatchery,Spring,2008,0
Chinook,Hatchery,Spring,2009,0
Chinook,Hatchery,Spring,2010,0
Chinook,Hatchery,Spring,2011,0
Chinook,Hatchery,Spring,2012,0
Chinook,Hatchery,Spring,2013,62
Chinook,Hatchery,Spring,2014,106
Chinook,Hatchery,Spring,2015,122
Chinook,Hatchery,Spring,2016,89
Chinook,Hatchery,Spring,2017,132
Chinook,Hatchery,Spring,2018,140
Chinook,Hatchery,Spring,2019,104
Chinook,Hatchery,Spring,2020,72
Pink,Wild,Fall,1997,171
Pink,Wild,Fall,1998,0
Pink,Wild,Fall,1999,0
Pink,Wild,Fall,2000,0
Pink,Wild,Fall,2001,876
Pink,Wild,Fall,2002,0
Pink,Wild,Fall,2003,0
Pink,Wild,Fall,2004,0
Pink,Wild,Fall,2005,0
Pink,Wild,Fall,2006,0
Pink,Wild,Fall,2007,0
Pink,Wild,Fall,2008,0
Pink,Wild,Fall,2009,0
Pink,Wild,Fall,2010,0
Pink,Wild,Fall,2011,0
Pink,Wild,Fall,2012,0
Pink,Wild,Fall,2013,0
Pink,Wild,Fall,2014,0
Pink,Wild,Fall,2015,0
Pink,Wild,Fall,2016,0
Pink,Wild,Fall,2017,0
Pink,Wild,Fall,2018,0
Pink,Wild,Fall,2019,0
Pink,Wild,Fall,2020,0
