Species,Origin,Run,Year,Count
Chinook,Wild,Fall,1997,0
Chinook,Wild,Fall,1998,0
Chinook,Wild,Fall,1999,0
Chinook,Wild,Fall,2000,0
Chinook,Wild,Fall,2001,0
Chinook,Wild,Fall,2002,0
Chinook,Wild,Fall,2003,0
Chinook,Wild,Fall,2004,0
Chinook,Wild,Fall,2005,0
Chinook,Wild,Fall,2006,0
Chinook,Wild,Fall,2007,0
Chinook,Wild,Fall,2008,0
Chinook,Wild,Fall,2009,0
Chinook,Wild,Fall,2010,116
Chinook,Wild,Fall,2011,134
Chinook,Wild,Fall,2012,302
Chinook,Wild,Fall,2013,134
Chinook,Wild,Fall,2014,100
Chinook,Wild,Fall,2015,243
Chinook,Wild,Fall,2016,154
Chinook,Wild,Fall,2017,136
Chinook,Wild,Fall,2018,47
Chinook,Wild,Fall,2019,30
Chinook,Wild,Fall,2020,34
Chinook,Hatchery,Fall,1997,3815
Chinook,Hatchery,Fall,1998,4867
Chinook,Hatchery,Fall,1999,2189
Chinook,Hatchery,Fall,2000,3686
Chinook,Hatchery,Fall,2001,10451
Chinook,Hatchery,Fall,2002,5620
Chinook,Hatchery,Fall,2003,5742
Chinook,Hatchery,Fall,2004,12771
Chinook,Hatchery,Fall,2005,6840
Chinook,Hatchery,Fall,2006,8913
Chinook,Hatchery,Fall,2007,13432
Chinook,Hatchery,Fall,2008,3007
Chinook,Hatchery,Fall,2009,2280
Chinook,Hatchery,Fall,2010,3040
Chinook,Hatchery,Fall,2011,2820
Chinook,Hatchery,Fall,2012,4190
Chinook,Hatchery,Fall,2013,2536
Chinook,Hatchery,Fall,2014,1773
Chinook,Hatchery,Fall,2015,3130
Chinook,Hatchery,Fall,2016,2442
Chinook,Hatchery,Fall,2017,3185
Chinook,Hatchery,Fall,2018,1739
Chinook,Hatchery,Fall,2019,2046
Chinook,Hatchery,Fall,2020,2269
Sockeye,Wild,nan,1997,113
Sockeye,Wild,nan,1998,194
Sockeye,Wild,nan,1999,35
Sockeye,Wild,nan,2000,8466
Sockeye,Wild,nan,2001,853
Sockeye,Wild,nan,2002,51
Sockeye,Wild,nan,2003,75
Sockeye,Wild,nan,2004,648
Sockeye,Wild,nan,2005,174
Sockeye,Wild,nan,2006,14
Sockeye,Wild,nan,2007,4
Sockeye,Wild,nan,2008,30
Sockeye,Wild,nan,2009,7
Sockeye,Wild,nan,2010,10
Sockeye,Wild,nan,2011,10
Sockeye,Wild,nan,2012,0
Sockeye,Wild,nan,2013,193
Sockeye,Wild,nan,2014,2
Sockeye,Wild,nan,2015,2
Sockeye,Wild,nan,2016,0
Sockeye,Wild,nan,2017,0
Sockeye,Wild,nan,2018,0
Sockeye,Wild,nan,2019,0
Sockeye,Wild,nan,2020,0
Coho,Wild,nan,1997,0
Coho,Wild,nan,1998,0
Coho,Wild,nan,1999,0
Coho,Wild,nan,2000,0
Coho,Wild,nan,2001,0
Coho,Wild,nan,2002,0
Coho,Wild,nan,2003,0
Coho,Wild,nan,2004,0
Coho,Wild,nan,2005,0
Coho,Wild,nan,2006,0
Coho,Wild,nan,2007,0
Coho,Wild,nan,2008,0
Coho,Wild,nan,2009,0
Coho,Wild,nan,2010,14
Coho,Wild,nan,2011,157
Coho,Wild,nan,2012,263
Coho,Wild,nan,2013,70
Coho,Wild,nan,2014,115
Coho,Wild,nan,2015,110
Coho,Wild,nan,2016,19
Coho,Wild,nan,2017,95
Coho,Wild,nan,2018,33
Coho,Wild,nan,2019,104
Coho,Wild,nan,2020,74
Coho,Hatchery,nan,1997,7961
Coho,Hatchery,nan,1998,3384
Coho,Hatchery,nan,1999,2963
Coho,Hatchery,nan,2000,27225
Coho,Hatchery,nan,2001,35259
Coho,Hatchery,nan,2002,1284
Coho,Hatchery,nan,2003,5593
Coho,Hatchery,nan,2004,20617
Coho,Hatchery,nan,2005,8704
Coho,Hatchery,nan,2006,8698
Coho,Hatchery,nan,2007,3272
Coho,Hatchery,nan,2008,4175
Coho,Hatchery,nan,2009,13812
Coho,Hatchery,nan,2010,346
Coho,Hatchery,nan,2011,4606
Coho,Hatchery,nan,2012,10202
Coho,Hatchery,nan,2013,10267
Coho,Hatchery,nan,2014,14799
Coho,Hatchery,nan,2015,1883
Coho,Hatchery,nan,2016,3905
Coho,Hatchery,nan,2017,3465
Coho,Hatchery,nan,2018,4005
Coho,Hatchery,nan,2019,6254
Coho,Hatchery,nan,2020,4085
