Species,Origin,Run,Year,Count
Chinook,Hatchery,Spring,1997,807
Chinook,Hatchery,Spring,1998,320
Chinook,Hatchery,Spring,1999,475
Chinook,Hatchery,Spring,2000,965
Chinook,Hatchery,Spring,2001,409
Chinook,Hatchery,Spring,2002,1234
Chinook,Hatchery,Spring,2003,1684
Chinook,Hatchery,Spring,2004,1566
Chinook,Hatchery,Spring,2005,495
Chinook,Hatchery,Spring,2006,0
Chinook,Hatchery,Spring,2007,0
Chinook,Hatchery,Spring,2008,0
Chinook,Hatchery,Spring,2009,0
Chinook,Hatchery,Spring,2010,0
Chinook,Hatchery,Spring,2011,0
Chinook,Hatchery,Spring,2012,0
Chinook,Hatchery,Spring,2013,0
Chinook,Hatchery,Spring,2014,0
Chinook,Hatchery,Spring,2015,0
Chinook,Hatchery,Spring,2016,0
Chinook,Hatchery,Spring,2017,0
Chinook,Hatchery,Spring,2018,0
Chinook,Hatchery,Spring,2019,0
Chinook,Hatchery,Spring,2020,0
