Species,Origin,Run,Year,Count
Chinook,Wild,Spring,1997,0
Chinook,Wild,Spring,1998,0
Chinook,Wild,Spring,1999,0
Chinook,Wild,Spring,2000,0
Chinook,Wild,Spring,2001,0
Chinook,Wild,Spring,2002,90
Chinook,Wild,Spring,2003,23
Chinook,Wild,Spring,2004,1
Chinook,Wild,Spring,2005,0
Chinook,Wild,Spring,2006,0
Chinook,Wild,Spring,2007,1
Chinook,Wild,Spring,2008,1
Chinook,Wild,Spring,2009,0
Chinook,Wild,Spring,2010,0
Chinook,Wild,Spring,2011,0
Chinook,Wild,Spring,2012,4
Chinook,Wild,Spring,2013,0
Chinook,Wild,Spring,2014,0
Chinook,Wild,Spring,2015,8
Chinook,Wild,Spring,2016,0
Chinook,Wild,Spring,2017,2
Chinook,Wild,Spring,2018,2
Chinook,Wild,Spring,2019,3
Chinook,Wild,Spring,2020,5
Chinook,Wild,Fall,1997,0
Chinook,Wild,Fall,1998,324
Chinook,Wild,Fall,1999,300
Chinook,Wild,Fall,2000,336
Chinook,Wild,Fall,2001,1113
Chinook,Wild,Fall,2002,130
Chinook,Wild,Fall,2003,207
Chinook,Wild,Fall,2004,33
Chinook,Wild,Fall,2005,81
Chinook,Wild,Fall,2006,29
Chinook,Wild,Fall,2007,65
Chinook,Wild,Fall,2008,9
Chinook,Wild,Fall,2009,9
Chinook,Wild,Fall,2010,2
Chinook,Wild,Fall,2011,17
Chinook,Wild,Fall,2012,16
Chinook,Wild,Fall,2013,12
Chinook,Wild,Fall,2014,6
Chinook,Wild,Fall,2015,22
Chinook,Wild,Fall,2016,5
Chinook,Wild,Fall,2017,9
Chinook,Wild,Fall,2018,12
Chinook,Wild,Fall,2019,11
Chinook,Wild,Fall,2020,7
Chinook,Hatchery,Spring,1997,0
Chinook,Hatchery,Spring,1998,0
Chinook,Hatchery,Spring,1999,845
Chinook,Hatchery,Spring,2000,777
Chinook,Hatchery,Spring,2001,2
Chinook,Hatchery,Spring,2002,0
Chinook,Hatchery,Spring,2003,10
Chinook,Hatchery,Spring,2004,1
Chinook,Hatchery,Spring,2005,2
Chinook,Hatchery,Spring,2006,0
Chinook,Hatchery,Spring,2007,2
Chinook,Hatchery,Spring,2008,1
Chinook,Hatchery,Spring,2009,0
Chinook,Hatchery,Spring,2010,0
Chinook,Hatchery,Spring,2011,16
Chinook,Hatchery,Spring,2012,37
Chinook,Hatchery,Spring,2013,105
Chinook,Hatchery,Spring,2014,71
Chinook,Hatchery,Spring,2015,208
Chinook,Hatchery,Spring,2016,99
Chinook,Hatchery,Spring,2017,10
