Species,Origin,Run,Year,Count
Chinook,Wild,Spring,1997,0
Chinook,Wild,Spring,1998,0
Chinook,Wild,Spring,1999,0
Chinook,Wild,Spring,2000,0
Chinook,Wild,Spring,2001,0
Chinook,Wild,Spring,2002,0
Chinook,Wild,Spring,2003,205
Chinook,Wild,Spring,2004,235
Chinook,Wild,Spring,2005,167
Chinook,Wild,Spring,2006,244
Chinook,Wild,Spring,2007,156
Chinook,Wild,Spring,2008,30
Chinook,Wild,Spring,2009,23
Chinook,Wild,Spring,2010,68
Chinook,Wild,Spring,2011,71
Chinook,Wild,Spring,2012,40
Chinook,Wild,Spring,2013,39
Chinook,Wild,Spring,2014,17
Chinook,Wild,Spring,2015,25
Chinook,Wild,Spring,2016,21
Chinook,Wild,Spring,2017,33
Chinook,Wild,Spring,2018,27
Chinook,Wild,Spring,2019,23
Chinook,Wild,Spring,2020,129
Chinook,Wild,Fall,1997,0
Chinook,Wild,Fall,1998,0
Chinook,Wild,Fall,1999,0
Chinook,Wild,Fall,2000,0
Chinook,Wild,Fall,2001,0
Chinook,Wild,Fall,2002,527
Chinook,Wild,Fall,2003,705
Chinook,Wild,Fall,2004,203
Chinook,Wild,Fall,2005,602
Chinook,Wild,Fall,2006,227
Chinook,Wild,Fall,2007,188
Chinook,Wild,Fall,2008,114
Chinook,Wild,Fall,2009,294
Chinook,Wild,Fall,2010,82
Chinook,Wild,Fall,2011,14
Chinook,Wild,Fall,2012,29
Chinook,Wild,Fall,2013,0
Chinook,Wild,Fall,2014,100
Chinook,Wild,Fall,2015,242
Chinook,Wild,Fall,2016,86
Chinook,Wild,Fall,2017,189
Chinook,Wild,Fall,2018,206
Chinook,Wild,Fall,2019,117
Chinook,Wild,Fall,2020,339
Chinook,Hatchery,Spring,1997,0
Chinook,Hatchery,Spring,1998,0
Chinook,Hatchery,Spring,1999,0
Chinook,Hatchery,Spring,2000,0
Chinook,Hatchery,Spring,2001,0
Chinook,Hatchery,Spring,2002,1776
Chinook,Hatchery,Spring,2003,2794
Chinook,Hatchery,Spring,2004,3998
Chinook,Hatchery,Spring,2005,1884
Chinook,Hatchery,Spring,2006,3886
Chinook,Hatchery,Spring,2007,3738
Chinook,Hatchery,Spring,2008,1354
Chinook,Hatchery,Spring,2009,1045
Chinook,Hatchery,Spring,2010,1828
Chinook,Hatchery,Spring,2011,950
Chinook,Hatchery,Spring,2012,1255
Chinook,Hatchery,Spring,2013,1617
Chinook,Hatchery,Spring,2014,920
Chinook,Hatchery,Spring,2015,644
Chinook,Hatchery,Spring,2016,326
