Species,Origin,Run,Year,Count
Chinook,Hatchery,Spring,1997,0
Chinook,Hatchery,Spring,1998,0
Chinook,Hatchery,Spring,1999,565
Chinook,Hatchery,Spring,2000,0
Chinook,Hatchery,Spring,2001,0
Chinook,Hatchery,Spring,2002,0
Chinook,Hatchery,Spring,2003,0
Chinook,Hatchery,Spring,2004,0
Chinook,Hatchery,Spring,2005,0
Chinook,Hatchery,Spring,2006,0
Chinook,Hatchery,Spring,2007,0
Chinook,Hatchery,Spring,2008,0
Chinook,Hatchery,Spring,2009,0
Chinook,Hatchery,Spring,2010,352
Chinook,Hatchery,Spring,2011,525
Chinook,Hatchery,Spring,2012,280
Chinook,Hatchery,Spring,2013,680
Chinook,Hatchery,Spring,2014,363
Chinook,Hatchery,Spring,2015,187
Chinook,Hatchery,Spring,2016,792
Chinook,Hatchery,Spring,2017,1846
Chinook,Hatchery,Spring,2018,1552
Chinook,Hatchery,Spring,2019,1231
Chinook,Hatchery,Spring,2020,2348
Chinook,Hatchery,Fall,1997,3462
Chinook,Hatchery,Fall,1998,8039
Chinook,Hatchery,Fall,1999,10343
Chinook,Hatchery,Fall,2000,6030
Chinook,Hatchery,Fall,2001,10951
Chinook,Hatchery,Fall,2002,9297
Chinook,Hatchery,Fall,2003,4987
Chinook,Hatchery,Fall,2004,4842
Chinook,Hatchery,Fall,2005,4052
Chinook,Hatchery,Fall,2006,10554
Chinook,Hatchery,Fall,2007,13357
Chinook,Hatchery,Fall,2008,16004
Chinook,Hatchery,Fall,2009,0
Chinook,Hatchery,Fall,2010,5837
Chinook,Hatchery,Fall,2011,7875
Chinook,Hatchery,Fall,2012,1255
Chinook,Hatchery,Fall,2013,3400
Chinook,Hatchery,Fall,2014,1917
Chinook,Hatchery,Fall,2015,2777
Chinook,Hatchery,Fall,2016,7432
Chinook,Hatchery,Fall,2017,10116
Chinook,Hatchery,Fall,2018,10932
Chinook,Hatchery,Fall,2019,8265
Chinook,Hatchery,Fall,2020,6350
Coho,Wild,nan,1997,0
Coho,Wild,nan,1998,0
Coho,Wild,nan,1999,0
Coho,Wild,nan,2000,0
Coho,Wild,nan,2001,0
Coho,Wild,nan,2002,0
Coho,Wild,nan,2003,0
