Species,Origin,Run,Year,Count
Chinook,Hatchery,Fall,1997,0
Chinook,Hatchery,Fall,1998,0
Chinook,Hatchery,Fall,1999,0
Chinook,Hatchery,Fall,2000,0
Chinook,Hatchery,Fall,2001,0
Chinook,Hatchery,Fall,2002,0
Chinook,Hatchery,Fall,2003,0
Chinook,Hatchery,Fall,2004,0
Chinook,Hatchery,Fall,2005,0
Chinook,Hatchery,Fall,2006,0
Chinook,Hatchery,Fall,2007,0
Chinook,Hatchery,Fall,2008,0
Chinook,Hatchery,Fall,2009,0
Chinook,Hatchery,Fall,2010,0
Chinook,Hatchery,Fall,2011,9
Chinook,Hatchery,Fall,2012,8
Chinook,Hatchery,Fall,2013,266
Chinook,Hatchery,Fall,2014,42
Chinook,Hatchery,Fall,2015,44
Chinook,Hatchery,Fall,2016,109
Chinook,Hatchery,Fall,2017,255
Chinook,Hatchery,Fall,2018,13
Chinook,Hatchery,Fall,2019,19
Chinook,Hatchery,Fall,2020,0
Coho,Wild,nan,1997,0
Coho,Wild,nan,1998,0
Coho,Wild,nan,1999,0
Coho,Wild,nan,2000,0
Coho,Wild,nan,2001,0
Coho,Wild,nan,2002,0
Coho,Wild,nan,2003,0
Coho,Wild,nan,2004,0
Coho,Wild,nan,2005,0
Coho,Wild,nan,2006,0
Coho,Wild,nan,2007,0
Coho,Wild,nan,2008,0
Coho,Wild,nan,2009,0
Coho,Wild,nan,2010,0
Coho,Wild,nan,2011,6
Coho,Wild,nan,2012,16
Coho,Wild,nan,2013,0
Coho,Wild,nan,2014,10
Coho,Wild,nan,2015,4
Coho,Wild,nan,2016,4
Coho,Wild,nan,2017,2
Coho,Wild,nan,2018,1
Coho,Wild,nan,2019,7
Coho,Wild,nan,2020,0
Pink,Wild,nan,1997,0
Pink,Wild,nan,1998,0
Pink,Wild,nan,1999,0
Pink,Wild,nan,2000,0
Pink,Wild,nan,2001,0
Pink,Wild,nan,2002,0
Pink,Wild,nan,2003,0
Pink,Wild,nan,2004,0
Pink,Wild,nan,2005,0
Pink,Wild,nan,2006,0
Pink,Wild,nan,2007,0
Pink,Wild,nan,2008,0
Pink,Wild,nan,2009,0
Pink,Wild,nan,2010,0
Pink,Wild,nan,2011,9
Pink,Wild,nan,2012,0
Pink,Wild,nan,2013,271
Pink,Wild,nan,2014,19
Pink,Wild,nan,2015,28
Pink,Wild,nan,2016,0
Pink,Wild,nan,2017,0
Pink,Wild,nan,2018,0
Pink,Wild,nan,2019,0
Pink,Wild,nan,2020,0
Pink,Wild,Odd Year,1997,0
Pink,Wild,Odd Year,1998,0
Pink,Wild,Odd Year,1999,0
Pink,Wild,Odd Year,2000,0
Pink,Wild,Odd Year,2001,0
Pink,Wild,Odd Year,2002,0
Pink,Wild,Odd Year,2003,0
Pink,Wild,Odd Year,2004,0
Pink,Wild,Odd Year,2005,0
Pink,Wild,Odd Year,2006,0
Pink,Wild,Odd Year,2007,0
Pink,Wild,Odd Year,2008,0
Pink,Wild,Odd Year,2009,0
Pink,Wild,Odd Year,2010,0
Pink,Wild,Odd Year,2011,0
Pink,Wild,Odd Year,2012,0
Pink,Wild,Odd Year,2013,0
Pink,Wild,Odd Year,2014,0
Pink,Wild,Odd Year,2015,0
Pink,Wild,Odd Year,2016,0
Pink,Wild,Odd Year,2017,51
Pink,Wild,Odd Year,2018,0
Pink,Wild,Odd Year,2019,147
Pink,Wild,Odd Year,2020,0
