Species,Origin,Run,Year,Count
Chinook,Wild,Fall,1997,0
Chinook,Wild,Fall,1998,0
Chinook,Wild,Fall,1999,0
Chinook,Wild,Fall,2000,0
Chinook,Wild,Fall,2001,0
Chinook,Wild,Fall,2002,0
Chinook,Wild,Fall,2003,0
Chinook,Wild,Fall,2004,0
Chinook,Wild,Fall,2005,0
Chinook,Wild,Fall,2006,0
Chinook,Wild,Fall,2007,0
Chinook,Wild,Fall,2008,0
Chinook,Wild,Fall,2009,0
Chinook,Wild,Fall,2010,0
Chinook,Wild,Fall,2011,85
Chinook,Wild,Fall,2012,21
Chinook,Wild,Fall,2013,147
Chinook,Wild,Fall,2014,38
Chinook,Wild,Fall,2015,168
Chinook,Wild,Fall,2016,162
Chinook,Wild,Fall,2017,117
Chinook,Wild,Fall,2018,280
Chinook,Wild,Fall,2019,279
Chinook,Wild,Fall,2020,840
Chinook,Hatchery,Fall,1997,755
Chinook,Hatchery,Fall,1998,1135
Chinook,Hatchery,Fall,1999,1025
Chinook,Hatchery,Fall,2000,900
Chinook,Hatchery,Fall,2001,1650
Chinook,Hatchery,Fall,2002,1300
Chinook,Hatchery,Fall,2003,0
Chinook,Hatchery,Fall,2004,1556
Chinook,Hatchery,Fall,2005,202
Chinook,Hatchery,Fall,2006,0
Chinook,Hatchery,Fall,2007,0
Chinook,Hatchery,Fall,2008,0
Chinook,Hatchery,Fall,2009,0
Chinook,Hatchery,Fall,2010,2330
Chinook,Hatchery,Fall,2011,2130
Chinook,Hatchery,Fall,2012,1125
Chinook,Hatchery,Fall,2013,4774
Chinook,Hatchery,Fall,2014,3363
Chinook,Hatchery,Fall,2015,2218
Chinook,Hatchery,Fall,2016,1825
Chinook,Hatchery,Fall,2017,3120
Chinook,Hatchery,Fall,2018,4376
Chinook,Hatchery,Fall,2019,4025
Chinook,Hatchery,Fall,2020,8120
Coho,Wild,nan,1997,0
Coho,Wild,nan,1998,0
Coho,Wild,nan,1999,0
Coho,Wild,nan,2000,150
Coho,Wild,nan,2001,0
Coho,Wild,nan,2002,0
Coho,Wild,nan,2003,0
Coho,Wild,nan,2004,100
Coho,Wild,nan,2005,0
Coho,Wild,nan,2006,0
Coho,Wild,nan,2007,0
Coho,Wild,nan,2008,0
Coho,Wild,nan,2009,115
Coho,Wild,nan,2010,89
Coho,Wild,nan,2011,5
Coho,Wild,nan,2012,0
Coho,Wild,nan,2013,85
Coho,Wild,nan,2014,39
Coho,Wild,nan,2015,6
Coho,Wild,nan,2016,47
Coho,Wild,nan,2017,100
Coho,Wild,nan,2018,121
Coho,Wild,nan,2019,275
Coho,Wild,nan,2020,86
Coho,Hatchery,nan,1997,900
Coho,Hatchery,nan,1998,1275
Coho,Hatchery,nan,1999,5200
Coho,Hatchery,nan,2000,4800
Coho,Hatchery,nan,2001,19300
Coho,Hatchery,nan,2002,3000
Coho,Hatchery,nan,2003,0
Coho,Hatchery,nan,2004,3000
Coho,Hatchery,nan,2005,4000
Coho,Hatchery,nan,2006,0
Coho,Hatchery,nan,2007,0
Coho,Hatchery,nan,2008,0
Coho,Hatchery,nan,2009,0
Coho,Hatchery,nan,2010,12156
Coho,Hatchery,nan,2011,0
Coho,Hatchery,nan,2012,0
Coho,Hatchery,nan,2013,0
Coho,Hatchery,nan,2014,0
Coho,Hatchery,nan,2015,0
Coho,Hatchery,nan,2016,19
Coho,Hatchery,nan,2017,0
Coho,Hatchery,nan,2018,19
Coho,Hatchery,nan,2019,46
Coho,Hatchery,nan,2020,49
Chum,Wild,nan,1997,665
Chum,Wild,nan,1998,290
Chum,Wild,nan,1999,452
Chum,Wild,nan,2000,200
Chum,Wild,nan,2001,350
Chum,Wild,nan,2002,0
Chum,Wild,nan,2003,0
Chum,Wild,nan,2004,626
Chum,Wild,nan,2005,0
Chum,Wild,nan,2006,0
Chum,Wild,nan,2007,0
Chum,Wild,nan,2008,6
Chum,Wild,nan,2009,30
Chum,Wild,nan,2010,167
Chum,Wild,nan,2011,371
Chum,Wild,nan,2012,339
Chum,Wild,nan,2013,340
Chum,Wild,nan,2014,365
Chum,Wild,nan,2015,364
Chum,Wild,nan,2016,0
Chum,Wild,nan,2017,0
Chum,Wild,nan,2018,0
Chum,Wild,nan,2019,0
Chum,Wild,nan,2020,0
Chum,Unknown,nan,1997,0
Chum,Unknown,nan,1998,0
Chum,Unknown,nan,1999,0
Chum,Unknown,nan,2000,0
Chum,Unknown,nan,2001,0
Chum,Unknown,nan,2002,0
Chum,Unknown,nan,2003,0
Chum,Unknown,nan,2004,0
Chum,Unknown,nan,2005,0
Chum,Unknown,nan,2006,0
Chum,Unknown,nan,2007,0
Chum,Unknown,nan,2008,0
Chum,Unknown,nan,2009,0
Chum,Unknown,nan,2010,0
Chum,Unknown,nan,2011,0
Chum,Unknown,nan,2012,0
Chum,Unknown,nan,2013,0
Chum,Unknown,nan,2014,0
Chum,Unknown,nan,2015,0
Chum,Unknown,nan,2016,740
Chum,Unknown,nan,2017,588
Chum,Unknown,nan,2018,1623
Chum,Unknown,nan,2019,1513
Chum,Unknown,nan,2020,3245
