Species,Origin,Run,Year,Count
Coho,Wild,Type S,1997,0
Coho,Wild,Type S,1998,0
Coho,Wild,Type S,1999,0
Coho,Wild,Type S,2000,0
Coho,Wild,Type S,2001,0
Coho,Wild,Type S,2002,124
Coho,Wild,Type S,2003,430
Coho,Wild,Type S,2004,280
Coho,Wild,Type S,2005,0
Coho,Wild,Type S,2006,0
Coho,Wild,Type S,2007,0
Coho,Wild,Type S,2008,0
Coho,Wild,Type S,2009,0
Coho,Wild,Type S,2010,0
Coho,Wild,Type S,2011,0
Coho,Wild,Type S,2012,0
Coho,Wild,Type S,2013,0
Coho,Wild,Type S,2014,0
Coho,Wild,Type S,2015,0
Coho,Wild,Type S,2016,0
Coho,Wild,Type S,2017,0
Coho,Wild,Type S,2018,0
Coho,Wild,Type S,2019,0
Coho,Wild,Type S,2020,0
Coho,Hatchery,Type S,1997,158
Coho,Hatchery,Type S,1998,172
Coho,Hatchery,Type S,1999,92
Coho,Hatchery,Type S,2000,0
Coho,Hatchery,Type S,2001,0
Coho,Hatchery,Type S,2002,245
Coho,Hatchery,Type S,2003,187
Coho,Hatchery,Type S,2004,13
Coho,Hatchery,Type S,2005,0
Coho,Hatchery,Type S,2006,0
Coho,Hatchery,Type S,2007,0
Coho,Hatchery,Type S,2008,0
Coho,Hatchery,Type S,2009,0
Coho,Hatchery,Type S,2010,0
Coho,Hatchery,Type S,2011,0
Coho,Hatchery,Type S,2012,0
Coho,Hatchery,Type S,2013,0
Coho,Hatchery,Type S,2014,0
Coho,Hatchery,Type S,2015,0
Coho,Hatchery,Type S,2016,0
Coho,Hatchery,Type S,2017,0
Coho,Hatchery,Type S,2018,0
Coho,Hatchery,Type S,2019,0
Coho,Hatchery,Type S,2020,0
