Species,Origin,Run,Year,Count
Coho,Hatchery,nan,1997,0
Coho,Hatchery,nan,1998,0
Coho,Hatchery,nan,1999,0
Coho,Hatchery,nan,2000,0
Coho,Hatchery,nan,2001,901
Coho,Hatchery,nan,2002,385
Coho,Hatchery,nan,2003,0
Coho,Hatchery,nan,2004,0
Coho,Hatchery,nan,2005,0
Coho,Hatchery,nan,2006,0
Coho,Hatchery,nan,2007,0
Coho,Hatchery,nan,2008,0
Coho,Hatchery,nan,2009,0
Coho,Hatchery,nan,2010,0
Coho,Hatchery,nan,2011,0
Coho,Hatchery,nan,2012,795
Coho,Hatchery,nan,2013,0
Coho,Hatchery,nan,2014,2338
Coho,Hatchery,nan,2015,205
Coho,Hatchery,nan,2016,154
Coho,Hatchery,nan,2017,0
Coho,Hatchery,nan,2018,0
Coho,Hatchery,nan,2019,0
Coho,Hatchery,nan,2020,0
Coho,Hatchery,Late,1997,0
Coho,Hatchery,Late,1998,0
Coho,Hatchery,Late,1999,0
Coho,Hatchery,Late,2000,0
Coho,Hatchery,Late,2001,0
Coho,Hatchery,Late,2002,0
Coho,Hatchery,Late,2003,0
Coho,Hatchery,Late,2004,0
Coho,Hatchery,Late,2005,0
Coho,Hatchery,Late,2006,0
Coho,Hatchery,Late,2007,0
Coho,Hatchery,Late,2008,0
Coho,Hatchery,Late,2009,0
Coho,Hatchery,Late,2010,0
Coho,Hatchery,Late,2011,0
Coho,Hatchery,Late,2012,252
Coho,Hatchery,Late,2013,283
Coho,Hatchery,Late,2014,1032
Coho,Hatchery,Late,2015,855
Coho,Hatchery,Late,2016,12
Coho,Hatchery,Late,2017,37
Coho,Hatchery,Late,2018,0
Coho,Hatchery,Late,2019,0
Coho,Hatchery,Late,2020,0
