Species,Origin,Run,Year,Count
Chinook,Hatchery,Spring,1997,631
Chinook,Hatchery,Spring,1998,1422
Chinook,Hatchery,Spring,1999,913
Chinook,Hatchery,Spring,2000,503
Chinook,Hatchery,Spring,2001,1724
Chinook,Hatchery,Spring,2002,212
Chinook,Hatchery,Spring,2003,23
Chinook,Hatchery,Spring,2004,0
Chinook,Hatchery,Spring,2005,0
Chinook,Hatchery,Spring,2006,0
Chinook,Hatchery,Spring,2007,278
Chinook,Hatchery,Spring,2008,235
Chinook,Hatchery,Spring,2009,6
Chinook,Hatchery,Spring,2010,117
Chinook,Hatchery,Spring,2011,0
Chinook,Hatchery,Spring,2012,0
Chinook,Hatchery,Spring,2013,0
Chinook,Hatchery,Spring,2014,0
Chinook,Hatchery,Spring,2015,0
Chinook,Hatchery,Spring,2016,0
Chinook,Hatchery,Spring,2017,0
Chinook,Hatchery,Spring,2018,0
Chinook,Hatchery,Spring,2019,0
Chinook,Hatchery,Spring,2020,0
Chinook,Hatchery,Fall,1997,904
Chinook,Hatchery,Fall,1998,331
Chinook,Hatchery,Fall,1999,3169
Chinook,Hatchery,Fall,2000,0
Chinook,Hatchery,Fall,2001,1761
Chinook,Hatchery,Fall,2002,1369
Chinook,Hatchery,Fall,2003,1021
Chinook,Hatchery,Fall,2004,824
Chinook,Hatchery,Fall,2005,2069
Chinook,Hatchery,Fall,2006,117
Chinook,Hatchery,Fall,2007,29
Chinook,Hatchery,Fall,2008,0
Chinook,Hatchery,Fall,2009,105
Chinook,Hatchery,Fall,2010,7643
Chinook,Hatchery,Fall,2011,5634
Chinook,Hatchery,Fall,2012,5324
Chinook,Hatchery,Fall,2013,16437
Chinook,Hatchery,Fall,2014,13397
Chinook,Hatchery,Fall,2015,14976
Chinook,Hatchery,Fall,2016,5292
Chinook,Hatchery,Fall,2017,1217
Chinook,Hatchery,Fall,2018,512
Chinook,Hatchery,Fall,2019,1650
Chinook,Hatchery,Fall,2020,6603
Steelhead,Hatchery,Summer,1997,1537
Steelhead,Hatchery,Summer,1998,1008
Steelhead,Hatchery,Summer,1999,3319
Steelhead,Hatchery,Summer,2000,37
Steelhead,Hatchery,Summer,2001,575
Steelhead,Hatchery,Summer,2002,413
Steelhead,Hatchery,Summer,2003,1664
Steelhead,Hatchery,Summer,2004,525
Steelhead,Hatchery,Summer,2005,210
Steelhead,Hatchery,Summer,2006,424
Steelhead,Hatchery,Summer,2007,1
Steelhead,Hatchery,Summer,2008,176
Steelhead,Hatchery,Summer,2009,398
Steelhead,Hatchery,Summer,2010,266
Steelhead,Hatchery,Summer,2011,141
Steelhead,Hatchery,Summer,2012,206
Steelhead,Hatchery,Summer,2013,320
Steelhead,Hatchery,Summer,2014,1178
Steelhead,Hatchery,Summer,2015,824
Steelhead,Hatchery,Summer,2016,545
Steelhead,Hatchery,Summer,2017,481
Steelhead,Hatchery,Summer,2018,259
Steelhead,Hatchery,Summer,2019,354
Steelhead,Hatchery,Summer,2020,473
Coho,Hatchery,Type S,1997,0
Coho,Hatchery,Type S,1998,0
Coho,Hatchery,Type S,1999,0
Coho,Hatchery,Type S,2000,0
Coho,Hatchery,Type S,2001,0
Coho,Hatchery,Type S,2002,0
Coho,Hatchery,Type S,2003,27
Coho,Hatchery,Type S,2004,0
Coho,Hatchery,Type S,2005,4
Coho,Hatchery,Type S,2006,1
Coho,Hatchery,Type S,2007,0
Coho,Hatchery,Type S,2008,0
Coho,Hatchery,Type S,2009,78
Coho,Hatchery,Type S,2010,0
Coho,Hatchery,Type S,2011,62
Coho,Hatchery,Type S,2012,6
Coho,Hatchery,Type S,2013,1
Coho,Hatchery,Type S,2014,116
Coho,Hatchery,Type S,2015,18
Coho,Hatchery,Type S,2016,1
Coho,Hatchery,Type S,2017,21
Coho,Hatchery,Type S,2018,11
Coho,Hatchery,Type S,2019,42
Coho,Hatchery,Type S,2020,39
