Species,Origin,Run,Year,Count
Chinook,Wild,Fall,1997,0
Chinook,Wild,Fall,1998,0
Chinook,Wild,Fall,1999,0
Chinook,Wild,Fall,2000,0
Chinook,Wild,Fall,2001,0
Chinook,Wild,Fall,2002,0
Chinook,Wild,Fall,2003,0
Chinook,Wild,Fall,2004,0
Chinook,Wild,Fall,2005,0
Chinook,Wild,Fall,2006,0
Chinook,Wild,Fall,2007,0
Chinook,Wild,Fall,2008,0
Chinook,Wild,Fall,2009,0
Chinook,Wild,Fall,2010,0
Chinook,Wild,Fall,2011,0
Chinook,Wild,Fall,2012,0
Chinook,Wild,Fall,2013,0
Chinook,Wild,Fall,2014,0
Chinook,Wild,Fall,2015,0
Chinook,Wild,Fall,2016,103
Chinook,Wild,Fall,2017,139
Chinook,Wild,Fall,2018,367
Chinook,Wild,Fall,2019,353
Chinook,Wild,Fall,2020,59
Chinook,Hatchery,Fall,1997,16064
Chinook,Hatchery,Fall,1998,7200
Chinook,Hatchery,Fall,1999,5980
Chinook,Hatchery,Fall,2000,4265
Chinook,Hatchery,Fall,2001,12700
Chinook,Hatchery,Fall,2002,13350
Chinook,Hatchery,Fall,2003,8450
Chinook,Hatchery,Fall,2004,6046
Chinook,Hatchery,Fall,2005,4308
Chinook,Hatchery,Fall,2006,3554
Chinook,Hatchery,Fall,2007,8409
Chinook,Hatchery,Fall,2008,9635
Chinook,Hatchery,Fall,2009,9798
Chinook,Hatchery,Fall,2010,15657
Chinook,Hatchery,Fall,2011,8493
Chinook,Hatchery,Fall,2012,6632
Chinook,Hatchery,Fall,2013,8720
Chinook,Hatchery,Fall,2014,12437
Chinook,Hatchery,Fall,2015,6114
Chinook,Hatchery,Fall,2016,4563
Chinook,Hatchery,Fall,2017,5250
Chinook,Hatchery,Fall,2018,7939
Chinook,Hatchery,Fall,2019,7117
Chinook,Hatchery,Fall,2020,6056
Coho,Wild,nan,1997,0
Coho,Wild,nan,1998,0
Coho,Wild,nan,1999,0
Coho,Wild,nan,2000,0
Coho,Wild,nan,2001,0
Coho,Wild,nan,2002,0
Coho,Wild,nan,2003,0
Coho,Wild,nan,2004,0
Coho,Wild,nan,2005,0
Coho,Wild,nan,2006,0
Coho,Wild,nan,2007,0
Coho,Wild,nan,2008,0
Coho,Wild,nan,2009,0
Coho,Wild,nan,2010,0
Coho,Wild,nan,2011,0
Coho,Wild,nan,2012,0
Coho,Wild,nan,2013,0
Coho,Wild,nan,2014,0
Coho,Wild,nan,2015,0
Coho,Wild,nan,2016,5406
Coho,Wild,nan,2017,2415
Coho,Wild,nan,2018,584
Coho,Wild,nan,2019,3991
Coho,Wild,nan,2020,3094
Coho,Hatchery,nan,1997,0
Coho,Hatchery,nan,1998,0
Coho,Hatchery,nan,1999,0
Coho,Hatchery,nan,2000,0
Coho,Hatchery,nan,2001,0
Coho,Hatchery,nan,2002,0
Coho,Hatchery,nan,2003,0
Coho,Hatchery,nan,2004,0
Coho,Hatchery,nan,2005,0
Coho,Hatchery,nan,2006,0
Coho,Hatchery,nan,2007,0
Coho,Hatchery,nan,2008,171
Coho,Hatchery,nan,2009,965
Coho,Hatchery,nan,2010,1644
Coho,Hatchery,nan,2011,264
Coho,Hatchery,nan,2012,4971
Coho,Hatchery,nan,2013,2832
Coho,Hatchery,nan,2014,3589
Coho,Hatchery,nan,2015,518
Coho,Hatchery,nan,2016,0
Coho,Hatchery,nan,2017,0
Coho,Hatchery,nan,2018,0
Coho,Hatchery,nan,2019,0
Coho,Hatchery,nan,2020,0
