Species,Origin,Run,Year,Count
Chinook,Wild,Fall,1997,40
Chinook,Wild,Fall,1998,159
Chinook,Wild,Fall,1999,0
Chinook,Wild,Fall,2000,0
Chinook,Wild,Fall,2001,0
Chinook,Wild,Fall,2002,0
Chinook,Wild,Fall,2003,0
Chinook,Wild,Fall,2004,285
Chinook,Wild,Fall,2005,0
Chinook,Wild,Fall,2006,0
Chinook,Wild,Fall,2007,0
Chinook,Wild,Fall,2008,0
Chinook,Wild,Fall,2009,0
Chinook,Wild,Fall,2010,0
Chinook,Wild,Fall,2011,0
Chinook,Wild,Fall,2012,0
Chinook,Wild,Fall,2013,0
Chinook,Wild,Fall,2014,0
Chinook,Wild,Fall,2015,0
Chinook,Wild,Fall,2016,0
Chinook,Wild,Fall,2017,32
Chinook,Wild,Fall,2018,46
Chinook,Wild,Fall,2019,0
Chinook,Wild,Fall,2020,0
Coho,Hatchery,nan,1997,2081
Coho,Hatchery,nan,1998,400
Coho,Hatchery,nan,1999,0
Coho,Hatchery,nan,2000,0
Coho,Hatchery,nan,2001,0
Coho,Hatchery,nan,2002,0
Coho,Hatchery,nan,2003,0
Coho,Hatchery,nan,2004,2018
Coho,Hatchery,nan,2005,791
Coho,Hatchery,nan,2006,371
Coho,Hatchery,nan,2007,625
Coho,Hatchery,nan,2008,237
Coho,Hatchery,nan,2009,3615
Coho,Hatchery,nan,2010,11705
Coho,Hatchery,nan,2011,1480
Coho,Hatchery,nan,2012,2314
Coho,Hatchery,nan,2013,2125
Coho,Hatchery,nan,2014,9730
Coho,Hatchery,nan,2015,2195
Coho,Hatchery,nan,2016,8088
Coho,Hatchery,nan,2017,1453
Coho,Hatchery,nan,2018,200
Coho,Hatchery,nan,2019,0
Coho,Hatchery,nan,2020,0
Chum,Wild,nan,1997,0
Chum,Wild,nan,1998,0
Chum,Wild,nan,1999,0
Chum,Wild,nan,2000,0
Chum,Wild,nan,2001,0
Chum,Wild,nan,2002,0
Chum,Wild,nan,2003,0
Chum,Wild,nan,2004,217
Chum,Wild,nan,2005,282
Chum,Wild,nan,2006,336
Chum,Wild,nan,2007,238
Chum,Wild,nan,2008,0
Chum,Wild,nan,2009,0
Chum,Wild,nan,2010,0
Chum,Wild,nan,2011,0
Chum,Wild,nan,2012,0
Chum,Wild,nan,2013,0
Chum,Wild,nan,2014,0
Chum,Wild,nan,2015,596
Chum,Wild,nan,2016,0
Chum,Wild,nan,2017,0
Chum,Wild,nan,2018,0
Chum,Wild,nan,2019,0
Chum,Wild,nan,2020,0
Chum,Hatchery,nan,1997,0
Chum,Hatchery,nan,1998,0
Chum,Hatchery,nan,1999,0
Chum,Hatchery,nan,2000,0
Chum,Hatchery,nan,2001,0
Chum,Hatchery,nan,2002,0
Chum,Hatchery,nan,2003,0
Chum,Hatchery,nan,2004,0
Chum,Hatchery,nan,2005,0
Chum,Hatchery,nan,2006,0
Chum,Hatchery,nan,2007,0
Chum,Hatchery,nan,2008,0
Chum,Hatchery,nan,2009,0
Chum,Hatchery,nan,2010,0
Chum,Hatchery,nan,2011,0
Chum,Hatchery,nan,2012,1278
Chum,Hatchery,nan,2013,584
Chum,Hatchery,nan,2014,475
Chum,Hatchery,nan,2015,0
Chum,Hatchery,nan,2016,1373
Chum,Hatchery,nan,2017,534
Chum,Hatchery,nan,2018,290
Chum,Hatchery,nan,2019,0
Chum,Hatchery,nan,2020,0
