Species,Origin,Run,Year,Count
Steelhead,Wild,Summer,1997,0
Steelhead,Wild,Summer,1998,0
Steelhead,Wild,Summer,1999,0
Steelhead,Wild,Summer,2000,0
Steelhead,Wild,Summer,2001,0
Steelhead,Wild,Summer,2002,0
Steelhead,Wild,Summer,2003,0
Steelhead,Wild,Summer,2004,0
Steelhead,Wild,Summer,2005,0
Steelhead,Wild,Summer,2006,0
Steelhead,Wild,Summer,2007,0
Steelhead,Wild,Summer,2008,2
Steelhead,Wild,Summer,2009,30
Steelhead,Wild,Summer,2010,25
Steelhead,Wild,Summer,2011,22
Steelhead,Wild,Summer,2012,24
Steelhead,Wild,Summer,2013,18
Steelhead,Wild,Summer,2014,0
Steelhead,Wild,Summer,2015,17
Steelhead,Wild,Summer,2016,2
Steelhead,Wild,Summer,2017,6
Steelhead,Wild,Summer,2018,21
Steelhead,Wild,Summer,2019,16
Steelhead,Wild,Summer,2020,6
Steelhead,Hatchery,Summer,1997,856
Steelhead,Hatchery,Summer,1998,697
Steelhead,Hatchery,Summer,1999,618
Steelhead,Hatchery,Summer,2000,2764
Steelhead,Hatchery,Summer,2001,3221
Steelhead,Hatchery,Summer,2002,3116
Steelhead,Hatchery,Summer,2003,1184
Steelhead,Hatchery,Summer,2004,1682
Steelhead,Hatchery,Summer,2005,1057
Steelhead,Hatchery,Summer,2006,1568
Steelhead,Hatchery,Summer,2007,1662
Steelhead,Hatchery,Summer,2008,2533
Steelhead,Hatchery,Summer,2009,2630
Steelhead,Hatchery,Summer,2010,4120
Steelhead,Hatchery,Summer,2011,2092
Steelhead,Hatchery,Summer,2012,1662
Steelhead,Hatchery,Summer,2013,949
Steelhead,Hatchery,Summer,2014,2158
Steelhead,Hatchery,Summer,2015,1852
Steelhead,Hatchery,Summer,2016,3562
Steelhead,Hatchery,Summer,2017,817
Steelhead,Hatchery,Summer,2018,1049
Steelhead,Hatchery,Summer,2019,739
Steelhead,Hatchery,Summer,2020,1087
Steelhead,Hatchery,Winter,1997,5
Steelhead,Hatchery,Winter,1998,468
Steelhead,Hatchery,Winter,1999,450
Steelhead,Hatchery,Winter,2000,280
Steelhead,Hatchery,Winter,2001,800
Steelhead,Hatchery,Winter,2002,839
Steelhead,Hatchery,Winter,2003,504
Steelhead,Hatchery,Winter,2004,873
Steelhead,Hatchery,Winter,2005,550
Steelhead,Hatchery,Winter,2006,477
Steelhead,Hatchery,Winter,2007,671
Steelhead,Hatchery,Winter,2008,277
Steelhead,Hatchery,Winter,2009,445
Steelhead,Hatchery,Winter,2010,1147
Steelhead,Hatchery,Winter,2011,48
Steelhead,Hatchery,Winter,2012,560
Steelhead,Hatchery,Winter,2013,140
Steelhead,Hatchery,Winter,2014,478
Steelhead,Hatchery,Winter,2015,571
Steelhead,Hatchery,Winter,2016,781
Steelhead,Hatchery,Winter,2017,205
Steelhead,Hatchery,Winter,2018,476
Steelhead,Hatchery,Winter,2019,219
Steelhead,Hatchery,Winter,2020,985
