Species,Origin,Run,Year,Count
Chinook,Wild,Summer,1997,0
Chinook,Wild,Summer,1998,0
Chinook,Wild,Summer,1999,0
Chinook,Wild,Summer,2000,0
Chinook,Wild,Summer,2001,0
Chinook,Wild,Summer,2002,0
Chinook,Wild,Summer,2003,0
Chinook,Wild,Summer,2004,0
Chinook,Wild,Summer,2005,0
Chinook,Wild,Summer,2006,0
Chinook,Wild,Summer,2007,0
Chinook,Wild,Summer,2008,0
Chinook,Wild,Summer,2009,0
Chinook,Wild,Summer,2010,77
Chinook,Wild,Summer,2011,23
Chinook,Wild,Summer,2012,16
Chinook,Wild,Summer,2013,25
Chinook,Wild,Summer,2014,28
Chinook,Wild,Summer,2015,12
Chinook,Wild,Summer,2016,16
Chinook,Wild,Summer,2017,28
Chinook,Wild,Summer,2018,29
Chinook,Wild,Summer,2019,24
Chinook,Wild,Summer,2020,23
Chinook,Hatchery,Spring,1997,54
Chinook,Hatchery,Spring,1998,223
Chinook,Hatchery,Spring,1999,487
Chinook,Hatchery,Spring,2000,244
Chinook,Hatchery,Spring,2001,995
Chinook,Hatchery,Spring,2002,831
Chinook,Hatchery,Spring,2003,1250
Chinook,Hatchery,Spring,2004,702
Chinook,Hatchery,Spring,2005,801
Chinook,Hatchery,Spring,2006,997
Chinook,Hatchery,Spring,2007,943
Chinook,Hatchery,Spring,2008,0
Chinook,Hatchery,Spring,2009,0
Chinook,Hatchery,Spring,2010,0
Chinook,Hatchery,Spring,2011,0
Chinook,Hatchery,Spring,2012,0
Chinook,Hatchery,Spring,2013,0
Chinook,Hatchery,Spring,2014,0
Chinook,Hatchery,Spring,2015,0
Chinook,Hatchery,Spring,2016,0
Chinook,Hatchery,Spring,2017,0
Chinook,Hatchery,Spring,2018,0
Chinook,Hatchery,Spring,2019,0
Chinook,Hatchery,Spring,2020,0
Chinook,Hatchery,Summer,1997,0
Chinook,Hatchery,Summer,1998,0
Chinook,Hatchery,Summer,1999,0
Chinook,Hatchery,Summer,2000,0
Chinook,Hatchery,Summer,2001,0
Chinook,Hatchery,Summer,2002,0
Chinook,Hatchery,Summer,2003,0
Chinook,Hatchery,Summer,2004,0
Chinook,Hatchery,Summer,2005,0
Chinook,Hatchery,Summer,2006,0
Chinook,Hatchery,Summer,2007,0
Chinook,Hatchery,Summer,2008,0
Chinook,Hatchery,Summer,2009,0
Chinook,Hatchery,Summer,2010,803
Chinook,Hatchery,Summer,2011,673
