Species,Origin,Run,Year,Count
Chinook,Wild,Fall,1997,0
Chinook,Wild,Fall,1998,0
Chinook,Wild,Fall,1999,0
Chinook,Wild,Fall,2000,0
Chinook,Wild,Fall,2001,0
Chinook,Wild,Fall,2002,0
Chinook,Wild,Fall,2003,0
Chinook,Wild,Fall,2004,0
Chinook,Wild,Fall,2005,0
Chinook,Wild,Fall,2006,0
Chinook,Wild,Fall,2007,0
Chinook,Wild,Fall,2008,51
Chinook,Wild,Fall,2009,50
Chinook,Wild,Fall,2010,400
Chinook,Wild,Fall,2011,152
Chinook,Wild,Fall,2012,311
Chinook,Wild,Fall,2013,337
Chinook,Wild,Fall,2014,163
Chinook,Wild,Fall,2015,435
Chinook,Wild,Fall,2016,1280
Chinook,Wild,Fall,2017,1382
Chinook,Wild,Fall,2018,1127
Chinook,Wild,Fall,2019,1081
Chinook,Wild,Fall,2020,600
Chinook,Hatchery,Fall,1997,12850
Chinook,Hatchery,Fall,1998,9800
Chinook,Hatchery,Fall,1999,11500
Chinook,Hatchery,Fall,2000,17100
Chinook,Hatchery,Fall,2001,0
Chinook,Hatchery,Fall,2002,0
Chinook,Hatchery,Fall,2003,2500
Chinook,Hatchery,Fall,2004,0
Chinook,Hatchery,Fall,2005,0
Chinook,Hatchery,Fall,2006,0
Chinook,Hatchery,Fall,2007,0
Chinook,Hatchery,Fall,2008,0
Chinook,Hatchery,Fall,2009,0
Chinook,Hatchery,Fall,2010,11026
Chinook,Hatchery,Fall,2011,8473
Chinook,Hatchery,Fall,2012,12200
Chinook,Hatchery,Fall,2013,8796
Chinook,Hatchery,Fall,2014,3870
Chinook,Hatchery,Fall,2015,7342
Chinook,Hatchery,Fall,2016,11291
Chinook,Hatchery,Fall,2017,15465
Chinook,Hatchery,Fall,2018,10871
Chinook,Hatchery,Fall,2019,10927
Chinook,Hatchery,Fall,2020,8737
Steelhead,Wild,Winter,1997,0
Steelhead,Wild,Winter,1998,0
Steelhead,Wild,Winter,1999,0
Steelhead,Wild,Winter,2000,0
Steelhead,Wild,Winter,2001,0
Steelhead,Wild,Winter,2002,0
Steelhead,Wild,Winter,2003,0
Steelhead,Wild,Winter,2004,40
Steelhead,Wild,Winter,2005,24
Steelhead,Wild,Winter,2006,43
Steelhead,Wild,Winter,2007,38
Steelhead,Wild,Winter,2008,29
Steelhead,Wild,Winter,2009,7
Steelhead,Wild,Winter,2010,23
Steelhead,Wild,Winter,2011,0
Steelhead,Wild,Winter,2012,0
Steelhead,Wild,Winter,2013,0
Steelhead,Wild,Winter,2014,3
Steelhead,Wild,Winter,2015,0
Steelhead,Wild,Winter,2016,0
Steelhead,Wild,Winter,2017,0
Steelhead,Wild,Winter,2018,0
Steelhead,Wild,Winter,2019,0
Steelhead,Wild,Winter,2020,0
Steelhead,Wild,Winter-Late,1997,0
Steelhead,Wild,Winter-Late,1998,0
Steelhead,Wild,Winter-Late,1999,0
Steelhead,Wild,Winter-Late,2000,0
Steelhead,Wild,Winter-Late,2001,0
Steelhead,Wild,Winter-Late,2002,0
Steelhead,Wild,Winter-Late,2003,0
Steelhead,Wild,Winter-Late,2004,0
Steelhead,Wild,Winter-Late,2005,0
Steelhead,Wild,Winter-Late,2006,0
Steelhead,Wild,Winter-Late,2007,0
Steelhead,Wild,Winter-Late,2008,0
Steelhead,Wild,Winter-Late,2009,0
Steelhead,Wild,Winter-Late,2010,0
Steelhead,Wild,Winter-Late,2011,32
Steelhead,Wild,Winter-Late,2012,39
Steelhead,Wild,Winter-Late,2013,48
Steelhead,Wild,Winter-Late,2014,16
Steelhead,Wild,Winter-Late,2015,35
Steelhead,Wild,Winter-Late,2016,33
Steelhead,Wild,Winter-Late,2017,19
Steelhead,Wild,Winter-Late,2018,17
Steelhead,Wild,Winter-Late,2019,21
Steelhead,Wild,Winter-Late,2020,17
Steelhead,Hatchery,Summer,1997,0
Steelhead,Hatchery,Summer,1998,0
Steelhead,Hatchery,Summer,1999,0
Steelhead,Hatchery,Summer,2000,0
Steelhead,Hatchery,Summer,2001,0
Steelhead,Hatchery,Summer,2002,0
Steelhead,Hatchery,Summer,2003,112
Steelhead,Hatchery,Summer,2004,465
Steelhead,Hatchery,Summer,2005,16
Steelhead,Hatchery,Summer,2006,177
Steelhead,Hatchery,Summer,2007,141
Steelhead,Hatchery,Summer,2008,253
Steelhead,Hatchery,Summer,2009,147
Steelhead,Hatchery,Summer,2010,124
Steelhead,Hatchery,Summer,2011,107
Steelhead,Hatchery,Summer,2012,174
Steelhead,Hatchery,Summer,2013,219
Steelhead,Hatchery,Summer,2014,158
Steelhead,Hatchery,Summer,2015,79
Steelhead,Hatchery,Summer,2016,20
Steelhead,Hatchery,Summer,2017,69
Steelhead,Hatchery,Summer,2018,109
Steelhead,Hatchery,Summer,2019,117
Steelhead,Hatchery,Summer,2020,62
Steelhead,Hatchery,Winter,1997,0
Steelhead,Hatchery,Winter,1998,1
Steelhead,Hatchery,Winter,1999,0
Steelhead,Hatchery,Winter,2000,0
Steelhead,Hatchery,Winter,2001,0
Steelhead,Hatchery,Winter,2002,0
Steelhead,Hatchery,Winter,2003,8
Steelhead,Hatchery,Winter,2004,95
Steelhead,Hatchery,Winter,2005,71
Steelhead,Hatchery,Winter,2006,55
Steelhead,Hatchery,Winter,2007,206
Steelhead,Hatchery,Winter,2008,182
Steelhead,Hatchery,Winter,2009,52
Steelhead,Hatchery,Winter,2010,314
Steelhead,Hatchery,Winter,2011,87
Steelhead,Hatchery,Winter,2012,98
Steelhead,Hatchery,Winter,2013,54
Steelhead,Hatchery,Winter,2014,123
Steelhead,Hatchery,Winter,2015,27
Steelhead,Hatchery,Winter,2016,0
Steelhead,Hatchery,Winter,2017,0
Steelhead,Hatchery,Winter,2018,0
Steelhead,Hatchery,Winter,2019,0
Steelhead,Hatchery,Winter,2020,0
Coho,Wild,nan,1997,0
Coho,Wild,nan,1998,0
Coho,Wild,nan,1999,0
Coho,Wild,nan,2000,0
Coho,Wild,nan,2001,0
Coho,Wild,nan,2002,0
Coho,Wild,nan,2003,0
Coho,Wild,nan,2004,0
Coho,Wild,nan,2005,0
Coho,Wild,nan,2006,0
Coho,Wild,nan,2007,0
Coho,Wild,nan,2008,0
Coho,Wild,nan,2009,0
Coho,Wild,nan,2010,701
Coho,Wild,nan,2011,2650
Coho,Wild,nan,2012,6658
Coho,Wild,nan,2013,2855
Coho,Wild,nan,2014,1962
Coho,Wild,nan,2015,1193
Coho,Wild,nan,2016,393
Coho,Wild,nan,2017,500
Coho,Wild,nan,2018,3407
Coho,Wild,nan,2019,1624
Coho,Wild,nan,2020,2683
Coho,Hatchery,nan,1997,7400
Coho,Hatchery,nan,1998,3834
Coho,Hatchery,nan,1999,0
Coho,Hatchery,nan,2000,5000
Coho,Hatchery,nan,2001,0
Coho,Hatchery,nan,2002,0
Coho,Hatchery,nan,2003,0
Coho,Hatchery,nan,2004,0
Coho,Hatchery,nan,2005,0
Coho,Hatchery,nan,2006,0
Coho,Hatchery,nan,2007,0
Coho,Hatchery,nan,2008,0
Coho,Hatchery,nan,2009,0
Coho,Hatchery,nan,2010,9129
Coho,Hatchery,nan,2011,19179
Coho,Hatchery,nan,2012,33793
Coho,Hatchery,nan,2013,20588
Coho,Hatchery,nan,2014,14263
Coho,Hatchery,nan,2015,4022
Coho,Hatchery,nan,2016,10372
Coho,Hatchery,nan,2017,1970
Coho,Hatchery,nan,2018,15337
Coho,Hatchery,nan,2019,14999
Coho,Hatchery,nan,2020,17858
Chum,Wild,nan,1997,0
Chum,Wild,nan,1998,0
Chum,Wild,nan,1999,0
Chum,Wild,nan,2000,0
Chum,Wild,nan,2001,0
Chum,Wild,nan,2002,0
Chum,Wild,nan,2003,0
Chum,Wild,nan,2004,0
Chum,Wild,nan,2005,0
Chum,Wild,nan,2006,602
Chum,Wild,nan,2007,13
Chum,Wild,nan,2008,777
Chum,Wild,nan,2009,178
Chum,Wild,nan,2010,555
Chum,Wild,nan,2011,0
Chum,Wild,nan,2012,188
Chum,Wild,nan,2013,71
Chum,Wild,nan,2014,1519
Chum,Wild,nan,2015,58
Chum,Wild,nan,2016,0
Chum,Wild,nan,2017,0
Chum,Wild,nan,2018,0
Chum,Wild,nan,2019,0
Chum,Wild,nan,2020,0
