Species,Origin,Run,Year,Count
Chinook,Hatchery,Spring,1997,67
Chinook,Hatchery,Spring,1998,1188
Chinook,Hatchery,Spring,1999,740
Chinook,Hatchery,Spring,2000,777
Chinook,Hatchery,Spring,2001,2009
Chinook,Hatchery,Spring,2002,827
Chinook,Hatchery,Spring,2003,796
Chinook,Hatchery,Spring,2004,0
Chinook,Hatchery,Spring,2005,0
Chinook,Hatchery,Spring,2006,0
Chinook,Hatchery,Spring,2007,0
Chinook,Hatchery,Spring,2008,0
Chinook,Hatchery,Spring,2009,0
Chinook,Hatchery,Spring,2010,0
Chinook,Hatchery,Spring,2011,0
Chinook,Hatchery,Spring,2012,0
Chinook,Hatchery,Spring,2013,0
Chinook,Hatchery,Spring,2014,0
Chinook,Hatchery,Spring,2015,11
Chinook,Hatchery,Spring,2016,0
Chinook,Hatchery,Spring,2017,0
Chinook,Hatchery,Spring,2018,0
Chinook,Hatchery,Spring,2019,50
Chinook,Hatchery,Spring,2020,0
Coho,Hatchery,Type S,1997,5933
Coho,Hatchery,Type S,1998,0
Coho,Hatchery,Type S,1999,1539
Coho,Hatchery,Type S,2000,1676
Coho,Hatchery,Type S,2001,1302
Coho,Hatchery,Type S,2002,899
Coho,Hatchery,Type S,2003,900
Coho,Hatchery,Type S,2004,0
Coho,Hatchery,Type S,2005,0
Coho,Hatchery,Type S,2006,0
Coho,Hatchery,Type S,2007,0
Coho,Hatchery,Type S,2008,0
Coho,Hatchery,Type S,2009,0
Coho,Hatchery,Type S,2010,0
Coho,Hatchery,Type S,2011,8
Coho,Hatchery,Type S,2012,0
Coho,Hatchery,Type S,2013,0
Coho,Hatchery,Type S,2014,0
Coho,Hatchery,Type S,2015,0
Coho,Hatchery,Type S,2016,0
Coho,Hatchery,Type S,2017,0
Coho,Hatchery,Type S,2018,0
Coho,Hatchery,Type S,2019,0
Coho,Hatchery,Type S,2020,74
