Species,Origin,Run,Year,Count
Chinook,Wild,Summer,1997,210
Chinook,Wild,Summer,1998,86
Chinook,Wild,Summer,1999,75
Chinook,Wild,Summer,2000,144
Chinook,Wild,Summer,2001,0
Chinook,Wild,Summer,2002,0
Chinook,Wild,Summer,2003,0
Chinook,Wild,Summer,2004,0
Chinook,Wild,Summer,2005,0
Chinook,Wild,Summer,2006,0
Chinook,Wild,Summer,2007,0
Chinook,Wild,Summer,2008,0
Chinook,Wild,Summer,2009,0
Chinook,Wild,Summer,2010,0
Chinook,Wild,Summer,2011,0
Chinook,Wild,Summer,2012,0
Chinook,Wild,Summer,2013,151
Chinook,Wild,Summer,2014,264
Chinook,Wild,Summer,2015,308
Chinook,Wild,Summer,2016,280
Chinook,Wild,Summer,2017,231
Chinook,Wild,Summer,2018,93
Chinook,Wild,Summer,2019,273
Chinook,Wild,Summer,2020,400
Chinook,Wild,Fall,1997,489
Chinook,Wild,Fall,1998,464
Chinook,Wild,Fall,1999,458
Chinook,Wild,Fall,2000,667
Chinook,Wild,Fall,2001,0
Chinook,Wild,Fall,2002,0
Chinook,Wild,Fall,2003,0
Chinook,Wild,Fall,2004,0
Chinook,Wild,Fall,2005,0
Chinook,Wild,Fall,2006,0
Chinook,Wild,Fall,2007,0
Chinook,Wild,Fall,2008,0
Chinook,Wild,Fall,2009,0
Chinook,Wild,Fall,2010,0
Chinook,Wild,Fall,2011,0
Chinook,Wild,Fall,2012,0
Chinook,Wild,Fall,2013,0
Chinook,Wild,Fall,2014,0
Chinook,Wild,Fall,2015,0
Chinook,Wild,Fall,2016,0
Chinook,Wild,Fall,2017,0
Chinook,Wild,Fall,2018,0
Chinook,Wild,Fall,2019,0
Chinook,Wild,Fall,2020,0
Chinook,Hatchery,Summer,1997,0
Chinook,Hatchery,Summer,1998,0
Chinook,Hatchery,Summer,1999,0
Chinook,Hatchery,Summer,2000,0
Chinook,Hatchery,Summer,2001,0
Chinook,Hatchery,Summer,2002,0
Chinook,Hatchery,Summer,2003,0
Chinook,Hatchery,Summer,2004,0
Chinook,Hatchery,Summer,2005,0
Chinook,Hatchery,Summer,2006,0
Chinook,Hatchery,Summer,2007,0
Chinook,Hatchery,Summer,2008,0
Chinook,Hatchery,Summer,2009,0
Chinook,Hatchery,Summer,2010,0
Chinook,Hatchery,Summer,2011,0
Chinook,Hatchery,Summer,2012,0
Chinook,Hatchery,Summer,2013,6
Chinook,Hatchery,Summer,2014,80
Chinook,Hatchery,Summer,2015,190
Chinook,Hatchery,Summer,2016,30
Chinook,Hatchery,Summer,2017,38
Chinook,Hatchery,Summer,2018,4
Chinook,Hatchery,Summer,2019,21
Chinook,Hatchery,Summer,2020,36
Steelhead,Wild,Summer,1997,0
Steelhead,Wild,Summer,1998,0
Steelhead,Wild,Summer,1999,59
Steelhead,Wild,Summer,2000,0
Steelhead,Wild,Summer,2001,0
Steelhead,Wild,Summer,2002,0
Steelhead,Wild,Summer,2003,0
Steelhead,Wild,Summer,2004,0
Steelhead,Wild,Summer,2005,0
Steelhead,Wild,Summer,2006,0
Steelhead,Wild,Summer,2007,0
Steelhead,Wild,Summer,2008,0
Steelhead,Wild,Summer,2009,0
Steelhead,Wild,Summer,2010,0
Steelhead,Wild,Summer,2011,0
Steelhead,Wild,Summer,2012,0
Steelhead,Wild,Summer,2013,407
Steelhead,Wild,Summer,2014,284
Steelhead,Wild,Summer,2015,235
Steelhead,Wild,Summer,2016,261
Steelhead,Wild,Summer,2017,164
Steelhead,Wild,Summer,2018,221
Steelhead,Wild,Summer,2019,217
Steelhead,Wild,Summer,2020,119
Steelhead,Hatchery,Summer,1997,0
Steelhead,Hatchery,Summer,1998,0
Steelhead,Hatchery,Summer,1999,0
Steelhead,Hatchery,Summer,2000,0
Steelhead,Hatchery,Summer,2001,0
Steelhead,Hatchery,Summer,2002,0
Steelhead,Hatchery,Summer,2003,0
Steelhead,Hatchery,Summer,2004,0
Steelhead,Hatchery,Summer,2005,0
Steelhead,Hatchery,Summer,2006,0
Steelhead,Hatchery,Summer,2007,0
Steelhead,Hatchery,Summer,2008,0
Steelhead,Hatchery,Summer,2009,0
Steelhead,Hatchery,Summer,2010,0
Steelhead,Hatchery,Summer,2011,0
Steelhead,Hatchery,Summer,2012,0
Steelhead,Hatchery,Summer,2013,415
Steelhead,Hatchery,Summer,2014,329
Steelhead,Hatchery,Summer,2015,499
Steelhead,Hatchery,Summer,2016,416
Steelhead,Hatchery,Summer,2017,267
Steelhead,Hatchery,Summer,2018,127
Steelhead,Hatchery,Summer,2019,55
Steelhead,Hatchery,Summer,2020,14
Sockeye,Wild,nan,1997,14
Sockeye,Wild,nan,1998,19
Sockeye,Wild,nan,1999,4
Sockeye,Wild,nan,2000,9
Sockeye,Wild,nan,2001,0
Sockeye,Wild,nan,2002,0
Sockeye,Wild,nan,2003,0
Sockeye,Wild,nan,2004,0
Sockeye,Wild,nan,2005,0
Sockeye,Wild,nan,2006,0
Sockeye,Wild,nan,2007,0
Sockeye,Wild,nan,2008,0
Sockeye,Wild,nan,2009,0
Sockeye,Wild,nan,2010,0
Sockeye,Wild,nan,2011,0
Sockeye,Wild,nan,2012,0
Sockeye,Wild,nan,2013,13
Sockeye,Wild,nan,2014,41
Sockeye,Wild,nan,2015,8
Sockeye,Wild,nan,2016,0
Sockeye,Wild,nan,2017,0
Sockeye,Wild,nan,2018,0
Sockeye,Wild,nan,2019,0
Sockeye,Wild,nan,2020,0
Sockeye,Unknown,nan,1997,0
Sockeye,Unknown,nan,1998,0
Sockeye,Unknown,nan,1999,0
Sockeye,Unknown,nan,2000,0
Sockeye,Unknown,nan,2001,0
Sockeye,Unknown,nan,2002,0
Sockeye,Unknown,nan,2003,0
Sockeye,Unknown,nan,2004,0
Sockeye,Unknown,nan,2005,0
Sockeye,Unknown,nan,2006,0
Sockeye,Unknown,nan,2007,0
Sockeye,Unknown,nan,2008,0
Sockeye,Unknown,nan,2009,0
Sockeye,Unknown,nan,2010,0
Sockeye,Unknown,nan,2011,0
Sockeye,Unknown,nan,2012,0
Sockeye,Unknown,nan,2013,0
Sockeye,Unknown,nan,2014,0
Sockeye,Unknown,nan,2015,0
Sockeye,Unknown,nan,2016,29
Sockeye,Unknown,nan,2017,94
Sockeye,Unknown,nan,2018,51
Sockeye,Unknown,nan,2019,8
Sockeye,Unknown,nan,2020,33
Coho,Wild,nan,1997,15152
Coho,Wild,nan,1998,21657
Coho,Wild,nan,1999,12820
Coho,Wild,nan,2000,27427
Coho,Wild,nan,2001,0
Coho,Wild,nan,2002,0
Coho,Wild,nan,2003,0
Coho,Wild,nan,2004,0
Coho,Wild,nan,2005,0
Coho,Wild,nan,2006,0
Coho,Wild,nan,2007,0
Coho,Wild,nan,2008,0
Coho,Wild,nan,2009,0
Coho,Wild,nan,2010,0
Coho,Wild,nan,2011,0
Coho,Wild,nan,2012,0
Coho,Wild,nan,2013,20861
Coho,Wild,nan,2014,11181
Coho,Wild,nan,2015,6507
Coho,Wild,nan,2016,12947
Coho,Wild,nan,2017,4231
Coho,Wild,nan,2018,10733
Coho,Wild,nan,2019,10005
Coho,Wild,nan,2020,8206
Chum,Wild,nan,1997,22
