Species,Origin,Run,Year,Count
Chinook,Wild,Spring,1997,0
Chinook,Wild,Spring,1998,0
Chinook,Wild,Spring,1999,1
Chinook,Wild,Spring,2000,0
Chinook,Wild,Spring,2001,42
Chinook,Wild,Spring,2002,175
Chinook,Wild,Spring,2003,77
Chinook,Wild,Spring,2004,309
Chinook,Wild,Spring,2005,127
Chinook,Wild,Spring,2006,57
Chinook,Wild,Spring,2007,99
Chinook,Wild,Spring,2008,92
Chinook,Wild,Spring,2009,327
Chinook,Wild,Spring,2010,752
Chinook,Wild,Spring,2011,336
Chinook,Wild,Spring,2012,220
Chinook,Wild,Spring,2013,226
Chinook,Wild,Spring,2014,317
Chinook,Wild,Spring,2015,274
Chinook,Wild,Spring,2016,115
Chinook,Wild,Spring,2017,17
Chinook,Wild,Spring,2018,62
Chinook,Wild,Spring,2019,41
Chinook,Wild,Spring,2020,34
Chinook,Hatchery,Spring,1997,0
Chinook,Hatchery,Spring,1998,31
Chinook,Hatchery,Spring,1999,1
Chinook,Hatchery,Spring,2000,0
Chinook,Hatchery,Spring,2001,11
Chinook,Hatchery,Spring,2002,580
Chinook,Hatchery,Spring,2003,137
Chinook,Hatchery,Spring,2004,103
Chinook,Hatchery,Spring,2005,94
Chinook,Hatchery,Spring,2006,70
Chinook,Hatchery,Spring,2007,52
Chinook,Hatchery,Spring,2008,116
Chinook,Hatchery,Spring,2009,410
Chinook,Hatchery,Spring,2010,738
Chinook,Hatchery,Spring,2011,161
Chinook,Hatchery,Spring,2012,232
Chinook,Hatchery,Spring,2013,154
Chinook,Hatchery,Spring,2014,110
Chinook,Hatchery,Spring,2015,358
Chinook,Hatchery,Spring,2016,299
Chinook,Hatchery,Spring,2017,104
Chinook,Hatchery,Spring,2018,297
Chinook,Hatchery,Spring,2019,115
Chinook,Hatchery,Spring,2020,12
Steelhead,Wild,Summer,1997,0
Steelhead,Wild,Summer,1998,0
Steelhead,Wild,Summer,1999,9
Steelhead,Wild,Summer,2000,44
Steelhead,Wild,Summer,2001,28
Steelhead,Wild,Summer,2002,255
Steelhead,Wild,Summer,2003,96
Steelhead,Wild,Summer,2004,29
Steelhead,Wild,Summer,2005,42
Steelhead,Wild,Summer,2006,89
Steelhead,Wild,Summer,2007,14
Steelhead,Wild,Summer,2008,11
Steelhead,Wild,Summer,2009,88
Steelhead,Wild,Summer,2010,322
Steelhead,Wild,Summer,2011,201
Steelhead,Wild,Summer,2012,182
Steelhead,Wild,Summer,2013,83
Steelhead,Wild,Summer,2014,180
Steelhead,Wild,Summer,2015,342
Steelhead,Wild,Summer,2016,328
Steelhead,Wild,Summer,2017,70
Steelhead,Wild,Summer,2018,84
Steelhead,Wild,Summer,2019,99
Steelhead,Wild,Summer,2020,53
Steelhead,Hatchery,Summer,1997,0
Steelhead,Hatchery,Summer,1998,0
Steelhead,Hatchery,Summer,1999,0
Steelhead,Hatchery,Summer,2000,2
Steelhead,Hatchery,Summer,2001,0
Steelhead,Hatchery,Summer,2002,173
Steelhead,Hatchery,Summer,2003,94
Steelhead,Hatchery,Summer,2004,5
Steelhead,Hatchery,Summer,2005,14
Steelhead,Hatchery,Summer,2006,41
Steelhead,Hatchery,Summer,2007,21
Steelhead,Hatchery,Summer,2008,9
Steelhead,Hatchery,Summer,2009,257
Steelhead,Hatchery,Summer,2010,334
Steelhead,Hatchery,Summer,2011,132
Steelhead,Hatchery,Summer,2012,213
Steelhead,Hatchery,Summer,2013,233
Steelhead,Hatchery,Summer,2014,257
Steelhead,Hatchery,Summer,2015,175
Steelhead,Hatchery,Summer,2016,150
Steelhead,Hatchery,Summer,2017,78
Steelhead,Hatchery,Summer,2018,206
Steelhead,Hatchery,Summer,2019,80
Steelhead,Hatchery,Summer,2020,27
