Species,Origin,Run,Year,Count
Chinook,Hatchery,Fall,1997,3928
Chinook,Hatchery,Fall,1998,4073
Chinook,Hatchery,Fall,1999,7160
Chinook,Hatchery,Fall,2000,5671
Chinook,Hatchery,Fall,2001,5622
Chinook,Hatchery,Fall,2002,8487
Chinook,Hatchery,Fall,2003,7619
Chinook,Hatchery,Fall,2004,12491
Chinook,Hatchery,Fall,2005,8876
Chinook,Hatchery,Fall,2006,16221
Chinook,Hatchery,Fall,2007,13261
Chinook,Hatchery,Fall,2008,10777
Chinook,Hatchery,Fall,2009,9862
Chinook,Hatchery,Fall,2010,5541
Chinook,Hatchery,Fall,2011,3889
Chinook,Hatchery,Fall,2012,5625
Chinook,Hatchery,Fall,2013,10157
Chinook,Hatchery,Fall,2014,2946
Chinook,Hatchery,Fall,2015,3747
Chinook,Hatchery,Fall,2016,13188
Chinook,Hatchery,Fall,2017,30081
Chinook,Hatchery,Fall,2018,11467
Chinook,Hatchery,Fall,2019,8902
Chinook,Hatchery,Fall,2020,3204
