Species,Origin,Run,Year,Count
Chinook,Wild,Fall,1997,0
Chinook,Wild,Fall,1998,0
Chinook,Wild,Fall,1999,0
Chinook,Wild,Fall,2000,0
Chinook,Wild,Fall,2001,0
Chinook,Wild,Fall,2002,0
Chinook,Wild,Fall,2003,0
Chinook,Wild,Fall,2004,0
Chinook,Wild,Fall,2005,0
Chinook,Wild,Fall,2006,0
Chinook,Wild,Fall,2007,0
Chinook,Wild,Fall,2008,0
Chinook,Wild,Fall,2009,0
Chinook,Wild,Fall,2010,0
Chinook,Wild,Fall,2011,349
Chinook,Wild,Fall,2012,293
Chinook,Wild,Fall,2013,634
Chinook,Wild,Fall,2014,53
Chinook,Wild,Fall,2015,26
Chinook,Wild,Fall,2016,30
Chinook,Wild,Fall,2017,25
Chinook,Wild,Fall,2018,36
Chinook,Wild,Fall,2019,165
Chinook,Wild,Fall,2020,121
Chinook,Hatchery,Fall,1997,6095
Chinook,Hatchery,Fall,1998,4139
Chinook,Hatchery,Fall,1999,0
Chinook,Hatchery,Fall,2000,1969
Chinook,Hatchery,Fall,2001,7324
Chinook,Hatchery,Fall,2002,7553
Chinook,Hatchery,Fall,2003,9638
Chinook,Hatchery,Fall,2004,10658
Chinook,Hatchery,Fall,2005,6305
Chinook,Hatchery,Fall,2006,5028
Chinook,Hatchery,Fall,2007,4645
Chinook,Hatchery,Fall,2008,6468
Chinook,Hatchery,Fall,2009,7862
Chinook,Hatchery,Fall,2010,11183
Chinook,Hatchery,Fall,2011,3945
Chinook,Hatchery,Fall,2012,4812
Chinook,Hatchery,Fall,2013,8597
Chinook,Hatchery,Fall,2014,97
Chinook,Hatchery,Fall,2015,337
Chinook,Hatchery,Fall,2016,1210
Chinook,Hatchery,Fall,2017,144
Chinook,Hatchery,Fall,2018,72
Chinook,Hatchery,Fall,2019,1555
Chinook,Hatchery,Fall,2020,612
Steelhead,Wild,Summer,1997,0
Steelhead,Wild,Summer,1998,0
Steelhead,Wild,Summer,1999,0
Steelhead,Wild,Summer,2000,0
Steelhead,Wild,Summer,2001,0
Steelhead,Wild,Summer,2002,0
Steelhead,Wild,Summer,2003,34
Steelhead,Wild,Summer,2004,0
Steelhead,Wild,Summer,2005,0
Steelhead,Wild,Summer,2006,0
Steelhead,Wild,Summer,2007,0
Steelhead,Wild,Summer,2008,0
Steelhead,Wild,Summer,2009,0
Steelhead,Wild,Summer,2010,0
Steelhead,Wild,Summer,2011,6
Steelhead,Wild,Summer,2012,38
Steelhead,Wild,Summer,2013,56
Steelhead,Wild,Summer,2014,132
Steelhead,Wild,Summer,2015,165
Steelhead,Wild,Summer,2016,110
Steelhead,Wild,Summer,2017,91
Steelhead,Wild,Summer,2018,146
Steelhead,Wild,Summer,2019,86
Steelhead,Wild,Summer,2020,45
Steelhead,Hatchery,Summer,1997,0
Steelhead,Hatchery,Summer,1998,0
Steelhead,Hatchery,Summer,1999,0
Steelhead,Hatchery,Summer,2000,0
Steelhead,Hatchery,Summer,2001,0
Steelhead,Hatchery,Summer,2002,0
Steelhead,Hatchery,Summer,2003,0
Steelhead,Hatchery,Summer,2004,0
Steelhead,Hatchery,Summer,2005,0
Steelhead,Hatchery,Summer,2006,0
Steelhead,Hatchery,Summer,2007,0
Steelhead,Hatchery,Summer,2008,0
Steelhead,Hatchery,Summer,2009,0
Steelhead,Hatchery,Summer,2010,0
Steelhead,Hatchery,Summer,2011,7
Steelhead,Hatchery,Summer,2012,17
Steelhead,Hatchery,Summer,2013,38
Steelhead,Hatchery,Summer,2014,27
Steelhead,Hatchery,Summer,2015,6
Steelhead,Hatchery,Summer,2016,1
Steelhead,Hatchery,Summer,2017,10
Steelhead,Hatchery,Summer,2018,7
Steelhead,Hatchery,Summer,2019,0
Steelhead,Hatchery,Summer,2020,5
Coho,Wild,Type N,1997,0
Coho,Wild,Type N,1998,0
Coho,Wild,Type N,1999,0
Coho,Wild,Type N,2000,0
Coho,Wild,Type N,2001,0
Coho,Wild,Type N,2002,0
Coho,Wild,Type N,2003,0
Coho,Wild,Type N,2004,0
Coho,Wild,Type N,2005,0
Coho,Wild,Type N,2006,0
Coho,Wild,Type N,2007,54
Coho,Wild,Type N,2008,101
Coho,Wild,Type N,2009,1490
Coho,Wild,Type N,2010,401
Coho,Wild,Type N,2011,77
Coho,Wild,Type N,2012,54
Coho,Wild,Type N,2013,92
Coho,Wild,Type N,2014,75
Coho,Wild,Type N,2015,34
Coho,Wild,Type N,2016,52
Coho,Wild,Type N,2017,105
Coho,Wild,Type N,2018,51
Coho,Wild,Type N,2019,145
Coho,Wild,Type N,2020,92
Coho,Hatchery,Type N,1997,610
Coho,Hatchery,Type N,1998,1200
Coho,Hatchery,Type N,1999,0
Coho,Hatchery,Type N,2000,8153
Coho,Hatchery,Type N,2001,18457
Coho,Hatchery,Type N,2002,19265
Coho,Hatchery,Type N,2003,0
Coho,Hatchery,Type N,2004,4110
Coho,Hatchery,Type N,2005,100
Coho,Hatchery,Type N,2006,11016
Coho,Hatchery,Type N,2007,5049
Coho,Hatchery,Type N,2008,6009
Coho,Hatchery,Type N,2009,12000
Coho,Hatchery,Type N,2010,2526
Coho,Hatchery,Type N,2011,1585
Coho,Hatchery,Type N,2012,1305
Coho,Hatchery,Type N,2013,2414
Coho,Hatchery,Type N,2014,9981
Coho,Hatchery,Type N,2015,818
Coho,Hatchery,Type N,2016,2469
Coho,Hatchery,Type N,2017,2856
Coho,Hatchery,Type N,2018,2400
Coho,Hatchery,Type N,2019,1987
Coho,Hatchery,Type N,2020,5056
Chum,Wild,nan,1997,0
Chum,Wild,nan,1998,0
Chum,Wild,nan,1999,0
Chum,Wild,nan,2000,0
Chum,Wild,nan,2001,0
Chum,Wild,nan,2002,184
Chum,Wild,nan,2003,74
Chum,Wild,nan,2004,0
Chum,Wild,nan,2005,20
Chum,Wild,nan,2006,56
Chum,Wild,nan,2007,0
Chum,Wild,nan,2008,0
Chum,Wild,nan,2009,0
Chum,Wild,nan,2010,0
Chum,Wild,nan,2011,176
Chum,Wild,nan,2012,140
Chum,Wild,nan,2013,150
Chum,Wild,nan,2014,165
Chum,Wild,nan,2015,130
Chum,Wild,nan,2016,184
Chum,Wild,nan,2017,157
Chum,Wild,nan,2018,182
Chum,Wild,nan,2019,178
Chum,Wild,nan,2020,170
