Species,Origin,Run,Year,Count
Chinook,Wild,Fall,1997,0
Chinook,Wild,Fall,1998,0
Chinook,Wild,Fall,1999,0
Chinook,Wild,Fall,2000,0
Chinook,Wild,Fall,2001,0
Chinook,Wild,Fall,2002,0
Chinook,Wild,Fall,2003,0
Chinook,Wild,Fall,2004,0
Chinook,Wild,Fall,2005,0
Chinook,Wild,Fall,2006,0
Chinook,Wild,Fall,2007,0
Chinook,Wild,Fall,2008,0
Chinook,Wild,Fall,2009,0
Chinook,Wild,Fall,2010,0
Chinook,Wild,Fall,2011,0
Chinook,Wild,Fall,2012,0
Chinook,Wild,Fall,2013,0
Chinook,Wild,Fall,2014,921
Chinook,Wild,Fall,2015,1084
Chinook,Wild,Fall,2016,399
Chinook,Wild,Fall,2017,339
Chinook,Wild,Fall,2018,130
Chinook,Wild,Fall,2019,309
Chinook,Wild,Fall,2020,511
Chinook,Hatchery,Fall,1997,0
Chinook,Hatchery,Fall,1998,0
Chinook,Hatchery,Fall,1999,0
Chinook,Hatchery,Fall,2000,0
Chinook,Hatchery,Fall,2001,0
Chinook,Hatchery,Fall,2002,0
Chinook,Hatchery,Fall,2003,0
Chinook,Hatchery,Fall,2004,0
Chinook,Hatchery,Fall,2005,0
Chinook,Hatchery,Fall,2006,0
Chinook,Hatchery,Fall,2007,0
Chinook,Hatchery,Fall,2008,0
Chinook,Hatchery,Fall,2009,0
Chinook,Hatchery,Fall,2010,0
Chinook,Hatchery,Fall,2011,0
Chinook,Hatchery,Fall,2012,0
Chinook,Hatchery,Fall,2013,0
Chinook,Hatchery,Fall,2014,9259
Chinook,Hatchery,Fall,2015,15459
Chinook,Hatchery,Fall,2016,6284
Chinook,Hatchery,Fall,2017,2699
Chinook,Hatchery,Fall,2018,1342
Chinook,Hatchery,Fall,2019,2339
Chinook,Hatchery,Fall,2020,3880
Steelhead,Wild,Summer,1997,0
Steelhead,Wild,Summer,1998,0
Steelhead,Wild,Summer,1999,0
Steelhead,Wild,Summer,2000,0
Steelhead,Wild,Summer,2001,0
Steelhead,Wild,Summer,2002,0
Steelhead,Wild,Summer,2003,0
Steelhead,Wild,Summer,2004,0
Steelhead,Wild,Summer,2005,0
Steelhead,Wild,Summer,2006,0
Steelhead,Wild,Summer,2007,0
Steelhead,Wild,Summer,2008,0
Steelhead,Wild,Summer,2009,0
Steelhead,Wild,Summer,2010,0
Steelhead,Wild,Summer,2011,0
Steelhead,Wild,Summer,2012,0
Steelhead,Wild,Summer,2013,0
Steelhead,Wild,Summer,2014,72
Steelhead,Wild,Summer,2015,82
Steelhead,Wild,Summer,2016,22
Steelhead,Wild,Summer,2017,16
Steelhead,Wild,Summer,2018,40
Steelhead,Wild,Summer,2019,25
Steelhead,Wild,Summer,2020,37
Steelhead,Hatchery,Summer,1997,0
Steelhead,Hatchery,Summer,1998,0
Steelhead,Hatchery,Summer,1999,0
Steelhead,Hatchery,Summer,2000,0
Steelhead,Hatchery,Summer,2001,0
Steelhead,Hatchery,Summer,2002,0
Steelhead,Hatchery,Summer,2003,0
Steelhead,Hatchery,Summer,2004,0
Steelhead,Hatchery,Summer,2005,0
Steelhead,Hatchery,Summer,2006,0
Steelhead,Hatchery,Summer,2007,0
Steelhead,Hatchery,Summer,2008,0
Steelhead,Hatchery,Summer,2009,0
Steelhead,Hatchery,Summer,2010,0
Steelhead,Hatchery,Summer,2011,0
Steelhead,Hatchery,Summer,2012,0
Steelhead,Hatchery,Summer,2013,0
Steelhead,Hatchery,Summer,2014,364
Steelhead,Hatchery,Summer,2015,371
Steelhead,Hatchery,Summer,2016,422
Steelhead,Hatchery,Summer,2017,78
Steelhead,Hatchery,Summer,2018,205
Steelhead,Hatchery,Summer,2019,72
Steelhead,Hatchery,Summer,2020,87
Coho,Wild,Type N,1997,0
Coho,Wild,Type N,1998,0
Coho,Wild,Type N,1999,0
Coho,Wild,Type N,2000,0
Coho,Wild,Type N,2001,0
Coho,Wild,Type N,2002,0
Coho,Wild,Type N,2003,0
Coho,Wild,Type N,2004,0
Coho,Wild,Type N,2005,0
Coho,Wild,Type N,2006,0
Coho,Wild,Type N,2007,0
Coho,Wild,Type N,2008,0
Coho,Wild,Type N,2009,0
Coho,Wild,Type N,2010,0
Coho,Wild,Type N,2011,0
Coho,Wild,Type N,2012,0
Coho,Wild,Type N,2013,0
Coho,Wild,Type N,2014,54
Coho,Wild,Type N,2015,7
Coho,Wild,Type N,2016,0
Coho,Wild,Type N,2017,23
Coho,Wild,Type N,2018,2
Coho,Wild,Type N,2019,15
Coho,Wild,Type N,2020,26
Coho,Hatchery,Type N,1997,0
Coho,Hatchery,Type N,1998,0
Coho,Hatchery,Type N,1999,0
Coho,Hatchery,Type N,2000,0
Coho,Hatchery,Type N,2001,0
Coho,Hatchery,Type N,2002,0
Coho,Hatchery,Type N,2003,0
Coho,Hatchery,Type N,2004,0
Coho,Hatchery,Type N,2005,0
Coho,Hatchery,Type N,2006,0
Coho,Hatchery,Type N,2007,0
Coho,Hatchery,Type N,2008,0
Coho,Hatchery,Type N,2009,0
Coho,Hatchery,Type N,2010,0
Coho,Hatchery,Type N,2011,0
Coho,Hatchery,Type N,2012,0
Coho,Hatchery,Type N,2013,0
Coho,Hatchery,Type N,2014,1074
Coho,Hatchery,Type N,2015,24
Coho,Hatchery,Type N,2016,7
Coho,Hatchery,Type N,2017,448
Coho,Hatchery,Type N,2018,102
Coho,Hatchery,Type N,2019,50
Coho,Hatchery,Type N,2020,1112
