Species,Origin,Run,Year,Count
Chinook,Wild,Spring,1997,0
Chinook,Wild,Spring,1998,0
Chinook,Wild,Spring,1999,0
Chinook,Wild,Spring,2000,0
Chinook,Wild,Spring,2001,0
Chinook,Wild,Spring,2002,0
Chinook,Wild,Spring,2003,0
Chinook,Wild,Spring,2004,0
Chinook,Wild,Spring,2005,0
Chinook,Wild,Spring,2006,0
Chinook,Wild,Spring,2007,0
Chinook,Wild,Spring,2008,0
Chinook,Wild,Spring,2009,0
Chinook,Wild,Spring,2010,0
Chinook,Wild,Spring,2011,0
Chinook,Wild,Spring,2012,0
Chinook,Wild,Spring,2013,0
Chinook,Wild,Spring,2014,0
Chinook,Wild,Spring,2015,0
Chinook,Wild,Spring,2016,84
Chinook,Wild,Spring,2017,67
Chinook,Wild,Spring,2018,0
Chinook,Wild,Spring,2019,0
Chinook,Wild,Spring,2020,0
Chinook,Wild,Summer,1997,0
Chinook,Wild,Summer,1998,0
Chinook,Wild,Summer,1999,0
Chinook,Wild,Summer,2000,0
Chinook,Wild,Summer,2001,0
Chinook,Wild,Summer,2002,0
Chinook,Wild,Summer,2003,0
Chinook,Wild,Summer,2004,0
Chinook,Wild,Summer,2005,0
Chinook,Wild,Summer,2006,0
Chinook,Wild,Summer,2007,0
Chinook,Wild,Summer,2008,0
Chinook,Wild,Summer,2009,0
Chinook,Wild,Summer,2010,404
Chinook,Wild,Summer,2011,242
Chinook,Wild,Summer,2012,385
Chinook,Wild,Summer,2013,380
Chinook,Wild,Summer,2014,548
Chinook,Wild,Summer,2015,177
Chinook,Wild,Summer,2016,1823
Chinook,Wild,Summer,2017,1029
Chinook,Wild,Summer,2018,0
Chinook,Wild,Summer,2019,0
Chinook,Wild,Summer,2020,0
Chinook,Hatchery,Spring,1997,0
Chinook,Hatchery,Spring,1998,0
Chinook,Hatchery,Spring,1999,0
Chinook,Hatchery,Spring,2000,0
Chinook,Hatchery,Spring,2001,0
Chinook,Hatchery,Spring,2002,0
Chinook,Hatchery,Spring,2003,0
Chinook,Hatchery,Spring,2004,0
Chinook,Hatchery,Spring,2005,0
Chinook,Hatchery,Spring,2006,0
Chinook,Hatchery,Spring,2007,0
Chinook,Hatchery,Spring,2008,0
Chinook,Hatchery,Spring,2009,0
Chinook,Hatchery,Spring,2010,0
Chinook,Hatchery,Spring,2011,0
Chinook,Hatchery,Spring,2012,0
Chinook,Hatchery,Spring,2013,0
Chinook,Hatchery,Spring,2014,0
Chinook,Hatchery,Spring,2015,0
Chinook,Hatchery,Spring,2016,501
Chinook,Hatchery,Spring,2017,443
