Run,Year,Count
Hatchery Winter Steelhead,1997,0
Hatchery Winter Steelhead,1998,0
Hatchery Winter Steelhead,1999,0
Hatchery Winter Steelhead,2000,27
Hatchery Winter Steelhead,2001,38
Hatchery Winter Steelhead,2002,64
Hatchery Winter Steelhead,2003,28
Hatchery Winter Steelhead,2004,136
Hatchery Winter Steelhead,2005,33
Hatchery Winter Steelhead,2006,3
Hatchery Winter Steelhead,2007,27
Hatchery Winter Steelhead,2008,0
Hatchery Winter Steelhead,2009,0
Hatchery Winter Steelhead,2010,0
Hatchery Winter Steelhead,2011,0
Hatchery Winter Steelhead,2012,0
Hatchery Winter Steelhead,2013,0
Hatchery Winter Steelhead,2014,0
Hatchery Winter Steelhead,2015,0
Hatchery Winter Steelhead,2016,0
Hatchery Winter Steelhead,2017,0
Hatchery Winter Steelhead,2018,0
Hatchery Winter Steelhead,2019,0
Hatchery Winter Steelhead,2020,0
