Run,Year,Count
Wild Winter-Late Steelhead,1997,0
Wild Winter-Late Steelhead,1998,0
Wild Winter-Late Steelhead,1999,0
Wild Winter-Late Steelhead,2000,0
Wild Winter-Late Steelhead,2001,0
Wild Winter-Late Steelhead,2002,0
Wild Winter-Late Steelhead,2003,0
Wild Winter-Late Steelhead,2004,0
Wild Winter-Late Steelhead,2005,0
Wild Winter-Late Steelhead,2006,0
Wild Winter-Late Steelhead,2007,0
Wild Winter-Late Steelhead,2008,0
Wild Winter-Late Steelhead,2009,0
Wild Winter-Late Steelhead,2010,0
Wild Winter-Late Steelhead,2011,0
Wild Winter-Late Steelhead,2012,0
Wild Winter-Late Steelhead,2013,0
Wild Winter-Late Steelhead,2014,0
Wild Winter-Late Steelhead,2015,118
Wild Winter-Late Steelhead,2016,168
Wild Winter-Late Steelhead,2017,123
Wild Winter-Late Steelhead,2018,129
Wild Winter-Late Steelhead,2019,121
Wild Winter-Late Steelhead,2020,0
Hatchery Summer Steelhead,1997,1474
Hatchery Summer Steelhead,1998,1209
Hatchery Summer Steelhead,1999,633
Hatchery Summer Steelhead,2000,1962
Hatchery Summer Steelhead,2001,3510
Hatchery Summer Steelhead,2002,3402
Hatchery Summer Steelhead,2003,4946
Hatchery Summer Steelhead,2004,4363
Hatchery Summer Steelhead,2005,1413
Hatchery Summer Steelhead,2006,1573
Hatchery Summer Steelhead,2007,886
Hatchery Summer Steelhead,2008,1623
Hatchery Summer Steelhead,2009,1041
Hatchery Summer Steelhead,2010,0
Hatchery Summer Steelhead,2011,0
Hatchery Summer Steelhead,2012,0
Hatchery Summer Steelhead,2013,0
Hatchery Summer Steelhead,2014,884
Hatchery Summer Steelhead,2015,893
Hatchery Summer Steelhead,2016,909
Hatchery Summer Steelhead,2017,858
Hatchery Summer Steelhead,2018,1067
Hatchery Summer Steelhead,2019,0
Hatchery Summer Steelhead,2020,0
Hatchery Winter Steelhead,1997,360
Hatchery Winter Steelhead,1998,1427
Hatchery Winter Steelhead,1999,2224
Hatchery Winter Steelhead,2000,3014
Hatchery Winter Steelhead,2001,3437
Hatchery Winter Steelhead,2002,5060
Hatchery Winter Steelhead,2003,2339
Hatchery Winter Steelhead,2004,2266
Hatchery Winter Steelhead,2005,1951
Hatchery Winter Steelhead,2006,2297
Hatchery Winter Steelhead,2007,460
Hatchery Winter Steelhead,2008,673
Hatchery Winter Steelhead,2009,496
Hatchery Winter Steelhead,2010,80
Hatchery Winter Steelhead,2011,0
Hatchery Winter Steelhead,2012,0
Hatchery Winter Steelhead,2013,0
Hatchery Winter Steelhead,2014,0
Hatchery Winter Steelhead,2015,0
Hatchery Winter Steelhead,2016,0
Hatchery Winter Steelhead,2017,0
Hatchery Winter Steelhead,2018,0
Hatchery Winter Steelhead,2019,0
Hatchery Winter Steelhead,2020,0
Hatchery Winter-Late Steelhead,1997,0
Hatchery Winter-Late Steelhead,1998,0
Hatchery Winter-Late Steelhead,1999,0
Hatchery Winter-Late Steelhead,2000,0
Hatchery Winter-Late Steelhead,2001,514
Hatchery Winter-Late Steelhead,2002,624
Hatchery Winter-Late Steelhead,2003,763
Hatchery Winter-Late Steelhead,2004,518
Hatchery Winter-Late Steelhead,2005,6
Hatchery Winter-Late Steelhead,2006,816
Hatchery Winter-Late Steelhead,2007,398
Hatchery Winter-Late Steelhead,2008,569
Hatchery Winter-Late Steelhead,2009,553
Hatchery Winter-Late Steelhead,2010,0
Hatchery Winter-Late Steelhead,2011,0
Hatchery Winter-Late Steelhead,2012,0
Hatchery Winter-Late Steelhead,2013,0
Hatchery Winter-Late Steelhead,2014,0
Hatchery Winter-Late Steelhead,2015,614
Hatchery Winter-Late Steelhead,2016,336
Hatchery Winter-Late Steelhead,2017,316
Hatchery Winter-Late Steelhead,2018,705
Hatchery Winter-Late Steelhead,2019,412
Hatchery Winter-Late Steelhead,2020,0
Hatchery Type N Coho,1997,127
Hatchery Type N Coho,1998,542
Hatchery Type N Coho,1999,222
Hatchery Type N Coho,2000,91
Hatchery Type N Coho,2001,352
Hatchery Type N Coho,2002,69
Hatchery Type N Coho,2003,111
Hatchery Type N Coho,2004,124
Hatchery Type N Coho,2005,11
Hatchery Type N Coho,2006,11
Hatchery Type N Coho,2007,0
Hatchery Type N Coho,2008,0
Hatchery Type N Coho,2009,0
Hatchery Type N Coho,2010,0
Hatchery Type N Coho,2011,0
Hatchery Type N Coho,2012,0
Hatchery Type N Coho,2013,0
Hatchery Type N Coho,2014,0
Hatchery Type N Coho,2015,0
Hatchery Type N Coho,2016,0
Hatchery Type N Coho,2017,0
Hatchery Type N Coho,2018,0
Hatchery Type N Coho,2019,0
Hatchery Type N Coho,2020,0
