Run,Year,Count
Wild Summer Steelhead,1997,0
Wild Summer Steelhead,1998,0
Wild Summer Steelhead,1999,0
Wild Summer Steelhead,2000,0
Wild Summer Steelhead,2001,0
Wild Summer Steelhead,2002,0
Wild Summer Steelhead,2003,120
Wild Summer Steelhead,2004,97
Wild Summer Steelhead,2005,86
Wild Summer Steelhead,2006,163
Wild Summer Steelhead,2007,0
Wild Summer Steelhead,2008,120
Wild Summer Steelhead,2009,0
Wild Summer Steelhead,2010,611
Wild Summer Steelhead,2011,305
Wild Summer Steelhead,2012,32
Wild Summer Steelhead,2013,190
Wild Summer Steelhead,2014,0
Wild Summer Steelhead,2015,0
Wild Summer Steelhead,2016,0
Wild Summer Steelhead,2017,0
Wild Summer Steelhead,2018,0
Wild Summer Steelhead,2019,0
Wild Summer Steelhead,2020,0
Hatchery Summer Steelhead,1997,0
Hatchery Summer Steelhead,1998,0
Hatchery Summer Steelhead,1999,0
Hatchery Summer Steelhead,2000,0
Hatchery Summer Steelhead,2001,0
Hatchery Summer Steelhead,2002,0
Hatchery Summer Steelhead,2003,12
Hatchery Summer Steelhead,2004,64
Hatchery Summer Steelhead,2005,37
Hatchery Summer Steelhead,2006,49
Hatchery Summer Steelhead,2007,55
Hatchery Summer Steelhead,2008,26
Hatchery Summer Steelhead,2009,69
Hatchery Summer Steelhead,2010,248
Hatchery Summer Steelhead,2011,87
Hatchery Summer Steelhead,2012,2
Hatchery Summer Steelhead,2013,104
Hatchery Summer Steelhead,2014,0
Hatchery Summer Steelhead,2015,8
Hatchery Summer Steelhead,2016,0
Hatchery Summer Steelhead,2017,0
Hatchery Summer Steelhead,2018,0
Hatchery Summer Steelhead,2019,0
Hatchery Summer Steelhead,2020,0
