Run,Year,Count
Hatchery Late Coho,1997,0
Hatchery Late Coho,1998,0
Hatchery Late Coho,1999,0
Hatchery Late Coho,2000,0
Hatchery Late Coho,2001,27
Hatchery Late Coho,2002,325
Hatchery Late Coho,2003,152
Hatchery Late Coho,2004,67
Hatchery Late Coho,2005,0
Hatchery Late Coho,2006,0
Hatchery Late Coho,2007,0
Hatchery Late Coho,2008,0
Hatchery Late Coho,2009,25
Hatchery Late Coho,2010,373
Hatchery Late Coho,2011,0
Hatchery Late Coho,2012,0
Hatchery Late Coho,2013,0
Hatchery Late Coho,2014,0
Hatchery Late Coho,2015,0
Hatchery Late Coho,2016,0
Hatchery Late Coho,2017,0
Hatchery Late Coho,2018,0
Hatchery Late Coho,2019,0
Hatchery Late Coho,2020,0
