Run,Year,Count
Hatchery Spring Chinook,1997,0
Hatchery Spring Chinook,1998,0
Hatchery Spring Chinook,1999,0
Hatchery Spring Chinook,2000,1
Hatchery Spring Chinook,2001,29
Hatchery Spring Chinook,2002,0
Hatchery Spring Chinook,2003,52
Hatchery Spring Chinook,2004,177
Hatchery Spring Chinook,2005,25
Hatchery Spring Chinook,2006,16
Hatchery Spring Chinook,2007,5
Hatchery Spring Chinook,2008,0
Hatchery Spring Chinook,2009,0
Hatchery Spring Chinook,2010,0
Hatchery Spring Chinook,2011,0
Hatchery Spring Chinook,2012,0
Hatchery Spring Chinook,2013,0
Hatchery Spring Chinook,2014,0
Hatchery Spring Chinook,2015,0
Hatchery Spring Chinook,2016,0
Hatchery Spring Chinook,2017,0
Hatchery Spring Chinook,2018,0
Hatchery Spring Chinook,2019,0
Hatchery Spring Chinook,2020,0
Hatchery Fall Chinook,1997,3711
Hatchery Fall Chinook,1998,1440
Hatchery Fall Chinook,1999,2914
Hatchery Fall Chinook,2000,1763
Hatchery Fall Chinook,2001,3863
Hatchery Fall Chinook,2002,2617
Hatchery Fall Chinook,2003,3338
Hatchery Fall Chinook,2004,2139
Hatchery Fall Chinook,2005,1514
Hatchery Fall Chinook,2006,1102
Hatchery Fall Chinook,2007,0
Hatchery Fall Chinook,2008,0
Hatchery Fall Chinook,2009,0
Hatchery Fall Chinook,2010,0
Hatchery Fall Chinook,2011,0
Hatchery Fall Chinook,2012,0
Hatchery Fall Chinook,2013,0
Hatchery Fall Chinook,2014,0
Hatchery Fall Chinook,2015,0
Hatchery Fall Chinook,2016,0
Hatchery Fall Chinook,2017,0
Hatchery Fall Chinook,2018,0
Hatchery Fall Chinook,2019,0
Hatchery Fall Chinook,2020,0
Wild Winter Steelhead,1997,0
Wild Winter Steelhead,1998,0
Wild Winter Steelhead,1999,8
Wild Winter Steelhead,2000,74
Wild Winter Steelhead,2001,98
Wild Winter Steelhead,2002,0
Wild Winter Steelhead,2003,32
Wild Winter Steelhead,2004,49
Wild Winter Steelhead,2005,0
Wild Winter Steelhead,2006,17
Wild Winter Steelhead,2007,11
Wild Winter Steelhead,2008,1
Wild Winter Steelhead,2009,6
Wild Winter Steelhead,2010,0
Wild Winter Steelhead,2011,0
Wild Winter Steelhead,2012,0
Wild Winter Steelhead,2013,0
Wild Winter Steelhead,2014,0
Wild Winter Steelhead,2015,0
Wild Winter Steelhead,2016,0
Wild Winter Steelhead,2017,0
Wild Winter Steelhead,2018,0
Wild Winter Steelhead,2019,0
Wild Winter Steelhead,2020,0
Hatchery Summer Steelhead,1997,0
Hatchery Summer Steelhead,1998,0
Hatchery Summer Steelhead,1999,0
