Run,Year,Count
Hatchery Fall Chinook,1997,695
Hatchery Fall Chinook,1998,375
Hatchery Fall Chinook,1999,474
Hatchery Fall Chinook,2000,96
Hatchery Fall Chinook,2001,574
Hatchery Fall Chinook,2002,418
Hatchery Fall Chinook,2003,171
Hatchery Fall Chinook,2004,450
Hatchery Fall Chinook,2005,59
Hatchery Fall Chinook,2006,162
Hatchery Fall Chinook,2007,73
Hatchery Fall Chinook,2008,46
Hatchery Fall Chinook,2009,760
Hatchery Fall Chinook,2010,0
Hatchery Fall Chinook,2011,257
Hatchery Fall Chinook,2012,384
Hatchery Fall Chinook,2013,150
Hatchery Fall Chinook,2014,826
Hatchery Fall Chinook,2015,36
Hatchery Fall Chinook,2016,51
Hatchery Fall Chinook,2017,39
Hatchery Fall Chinook,2018,0
Hatchery Fall Chinook,2019,0
Hatchery Fall Chinook,2020,0
Hatchery Summer Steelhead,1997,0
Hatchery Summer Steelhead,1998,2
Hatchery Summer Steelhead,1999,0
Hatchery Summer Steelhead,2000,0
Hatchery Summer Steelhead,2001,36
Hatchery Summer Steelhead,2002,14
Hatchery Summer Steelhead,2003,41
Hatchery Summer Steelhead,2004,21
Hatchery Summer Steelhead,2005,7
Hatchery Summer Steelhead,2006,0
Hatchery Summer Steelhead,2007,10
Hatchery Summer Steelhead,2008,5
Hatchery Summer Steelhead,2009,1
Hatchery Summer Steelhead,2010,5
Hatchery Summer Steelhead,2011,0
Hatchery Summer Steelhead,2012,0
Hatchery Summer Steelhead,2013,0
Hatchery Summer Steelhead,2014,56
Hatchery Summer Steelhead,2015,57
Hatchery Summer Steelhead,2016,1
Hatchery Summer Steelhead,2017,7
Hatchery Summer Steelhead,2018,0
Hatchery Summer Steelhead,2019,0
Hatchery Summer Steelhead,2020,0
Hatchery Type S Coho,1997,1068
Hatchery Type S Coho,1998,2796
Hatchery Type S Coho,1999,4887
Hatchery Type S Coho,2000,2702
Hatchery Type S Coho,2001,10342
Hatchery Type S Coho,2002,3265
Hatchery Type S Coho,2003,3255
Hatchery Type S Coho,2004,1169
Hatchery Type S Coho,2005,1027
Hatchery Type S Coho,2006,2396
Hatchery Type S Coho,2007,4571
Hatchery Type S Coho,2008,2721
Hatchery Type S Coho,2009,2050
Hatchery Type S Coho,2010,1898
Hatchery Type S Coho,2011,463
Hatchery Type S Coho,2012,357
Hatchery Type S Coho,2013,711
Hatchery Type S Coho,2014,4113
Hatchery Type S Coho,2015,606
Hatchery Type S Coho,2016,0
Hatchery Type S Coho,2017,2
Hatchery Type S Coho,2018,0
Hatchery Type S Coho,2019,0
Hatchery Type S Coho,2020,0
