Run,Year,Count
Hatchery Fall Chinook,1997,0
Hatchery Fall Chinook,1998,0
Hatchery Fall Chinook,1999,0
Hatchery Fall Chinook,2000,90
Hatchery Fall Chinook,2001,909
Hatchery Fall Chinook,2002,852
Hatchery Fall Chinook,2003,64
Hatchery Fall Chinook,2004,6
Hatchery Fall Chinook,2005,52
Hatchery Fall Chinook,2006,15
Hatchery Fall Chinook,2007,0
Hatchery Fall Chinook,2008,0
Hatchery Fall Chinook,2009,21
Hatchery Fall Chinook,2010,713
Hatchery Fall Chinook,2011,1721
Hatchery Fall Chinook,2012,1570
Hatchery Fall Chinook,2013,1115
Hatchery Fall Chinook,2014,367
Hatchery Fall Chinook,2015,858
Hatchery Fall Chinook,2016,669
Hatchery Fall Chinook,2017,449
Hatchery Fall Chinook,2018,2
Hatchery Fall Chinook,2019,116
Hatchery Fall Chinook,2020,0
Hatchery Coho,1997,0
Hatchery Coho,1998,0
Hatchery Coho,1999,0
Hatchery Coho,2000,400
Hatchery Coho,2001,340
Hatchery Coho,2002,9
Hatchery Coho,2003,0
Hatchery Coho,2004,266
Hatchery Coho,2005,13
Hatchery Coho,2006,0
Hatchery Coho,2007,0
Hatchery Coho,2008,0
Hatchery Coho,2009,0
Hatchery Coho,2010,22
Hatchery Coho,2011,136
Hatchery Coho,2012,7
Hatchery Coho,2013,5
Hatchery Coho,2014,0
Hatchery Coho,2015,0
Hatchery Coho,2016,0
Hatchery Coho,2017,0
Hatchery Coho,2018,0
Hatchery Coho,2019,0
Hatchery Coho,2020,0
