Run,Year,Count
Hatchery Fall Chinook,1997,32
Hatchery Fall Chinook,1998,250
Hatchery Fall Chinook,1999,111
Hatchery Fall Chinook,2000,50
Hatchery Fall Chinook,2001,0
Hatchery Fall Chinook,2002,0
Hatchery Fall Chinook,2003,11
Hatchery Fall Chinook,2004,10
Hatchery Fall Chinook,2005,0
Hatchery Fall Chinook,2006,0
Hatchery Fall Chinook,2007,7
Hatchery Fall Chinook,2008,0
Hatchery Fall Chinook,2009,0
Hatchery Fall Chinook,2010,0
Hatchery Fall Chinook,2011,0
Hatchery Fall Chinook,2012,0
Hatchery Fall Chinook,2013,36
Hatchery Fall Chinook,2014,0
Hatchery Fall Chinook,2015,0
Hatchery Fall Chinook,2016,0
Hatchery Fall Chinook,2017,0
Hatchery Fall Chinook,2018,0
Hatchery Fall Chinook,2019,0
Hatchery Fall Chinook,2020,0
Hatchery Winter Steelhead,1997,3
Hatchery Winter Steelhead,1998,0
Hatchery Winter Steelhead,1999,0
Hatchery Winter Steelhead,2000,410
Hatchery Winter Steelhead,2001,332
Hatchery Winter Steelhead,2002,0
Hatchery Winter Steelhead,2003,0
Hatchery Winter Steelhead,2004,300
Hatchery Winter Steelhead,2005,74
Hatchery Winter Steelhead,2006,437
Hatchery Winter Steelhead,2007,238
Hatchery Winter Steelhead,2008,171
Hatchery Winter Steelhead,2009,72
Hatchery Winter Steelhead,2010,234
Hatchery Winter Steelhead,2011,166
Hatchery Winter Steelhead,2012,350
Hatchery Winter Steelhead,2013,0
Hatchery Winter Steelhead,2014,102
Hatchery Winter Steelhead,2015,62
Hatchery Winter Steelhead,2016,0
Hatchery Winter Steelhead,2017,30
Hatchery Winter Steelhead,2018,0
Hatchery Winter Steelhead,2019,0
Hatchery Winter Steelhead,2020,0
Hatchery Type S Coho,1997,659
Hatchery Type S Coho,1998,72
Hatchery Type S Coho,1999,719
Hatchery Type S Coho,2000,9825
Hatchery Type S Coho,2001,7100
Hatchery Type S Coho,2002,590
Hatchery Type S Coho,2003,458
Hatchery Type S Coho,2004,2011
Hatchery Type S Coho,2005,3349
Hatchery Type S Coho,2006,950
Hatchery Type S Coho,2007,969
Hatchery Type S Coho,2008,1712
Hatchery Type S Coho,2009,744
Hatchery Type S Coho,2010,201
Hatchery Type S Coho,2011,122
Hatchery Type S Coho,2012,45
Hatchery Type S Coho,2013,96
Hatchery Type S Coho,2014,168
Hatchery Type S Coho,2015,0
Hatchery Type S Coho,2016,19
Hatchery Type S Coho,2017,0
Hatchery Type S Coho,2018,20
Hatchery Type S Coho,2019,15
Hatchery Type S Coho,2020,0
Hatchery Type N Coho,1997,0
Hatchery Type N Coho,1998,0
Hatchery Type N Coho,1999,0
Hatchery Type N Coho,2000,0
Hatchery Type N Coho,2001,0
Hatchery Type N Coho,2002,0
Hatchery Type N Coho,2003,0
Hatchery Type N Coho,2004,0
Hatchery Type N Coho,2005,0
Hatchery Type N Coho,2006,0
Hatchery Type N Coho,2007,0
Hatchery Type N Coho,2008,0
Hatchery Type N Coho,2009,0
Hatchery Type N Coho,2010,4400
Hatchery Type N Coho,2011,2111
Hatchery Type N Coho,2012,873
Hatchery Type N Coho,2013,814
Hatchery Type N Coho,2014,5566
Hatchery Type N Coho,2015,891
Hatchery Type N Coho,2016,1335
Hatchery Type N Coho,2017,156
Hatchery Type N Coho,2018,330
Hatchery Type N Coho,2019,176
Hatchery Type N Coho,2020,0
Wild Chum,1997,0
Wild Chum,1998,0
Wild Chum,1999,0
Wild Chum,2000,0
Wild Chum,2001,362
Wild Chum,2002,310
Wild Chum,2003,40
Wild Chum,2004,308
Wild Chum,2005,128
Wild Chum,2006,118
Wild Chum,2007,136
Wild Chum,2008,88
Wild Chum,2009,108
Wild Chum,2010,301
Wild Chum,2011,295
Wild Chum,2012,226
Wild Chum,2013,253
Wild Chum,2014,259
Wild Chum,2015,243
Wild Chum,2016,0
Wild Chum,2017,0
Wild Chum,2018,0
Wild Chum,2019,0
Wild Chum,2020,0
