Run,Year,Count
Hatchery Spring Chinook,1997,903
Hatchery Spring Chinook,1998,375
Hatchery Spring Chinook,1999,0
Hatchery Spring Chinook,2000,647
Hatchery Spring Chinook,2001,492
Hatchery Spring Chinook,2002,399
Hatchery Spring Chinook,2003,508
Hatchery Spring Chinook,2004,587
Hatchery Spring Chinook,2005,399
Hatchery Spring Chinook,2006,921
Hatchery Spring Chinook,2007,2143
Hatchery Spring Chinook,2008,1056
Hatchery Spring Chinook,2009,615
Hatchery Spring Chinook,2010,0
Hatchery Spring Chinook,2011,0
Hatchery Spring Chinook,2012,0
Hatchery Spring Chinook,2013,0
Hatchery Spring Chinook,2014,0
Hatchery Spring Chinook,2015,0
Hatchery Spring Chinook,2016,0
Hatchery Spring Chinook,2017,0
Hatchery Spring Chinook,2018,0
Hatchery Spring Chinook,2019,0
Hatchery Spring Chinook,2020,0
