Run,Year,Count
Hatchery Spring Chinook,1997,807
Hatchery Spring Chinook,1998,320
Hatchery Spring Chinook,1999,475
Hatchery Spring Chinook,2000,965
Hatchery Spring Chinook,2001,409
Hatchery Spring Chinook,2002,1234
Hatchery Spring Chinook,2003,1684
Hatchery Spring Chinook,2004,1566
Hatchery Spring Chinook,2005,495
Hatchery Spring Chinook,2006,0
Hatchery Spring Chinook,2007,0
Hatchery Spring Chinook,2008,0
Hatchery Spring Chinook,2009,0
Hatchery Spring Chinook,2010,0
Hatchery Spring Chinook,2011,0
Hatchery Spring Chinook,2012,0
Hatchery Spring Chinook,2013,0
Hatchery Spring Chinook,2014,0
Hatchery Spring Chinook,2015,0
Hatchery Spring Chinook,2016,0
Hatchery Spring Chinook,2017,0
Hatchery Spring Chinook,2018,0
Hatchery Spring Chinook,2019,0
Hatchery Spring Chinook,2020,0
