Run,Year,Count
Wild Winter Steelhead,1997,0
Wild Winter Steelhead,1998,19
Wild Winter Steelhead,1999,0
Wild Winter Steelhead,2000,0
Wild Winter Steelhead,2001,0
Wild Winter Steelhead,2002,0
Wild Winter Steelhead,2003,0
Wild Winter Steelhead,2004,0
Wild Winter Steelhead,2005,0
Wild Winter Steelhead,2006,0
Wild Winter Steelhead,2007,0
Wild Winter Steelhead,2008,0
Wild Winter Steelhead,2009,48
Wild Winter Steelhead,2010,98
Wild Winter Steelhead,2011,50
Wild Winter Steelhead,2012,0
Wild Winter Steelhead,2013,0
Wild Winter Steelhead,2014,0
Wild Winter Steelhead,2015,0
Wild Winter Steelhead,2016,0
Wild Winter Steelhead,2017,0
Wild Winter Steelhead,2018,0
Wild Winter Steelhead,2019,0
Wild Winter Steelhead,2020,0
Wild Winter-Late Steelhead,1997,0
Wild Winter-Late Steelhead,1998,0
Wild Winter-Late Steelhead,1999,0
Wild Winter-Late Steelhead,2000,0
Wild Winter-Late Steelhead,2001,0
Wild Winter-Late Steelhead,2002,0
Wild Winter-Late Steelhead,2003,0
Wild Winter-Late Steelhead,2004,0
Wild Winter-Late Steelhead,2005,0
Wild Winter-Late Steelhead,2006,0
Wild Winter-Late Steelhead,2007,0
Wild Winter-Late Steelhead,2008,0
Wild Winter-Late Steelhead,2009,0
Wild Winter-Late Steelhead,2010,0
Wild Winter-Late Steelhead,2011,0
Wild Winter-Late Steelhead,2012,67
Wild Winter-Late Steelhead,2013,18
Wild Winter-Late Steelhead,2014,71
Wild Winter-Late Steelhead,2015,0
Wild Winter-Late Steelhead,2016,23
Wild Winter-Late Steelhead,2017,8
Wild Winter-Late Steelhead,2018,5
Wild Winter-Late Steelhead,2019,10
Wild Winter-Late Steelhead,2020,0
Hatchery Summer Steelhead,1997,902
Hatchery Summer Steelhead,1998,456
Hatchery Summer Steelhead,1999,474
Hatchery Summer Steelhead,2000,848
Hatchery Summer Steelhead,2001,5529
Hatchery Summer Steelhead,2002,0
Hatchery Summer Steelhead,2003,1147
Hatchery Summer Steelhead,2004,0
Hatchery Summer Steelhead,2005,577
Hatchery Summer Steelhead,2006,0
Hatchery Summer Steelhead,2007,0
Hatchery Summer Steelhead,2008,0
Hatchery Summer Steelhead,2009,0
Hatchery Summer Steelhead,2010,0
Hatchery Summer Steelhead,2011,0
Hatchery Summer Steelhead,2012,0
Hatchery Summer Steelhead,2013,1
Hatchery Summer Steelhead,2014,0
Hatchery Summer Steelhead,2015,0
Hatchery Summer Steelhead,2016,0
Hatchery Summer Steelhead,2017,0
Hatchery Summer Steelhead,2018,0
Hatchery Summer Steelhead,2019,1
Hatchery Summer Steelhead,2020,0
Hatchery Winter Steelhead,1997,79
Hatchery Winter Steelhead,1998,489
Hatchery Winter Steelhead,1999,270
Hatchery Winter Steelhead,2000,328
Hatchery Winter Steelhead,2001,316
Hatchery Winter Steelhead,2002,334
Hatchery Winter Steelhead,2003,0
Hatchery Winter Steelhead,2004,238
Hatchery Winter Steelhead,2005,197
Hatchery Winter Steelhead,2006,236
Hatchery Winter Steelhead,2007,238
Hatchery Winter Steelhead,2008,294
Hatchery Winter Steelhead,2009,275
Hatchery Winter Steelhead,2010,37
Hatchery Winter Steelhead,2011,5
Hatchery Winter Steelhead,2012,0
Hatchery Winter Steelhead,2013,0
Hatchery Winter Steelhead,2014,0
Hatchery Winter Steelhead,2015,0
Hatchery Winter Steelhead,2016,0
Hatchery Winter Steelhead,2017,0
Hatchery Winter Steelhead,2018,0
Hatchery Winter Steelhead,2019,0
Hatchery Winter Steelhead,2020,0
