Run,Year,Count
Wild Spring Chinook,1997,14
Wild Spring Chinook,1998,0
Wild Spring Chinook,1999,0
Wild Spring Chinook,2000,0
Wild Spring Chinook,2001,0
Wild Spring Chinook,2002,0
Wild Spring Chinook,2003,0
Wild Spring Chinook,2004,0
Wild Spring Chinook,2005,0
Wild Spring Chinook,2006,0
Wild Spring Chinook,2007,0
Wild Spring Chinook,2008,0
Wild Spring Chinook,2009,0
Wild Spring Chinook,2010,177
Wild Spring Chinook,2011,135
Wild Spring Chinook,2012,153
Wild Spring Chinook,2013,112
Wild Spring Chinook,2014,263
Wild Spring Chinook,2015,169
Wild Spring Chinook,2016,9
Wild Spring Chinook,2017,6
Wild Spring Chinook,2018,0
Wild Spring Chinook,2019,0
Wild Spring Chinook,2020,0
Hatchery Spring Chinook,1997,0
Hatchery Spring Chinook,1998,0
Hatchery Spring Chinook,1999,0
Hatchery Spring Chinook,2000,0
Hatchery Spring Chinook,2001,806
Hatchery Spring Chinook,2002,988
Hatchery Spring Chinook,2003,188
Hatchery Spring Chinook,2004,287
Hatchery Spring Chinook,2005,190
Hatchery Spring Chinook,2006,353
Hatchery Spring Chinook,2007,0
Hatchery Spring Chinook,2008,0
Hatchery Spring Chinook,2009,0
Hatchery Spring Chinook,2010,1272
Hatchery Spring Chinook,2011,647
Hatchery Spring Chinook,2012,1009
Hatchery Spring Chinook,2013,708
Hatchery Spring Chinook,2014,1540
Hatchery Spring Chinook,2015,3262
Hatchery Spring Chinook,2016,439
Hatchery Spring Chinook,2017,221
Hatchery Spring Chinook,2018,0
Hatchery Spring Chinook,2019,0
Hatchery Spring Chinook,2020,0
Wild Summer Steelhead,1997,0
Wild Summer Steelhead,1998,0
Wild Summer Steelhead,1999,0
Wild Summer Steelhead,2000,0
Wild Summer Steelhead,2001,0
Wild Summer Steelhead,2002,0
Wild Summer Steelhead,2003,0
Wild Summer Steelhead,2004,0
Wild Summer Steelhead,2005,0
Wild Summer Steelhead,2006,0
Wild Summer Steelhead,2007,0
Wild Summer Steelhead,2008,0
Wild Summer Steelhead,2009,0
Wild Summer Steelhead,2010,0
Wild Summer Steelhead,2011,26
Wild Summer Steelhead,2012,28
Wild Summer Steelhead,2013,89
Wild Summer Steelhead,2014,99
Wild Summer Steelhead,2015,71
Wild Summer Steelhead,2016,10
Wild Summer Steelhead,2017,4
Wild Summer Steelhead,2018,0
Wild Summer Steelhead,2019,0
Wild Summer Steelhead,2020,0
Hatchery Summer Steelhead,1997,0
Hatchery Summer Steelhead,1998,0
Hatchery Summer Steelhead,1999,0
Hatchery Summer Steelhead,2000,0
Hatchery Summer Steelhead,2001,0
Hatchery Summer Steelhead,2002,0
Hatchery Summer Steelhead,2003,0
Hatchery Summer Steelhead,2004,0
Hatchery Summer Steelhead,2005,0
Hatchery Summer Steelhead,2006,0
Hatchery Summer Steelhead,2007,0
Hatchery Summer Steelhead,2008,0
Hatchery Summer Steelhead,2009,0
Hatchery Summer Steelhead,2010,0
Hatchery Summer Steelhead,2011,0
Hatchery Summer Steelhead,2012,10
Hatchery Summer Steelhead,2013,124
Hatchery Summer Steelhead,2014,124
Hatchery Summer Steelhead,2015,206
Hatchery Summer Steelhead,2016,111
Hatchery Summer Steelhead,2017,75
Hatchery Summer Steelhead,2018,0
Hatchery Summer Steelhead,2019,0
Hatchery Summer Steelhead,2020,0
