Run,Year,Count
Hatchery Fall Chinook,1997,0
Hatchery Fall Chinook,1998,0
Hatchery Fall Chinook,1999,0
Hatchery Fall Chinook,2000,0
Hatchery Fall Chinook,2001,0
Hatchery Fall Chinook,2002,0
Hatchery Fall Chinook,2003,0
Hatchery Fall Chinook,2004,0
Hatchery Fall Chinook,2005,0
Hatchery Fall Chinook,2006,0
Hatchery Fall Chinook,2007,0
Hatchery Fall Chinook,2008,0
Hatchery Fall Chinook,2009,0
Hatchery Fall Chinook,2010,0
Hatchery Fall Chinook,2011,9
Hatchery Fall Chinook,2012,8
Hatchery Fall Chinook,2013,266
Hatchery Fall Chinook,2014,42
Hatchery Fall Chinook,2015,44
Hatchery Fall Chinook,2016,109
Hatchery Fall Chinook,2017,255
Hatchery Fall Chinook,2018,13
Hatchery Fall Chinook,2019,19
Hatchery Fall Chinook,2020,0
Wild Coho,1997,0
Wild Coho,1998,0
Wild Coho,1999,0
Wild Coho,2000,0
Wild Coho,2001,0
Wild Coho,2002,0
Wild Coho,2003,0
Wild Coho,2004,0
Wild Coho,2005,0
Wild Coho,2006,0
Wild Coho,2007,0
Wild Coho,2008,0
Wild Coho,2009,0
Wild Coho,2010,0
Wild Coho,2011,6
Wild Coho,2012,16
Wild Coho,2013,0
Wild Coho,2014,10
Wild Coho,2015,4
Wild Coho,2016,4
Wild Coho,2017,2
Wild Coho,2018,1
Wild Coho,2019,7
Wild Coho,2020,0
Wild Pink,1997,0
Wild Pink,1998,0
Wild Pink,1999,0
Wild Pink,2000,0
Wild Pink,2001,0
Wild Pink,2002,0
Wild Pink,2003,0
Wild Pink,2004,0
Wild Pink,2005,0
Wild Pink,2006,0
Wild Pink,2007,0
Wild Pink,2008,0
Wild Pink,2009,0
Wild Pink,2010,0
Wild Pink,2011,9
Wild Pink,2012,0
Wild Pink,2013,271
Wild Pink,2014,19
Wild Pink,2015,28
Wild Pink,2016,0
Wild Pink,2017,0
Wild Pink,2018,0
Wild Pink,2019,0
Wild Pink,2020,0
Wild Odd Year Pink,1997,0
Wild Odd Year Pink,1998,0
Wild Odd Year Pink,1999,0
Wild Odd Year Pink,2000,0
Wild Odd Year Pink,2001,0
Wild Odd Year Pink,2002,0
Wild Odd Year Pink,2003,0
Wild Odd Year Pink,2004,0
Wild Odd Year Pink,2005,0
Wild Odd Year Pink,2006,0
Wild Odd Year Pink,2007,0
Wild Odd Year Pink,2008,0
Wild Odd Year Pink,2009,0
Wild Odd Year Pink,2010,0
Wild Odd Year Pink,2011,0
Wild Odd Year Pink,2012,0
Wild Odd Year Pink,2013,0
Wild Odd Year Pink,2014,0
Wild Odd Year Pink,2015,0
Wild Odd Year Pink,2016,0
Wild Odd Year Pink,2017,51
Wild Odd Year Pink,2018,0
Wild Odd Year Pink,2019,147
Wild Odd Year Pink,2020,0
