Run,Year,Count
Wild Type S Coho,1997,0
Wild Type S Coho,1998,0
Wild Type S Coho,1999,0
Wild Type S Coho,2000,0
Wild Type S Coho,2001,0
Wild Type S Coho,2002,124
Wild Type S Coho,2003,430
Wild Type S Coho,2004,280
Wild Type S Coho,2005,0
Wild Type S Coho,2006,0
Wild Type S Coho,2007,0
Wild Type S Coho,2008,0
Wild Type S Coho,2009,0
Wild Type S Coho,2010,0
Wild Type S Coho,2011,0
Wild Type S Coho,2012,0
Wild Type S Coho,2013,0
Wild Type S Coho,2014,0
Wild Type S Coho,2015,0
Wild Type S Coho,2016,0
Wild Type S Coho,2017,0
Wild Type S Coho,2018,0
Wild Type S Coho,2019,0
Wild Type S Coho,2020,0
Hatchery Type S Coho,1997,158
Hatchery Type S Coho,1998,172
Hatchery Type S Coho,1999,92
Hatchery Type S Coho,2000,0
Hatchery Type S Coho,2001,0
Hatchery Type S Coho,2002,245
Hatchery Type S Coho,2003,187
Hatchery Type S Coho,2004,13
Hatchery Type S Coho,2005,0
Hatchery Type S Coho,2006,0
Hatchery Type S Coho,2007,0
Hatchery Type S Coho,2008,0
Hatchery Type S Coho,2009,0
Hatchery Type S Coho,2010,0
Hatchery Type S Coho,2011,0
Hatchery Type S Coho,2012,0
Hatchery Type S Coho,2013,0
Hatchery Type S Coho,2014,0
Hatchery Type S Coho,2015,0
Hatchery Type S Coho,2016,0
Hatchery Type S Coho,2017,0
Hatchery Type S Coho,2018,0
Hatchery Type S Coho,2019,0
Hatchery Type S Coho,2020,0
