Run,Year,Count
Hatchery Coho,1997,0
Hatchery Coho,1998,0
Hatchery Coho,1999,0
Hatchery Coho,2000,0
Hatchery Coho,2001,901
Hatchery Coho,2002,385
Hatchery Coho,2003,0
Hatchery Coho,2004,0
Hatchery Coho,2005,0
Hatchery Coho,2006,0
Hatchery Coho,2007,0
Hatchery Coho,2008,0
Hatchery Coho,2009,0
Hatchery Coho,2010,0
Hatchery Coho,2011,0
Hatchery Coho,2012,795
Hatchery Coho,2013,0
Hatchery Coho,2014,2338
Hatchery Coho,2015,205
Hatchery Coho,2016,154
Hatchery Coho,2017,0
Hatchery Coho,2018,0
Hatchery Coho,2019,0
Hatchery Coho,2020,0
Hatchery Late Coho,1997,0
Hatchery Late Coho,1998,0
Hatchery Late Coho,1999,0
Hatchery Late Coho,2000,0
Hatchery Late Coho,2001,0
Hatchery Late Coho,2002,0
Hatchery Late Coho,2003,0
Hatchery Late Coho,2004,0
Hatchery Late Coho,2005,0
Hatchery Late Coho,2006,0
Hatchery Late Coho,2007,0
Hatchery Late Coho,2008,0
Hatchery Late Coho,2009,0
Hatchery Late Coho,2010,0
Hatchery Late Coho,2011,0
Hatchery Late Coho,2012,252
Hatchery Late Coho,2013,283
Hatchery Late Coho,2014,1032
Hatchery Late Coho,2015,855
Hatchery Late Coho,2016,12
Hatchery Late Coho,2017,37
Hatchery Late Coho,2018,0
Hatchery Late Coho,2019,0
Hatchery Late Coho,2020,0
