Run,Year,Count
Hatchery Winter Steelhead,1997,0
Hatchery Winter Steelhead,1998,70
Hatchery Winter Steelhead,1999,111
Hatchery Winter Steelhead,2000,14
Hatchery Winter Steelhead,2001,19
Hatchery Winter Steelhead,2002,0
Hatchery Winter Steelhead,2003,0
Hatchery Winter Steelhead,2004,0
Hatchery Winter Steelhead,2005,12
Hatchery Winter Steelhead,2006,5
Hatchery Winter Steelhead,2007,44
Hatchery Winter Steelhead,2008,28
Hatchery Winter Steelhead,2009,5
Hatchery Winter Steelhead,2010,0
Hatchery Winter Steelhead,2011,0
Hatchery Winter Steelhead,2012,0
Hatchery Winter Steelhead,2013,0
Hatchery Winter Steelhead,2014,0
Hatchery Winter Steelhead,2015,0
Hatchery Winter Steelhead,2016,0
Hatchery Winter Steelhead,2017,0
Hatchery Winter Steelhead,2018,0
Hatchery Winter Steelhead,2019,0
Hatchery Winter Steelhead,2020,0
