Run,Year,Count
Wild Summer Steelhead,1997,0
Wild Summer Steelhead,1998,0
Wild Summer Steelhead,1999,0
Wild Summer Steelhead,2000,0
Wild Summer Steelhead,2001,0
Wild Summer Steelhead,2002,0
Wild Summer Steelhead,2003,0
Wild Summer Steelhead,2004,0
Wild Summer Steelhead,2005,0
Wild Summer Steelhead,2006,0
Wild Summer Steelhead,2007,0
Wild Summer Steelhead,2008,0
Wild Summer Steelhead,2009,0
Wild Summer Steelhead,2010,0
Wild Summer Steelhead,2011,0
Wild Summer Steelhead,2012,0
Wild Summer Steelhead,2013,0
Wild Summer Steelhead,2014,0
Wild Summer Steelhead,2015,0
Wild Summer Steelhead,2016,46
Wild Summer Steelhead,2017,53
Wild Summer Steelhead,2018,0
Wild Summer Steelhead,2019,0
Wild Summer Steelhead,2020,0
Hatchery Summer Steelhead,1997,0
Hatchery Summer Steelhead,1998,0
Hatchery Summer Steelhead,1999,0
Hatchery Summer Steelhead,2000,0
Hatchery Summer Steelhead,2001,0
Hatchery Summer Steelhead,2002,0
Hatchery Summer Steelhead,2003,0
Hatchery Summer Steelhead,2004,0
Hatchery Summer Steelhead,2005,0
Hatchery Summer Steelhead,2006,0
Hatchery Summer Steelhead,2007,0
Hatchery Summer Steelhead,2008,0
Hatchery Summer Steelhead,2009,0
Hatchery Summer Steelhead,2010,0
Hatchery Summer Steelhead,2011,0
Hatchery Summer Steelhead,2012,0
Hatchery Summer Steelhead,2013,0
Hatchery Summer Steelhead,2014,0
Hatchery Summer Steelhead,2015,0
Hatchery Summer Steelhead,2016,114
Hatchery Summer Steelhead,2017,64
Hatchery Summer Steelhead,2018,0
Hatchery Summer Steelhead,2019,0
Hatchery Summer Steelhead,2020,0
