Run,Year,Count
Wild Spring Chinook,1997,0
Wild Spring Chinook,1998,0
Wild Spring Chinook,1999,0
Wild Spring Chinook,2000,0
Wild Spring Chinook,2001,0
Wild Spring Chinook,2002,0
Wild Spring Chinook,2003,0
Wild Spring Chinook,2004,0
Wild Spring Chinook,2005,0
Wild Spring Chinook,2006,0
Wild Spring Chinook,2007,0
Wild Spring Chinook,2008,0
Wild Spring Chinook,2009,0
Wild Spring Chinook,2010,0
Wild Spring Chinook,2011,0
Wild Spring Chinook,2012,0
Wild Spring Chinook,2013,0
Wild Spring Chinook,2014,0
Wild Spring Chinook,2015,0
Wild Spring Chinook,2016,84
Wild Spring Chinook,2017,67
Wild Spring Chinook,2018,0
Wild Spring Chinook,2019,0
Wild Spring Chinook,2020,0
Wild Summer Chinook,1997,0
Wild Summer Chinook,1998,0
Wild Summer Chinook,1999,0
Wild Summer Chinook,2000,0
Wild Summer Chinook,2001,0
Wild Summer Chinook,2002,0
Wild Summer Chinook,2003,0
Wild Summer Chinook,2004,0
Wild Summer Chinook,2005,0
Wild Summer Chinook,2006,0
Wild Summer Chinook,2007,0
Wild Summer Chinook,2008,0
Wild Summer Chinook,2009,0
Wild Summer Chinook,2010,404
Wild Summer Chinook,2011,242
Wild Summer Chinook,2012,385
Wild Summer Chinook,2013,380
Wild Summer Chinook,2014,548
Wild Summer Chinook,2015,177
Wild Summer Chinook,2016,1823
Wild Summer Chinook,2017,1029
Wild Summer Chinook,2018,0
Wild Summer Chinook,2019,0
Wild Summer Chinook,2020,0
Hatchery Spring Chinook,1997,0
Hatchery Spring Chinook,1998,0
Hatchery Spring Chinook,1999,0
Hatchery Spring Chinook,2000,0
Hatchery Spring Chinook,2001,0
Hatchery Spring Chinook,2002,0
Hatchery Spring Chinook,2003,0
Hatchery Spring Chinook,2004,0
Hatchery Spring Chinook,2005,0
Hatchery Spring Chinook,2006,0
Hatchery Spring Chinook,2007,0
Hatchery Spring Chinook,2008,0
Hatchery Spring Chinook,2009,0
Hatchery Spring Chinook,2010,0
Hatchery Spring Chinook,2011,0
Hatchery Spring Chinook,2012,0
Hatchery Spring Chinook,2013,0
Hatchery Spring Chinook,2014,0
Hatchery Spring Chinook,2015,0
Hatchery Spring Chinook,2016,501
Hatchery Spring Chinook,2017,443
Hatchery Spring Chinook,2018,0
Hatchery Spring Chinook,2019,0
Hatchery Spring Chinook,2020,0
Hatchery Summer Chinook,1997,0
Hatchery Summer Chinook,1998,0
Hatchery Summer Chinook,1999,0
Hatchery Summer Chinook,2000,0
Hatchery Summer Chinook,2001,0
Hatchery Summer Chinook,2002,0
Hatchery Summer Chinook,2003,0
Hatchery Summer Chinook,2004,0
Hatchery Summer Chinook,2005,0
Hatchery Summer Chinook,2006,0
Hatchery Summer Chinook,2007,0
Hatchery Summer Chinook,2008,0
Hatchery Summer Chinook,2009,0
Hatchery Summer Chinook,2010,3710
Hatchery Summer Chinook,2011,2455
Hatchery Summer Chinook,2012,4764
Hatchery Summer Chinook,2013,5093
Hatchery Summer Chinook,2014,2769
Hatchery Summer Chinook,2015,1775
Hatchery Summer Chinook,2016,1926
Hatchery Summer Chinook,2017,2952
Hatchery Summer Chinook,2018,0
Hatchery Summer Chinook,2019,0
Hatchery Summer Chinook,2020,0
Wild Summer Steelhead,1997,0
Wild Summer Steelhead,1998,0
Wild Summer Steelhead,1999,0
Wild Summer Steelhead,2000,0
Wild Summer Steelhead,2001,0
Wild Summer Steelhead,2002,0
Wild Summer Steelhead,2003,0
Wild Summer Steelhead,2004,0
Wild Summer Steelhead,2005,0
Wild Summer Steelhead,2006,0
Wild Summer Steelhead,2007,0
Wild Summer Steelhead,2008,0
Wild Summer Steelhead,2009,0
Wild Summer Steelhead,2010,113
Wild Summer Steelhead,2011,88
Wild Summer Steelhead,2012,60
Wild Summer Steelhead,2013,197
Wild Summer Steelhead,2014,0
Wild Summer Steelhead,2015,0
Wild Summer Steelhead,2016,2
Wild Summer Steelhead,2017,0
Wild Summer Steelhead,2018,0
Wild Summer Steelhead,2019,0
Wild Summer Steelhead,2020,0
Hatchery Summer Steelhead,1997,0
Hatchery Summer Steelhead,1998,0
Hatchery Summer Steelhead,1999,0
Hatchery Summer Steelhead,2000,0
Hatchery Summer Steelhead,2001,0
Hatchery Summer Steelhead,2002,0
Hatchery Summer Steelhead,2003,0
Hatchery Summer Steelhead,2004,0
Hatchery Summer Steelhead,2005,0
Hatchery Summer Steelhead,2006,0
Hatchery Summer Steelhead,2007,0
Hatchery Summer Steelhead,2008,0
Hatchery Summer Steelhead,2009,0
Hatchery Summer Steelhead,2010,1195
Hatchery Summer Steelhead,2011,566
Hatchery Summer Steelhead,2012,482
Hatchery Summer Steelhead,2013,312
Hatchery Summer Steelhead,2014,574
Hatchery Summer Steelhead,2015,543
Hatchery Summer Steelhead,2016,388
Hatchery Summer Steelhead,2017,51
Hatchery Summer Steelhead,2018,0
Hatchery Summer Steelhead,2019,0
Hatchery Summer Steelhead,2020,0
