Run,Year,Count
Hatchery Fall Chinook,1997,609
Hatchery Fall Chinook,1998,879
Hatchery Fall Chinook,1999,0
Hatchery Fall Chinook,2000,0
Hatchery Fall Chinook,2001,0
Hatchery Fall Chinook,2002,352
Hatchery Fall Chinook,2003,0
Hatchery Fall Chinook,2004,0
Hatchery Fall Chinook,2005,0
Hatchery Fall Chinook,2006,0
Hatchery Fall Chinook,2007,0
Hatchery Fall Chinook,2008,0
Hatchery Fall Chinook,2009,0
Hatchery Fall Chinook,2010,0
Hatchery Fall Chinook,2011,0
Hatchery Fall Chinook,2012,23
Hatchery Fall Chinook,2013,108
Hatchery Fall Chinook,2014,63
Hatchery Fall Chinook,2015,30
Hatchery Fall Chinook,2016,0
Hatchery Fall Chinook,2017,0
Hatchery Fall Chinook,2018,0
Hatchery Fall Chinook,2019,0
Hatchery Fall Chinook,2020,0
Hatchery Winter Steelhead,1997,0
Hatchery Winter Steelhead,1998,21
Hatchery Winter Steelhead,1999,2
Hatchery Winter Steelhead,2000,0
Hatchery Winter Steelhead,2001,0
Hatchery Winter Steelhead,2002,0
Hatchery Winter Steelhead,2003,0
Hatchery Winter Steelhead,2004,0
Hatchery Winter Steelhead,2005,0
Hatchery Winter Steelhead,2006,0
Hatchery Winter Steelhead,2007,0
Hatchery Winter Steelhead,2008,0
Hatchery Winter Steelhead,2009,0
Hatchery Winter Steelhead,2010,0
Hatchery Winter Steelhead,2011,0
Hatchery Winter Steelhead,2012,1
Hatchery Winter Steelhead,2013,17
Hatchery Winter Steelhead,2014,17
Hatchery Winter Steelhead,2015,25
Hatchery Winter Steelhead,2016,1
Hatchery Winter Steelhead,2017,0
Hatchery Winter Steelhead,2018,0
Hatchery Winter Steelhead,2019,0
Hatchery Winter Steelhead,2020,0
Hatchery Coho,1997,205
Hatchery Coho,1998,104
Hatchery Coho,1999,0
Hatchery Coho,2000,0
Hatchery Coho,2001,0
Hatchery Coho,2002,0
Hatchery Coho,2003,0
Hatchery Coho,2004,0
Hatchery Coho,2005,0
Hatchery Coho,2006,0
Hatchery Coho,2007,0
Hatchery Coho,2008,0
Hatchery Coho,2009,0
Hatchery Coho,2010,0
Hatchery Coho,2011,0
Hatchery Coho,2012,34
Hatchery Coho,2013,76
Hatchery Coho,2014,81
Hatchery Coho,2015,14
Hatchery Coho,2016,0
Hatchery Coho,2017,11
Hatchery Coho,2018,0
Hatchery Coho,2019,0
Hatchery Coho,2020,0
Hatchery Chum,1997,6880
Hatchery Chum,1998,24887
Hatchery Chum,1999,0
Hatchery Chum,2000,0
Hatchery Chum,2001,0
Hatchery Chum,2002,0
Hatchery Chum,2003,0
Hatchery Chum,2004,0
Hatchery Chum,2005,0
Hatchery Chum,2006,0
Hatchery Chum,2007,0
Hatchery Chum,2008,0
Hatchery Chum,2009,0
Hatchery Chum,2010,0
Hatchery Chum,2011,0
Hatchery Chum,2012,3051
Hatchery Chum,2013,8471
Hatchery Chum,2014,11214
Hatchery Chum,2015,13048
Hatchery Chum,2016,0
Hatchery Chum,2017,1379
Hatchery Chum,2018,190
Hatchery Chum,2019,0
Hatchery Chum,2020,0
