HATCHERY  Sockeye,WILD  Coho
167,003
168,087
170,087
171,087
172,087
172,247
172,249
172,250
173,252
173,254
173,255
173,256
173,256
174,257
174,259
174,259
175,259
175,261
175,262
175,263
175,263
175,263
175,263
175,264
176,264
176,264
176,265
176,266
176,267
176,267
176,267
176,267
176,267
176,268
176,268
176,268
176,268
176,269
177,269
177,269
177,269
177,270
177,270
177,270
177,271
177,271
177,271
177,272
177,272
177,272
177,272
177,272
177,272
177,272
177,272
177,272
178,272
178,272
178,272
178,272
178,272
178,272
178,273
178,273
178,273
178,273
178,273
179,273
179,273
179,273
179,273
179,273
179,273
179,273
179,274
179,274
179,275
179,275
179,275
179,275
179,276
179,277
179,277
179,277
179,277
179,277
179,277
179,277
179,277
179,277
179,277
179,277
179,277
179,278
179,278
179,278
179,278
179,279
180,279
180,279
180,279
180,279
180,279
180,279
180,279
180,280
180,280
180,280
180,280
180,281
180,281
180,281
180,282
180,282
180,282
180,282
180,283
180,283
180,284
180,284
180,285
180,285
180,285
180,285
180,285
180,285
180,286
180,286
180,286
181,286
181,286
181,286
181,287
181,287
181,287
181,287
181,287
181,287
181,288
181,288
181,288
181,289
181,289
181,289
181,289
181,289
181,289
181,289
181,289
182,289
182,289
182,289
182,289
182,289
182,289
182,289
182,289
182,289
182,289
182,289
182,289
182,289
182,289
182,289
182,289
182,289
182,290
182,290
182,290
182,290
182,290
182,290
182,290
182,290
182,290
182,290
182,290
182,291
182,291
182,291
182,291
182,291
182,291
182,291
182,291
182,291
182,291
182,291
182,291
182,292
182,292
183,292
183,292
183,292
183,292
183,292
183,292
183,292
183,292
183,293
183,293
183,293
183,293
183,293
183,293
183,293
183,293
183,293
183,294
183,294
183,294
183,294
183,294
183,295
183,295
183,295
183,295
183,295
183,295
183,295
183,295
183,296
183,296
183,296
183,296
183,296
183,296
183,297
183,297
183,297
183,297
183,297
183,297
183,298
183,298
184,298
184,299
184,299
184,299
184,299
184,299
184,299
184,299
184,299
184,299
184,299
184,300
184,300
184,300
184,300
184,300
184,300
184,300
184,300
184,300
184,300
184,301
184,301
184,301
184,301
184,301
184,301
184,302
184,302
184,302
184,302
184,302
184,302
184,302
184,302
184,302
184,302
184,302
184,302
184,302
184,302
184,302
184,302
184,303
184,303
184,303
185,303
185,304
185,304
185,304
185,304
185,304
185,304
185,304
185,305
185,305
185,305
185,305
185,305
185,305
185,305
185,305
185,305
185,305
185,305
185,306
185,306
185,306
186,306
186,306
186,306
186,306
186,306
186,306
186,306
186,306
186,306
186,306
186,306
186,306
186,307
186,307
186,307
186,307
186,307
186,307
186,307
186,307
186,307
186,307
186,307
186,307
186,307
186,307
186,307
186,307
186,307
186,307
186,307
186,307
186,307
186,307
186,308
186,308
186,308
186,308
186,308
186,308
186,308
186,308
186,309
186,309
186,309
186,310
186,310
186,310
186,310
186,310
186,310
186,310
186,310
186,310
186,310
187,311
187,311
187,311
187,311
187,311
187,311
187,312
187,312
187,312
187,312
187,312
187,312
187,312
187,312
187,312
187,312
187,312
187,312
187,312
187,312
187,312
187,312
187,312
187,312
187,313
187,313
187,313
187,313
187,313
187,313
187,313
187,313
187,313
187,313
187,313
187,313
187,313
187,313
187,313
187,313
187,313
187,314
187,314
187,314
187,314
187,314
187,314
187,314
187,314
187,314
187,314
187,314
187,314
187,314
187,314
187,314
187,314
187,314
187,314
187,314
187,314
187,315
187,315
187,315
187,315
187,315
187,315
187,315
187,315
188,315
188,315
188,315
188,315
188,315
188,315
188,315
188,315
188,315
188,316
188,316
188,316
188,316
188,316
188,317
188,317
188,317
188,318
188,318
188,318
188,318
188,319
188,319
188,319
188,319
188,319
188,320
188,320
188,320
188,320
188,320
188,320
188,320
188,320
188,320
188,320
188,320
188,321
188,321
188,321
188,321
188,321
188,321
188,322
188,322
188,322
188,322
188,322
188,322
188,323
188,323
188,323
188,323
188,324
188,324
188,324
188,324
189,325
189,325
189,325
189,325
189,325
189,325
189,325
189,325
189,326
189,326
189,326
189,327
189,327
189,327
189,327
189,327
189,327
189,328
189,328
189,328
189,328
189,329
189,330
189,330
189,330
189,332
189,332
189,332
189,332
189,333
189,333
189,334
189,334
189,334
189,334
189,334
189,334
189,334
189,335
189,335
189,336
189,336
189,337
189,338
189,338
189,338
189,338
189,338
189,339
189,340
189,341
189,342
189,342
189,342
189,342
189,342
189,342
189,342
189,342
189,342
189,342
190,342
190,343
190,343
190,343
190,343
190,343
190,343
190,343
190,343
190,343
190,343
190,344
190,344
190,345
190,346
190,346
190,346
190,346
190,348
190,349
190,349
190,349
190,349
190,349
190,349
190,349
190,349
190,349
190,350
190,350
190,350
190,350
190,351
190,351
190,351
190,351
190,351
190,351
190,352
190,352
190,352
190,352
190,352
190,353
190,353
190,355
190,356
190,358
190,360
190,362
190,363
190,
190,
190,
190,
190,
190,
190,
190,
190,
190,
190,
190,
190,
190,
190,
190,
190,
191,
191,
191,
191,
191,
191,
191,
191,
191,
191,
191,
191,
191,
191,
191,
191,
191,
191,
191,
191,
191,
191,
191,
191,
191,
191,
191,
191,
191,
191,
191,
191,
191,
191,
191,
191,
191,
191,
191,
191,
191,
191,
191,
191,
191,
191,
191,
191,
191,
191,
191,
191,
191,
191,
191,
191,
191,
191,
191,
191,
191,
191,
191,
191,
191,
191,
191,
191,
191,
191,
191,
191,
191,
191,
191,
191,
191,
191,
191,
191,
191,
191,
191,
191,
191,
191,
192,
192,
192,
192,
192,
192,
192,
192,
192,
192,
192,
192,
192,
192,
192,
192,
192,
192,
192,
192,
192,
192,
192,
192,
192,
192,
192,
192,
192,
192,
192,
192,
192,
192,
192,
192,
192,
192,
192,
192,
192,
192,
192,
192,
192,
192,
192,
192,
192,
192,
192,
192,
192,
192,
192,
192,
192,
193,
193,
193,
193,
193,
193,
193,
193,
193,
193,
193,
193,
193,
193,
193,
193,
193,
193,
193,
193,
193,
193,
193,
193,
193,
193,
193,
193,
193,
193,
193,
193,
193,
193,
193,
193,
193,
193,
193,
193,
193,
193,
193,
193,
193,
193,
193,
193,
193,
193,
193,
193,
193,
193,
193,
193,
193,
193,
193,
193,
193,
193,
194,
194,
194,
194,
194,
194,
194,
194,
194,
194,
194,
194,
194,
194,
194,
194,
194,
194,
194,
194,
194,
194,
194,
194,
194,
194,
194,
194,
194,
194,
194,
194,
194,
194,
194,
194,
194,
194,
194,
194,
194,
194,
194,
194,
194,
194,
194,
194,
194,
194,
194,
194,
194,
194,
194,
194,
194,
194,
195,
195,
195,
195,
195,
195,
195,
195,
195,
195,
195,
195,
195,
195,
195,
195,
195,
195,
195,
195,
195,
195,
195,
195,
195,
195,
195,
195,
195,
195,
195,
195,
195,
195,
195,
195,
195,
195,
195,
195,
195,
195,
195,
195,
195,
195,
195,
195,
195,
195,
195,
195,
195,
195,
195,
196,
196,
196,
196,
196,
196,
196,
196,
196,
196,
196,
196,
196,
196,
196,
196,
196,
196,
196,
196,
196,
196,
196,
196,
196,
196,
196,
196,
196,
196,
196,
196,
196,
196,
196,
196,
196,
196,
196,
196,
196,
196,
196,
196,
196,
196,
196,
196,
196,
196,
196,
196,
196,
196,
196,
196,
196,
196,
196,
196,
196,
196,
196,
196,
196,
196,
197,
197,
197,
197,
197,
197,
197,
197,
197,
197,
197,
197,
197,
197,
197,
197,
197,
197,
197,
197,
197,
197,
197,
197,
197,
197,
197,
197,
197,
197,
197,
197,
197,
197,
197,
197,
197,
197,
197,
197,
197,
197,
197,
197,
197,
197,
197,
197,
197,
197,
197,
197,
197,
197,
197,
197,
197,
197,
197,
197,
197,
197,
197,
197,
197,
197,
197,
197,
197,
197,
197,
197,
197,
197,
197,
197,
197,
197,
197,
198,
198,
198,
198,
198,
198,
198,
198,
198,
198,
198,
198,
198,
198,
198,
198,
198,
198,
198,
198,
198,
198,
198,
198,
198,
198,
198,
198,
198,
198,
198,
198,
198,
198,
198,
198,
198,
198,
198,
198,
198,
198,
198,
198,
198,
198,
198,
198,
198,
198,
198,
198,
198,
198,
198,
198,
198,
198,
198,
198,
198,
198,
198,
198,
198,
198,
198,
198,
198,
198,
198,
198,
198,
198,
198,
198,
198,
198,
198,
198,
198,
198,
198,
199,
199,
199,
199,
199,
199,
199,
199,
199,
199,
199,
199,
199,
199,
199,
199,
199,
199,
199,
199,
199,
199,
199,
199,
199,
199,
199,
199,
199,
199,
199,
199,
199,
199,
199,
199,
199,
199,
199,
199,
199,
199,
199,
199,
199,
199,
199,
199,
199,
199,
199,
199,
199,
199,
199,
199,
199,
199,
199,
199,
200,
200,
200,
200,
200,
200,
200,
200,
200,
200,
200,
200,
200,
200,
200,
200,
200,
200,
200,
200,
200,
200,
200,
200,
200,
200,
200,
200,
200,
200,
200,
200,
200,
200,
200,
200,
200,
200,
200,
200,
200,
200,
200,
200,
200,
200,
200,
200,
200,
200,
200,
200,
200,
200,
200,
200,
200,
200,
200,
200,
200,
200,
200,
200,
200,
200,
200,
200,
200,
200,
200,
200,
200,
200,
200,
201,
201,
201,
201,
201,
201,
201,
201,
201,
201,
201,
201,
201,
201,
201,
201,
201,
201,
201,
201,
201,
201,
201,
201,
201,
201,
201,
201,
201,
201,
201,
201,
201,
201,
201,
201,
201,
201,
201,
201,
201,
201,
201,
201,
201,
201,
201,
201,
201,
201,
201,
201,
201,
201,
201,
201,
201,
201,
201,
201,
201,
201,
201,
201,
201,
201,
201,
201,
201,
201,
202,
202,
202,
202,
202,
202,
202,
202,
202,
202,
202,
202,
202,
202,
202,
202,
202,
202,
202,
202,
202,
202,
202,
202,
202,
202,
202,
202,
202,
202,
202,
202,
202,
202,
202,
202,
202,
202,
202,
202,
202,
202,
202,
202,
203,
203,
203,
203,
203,
203,
203,
203,
203,
203,
203,
203,
203,
203,
203,
203,
203,
203,
203,
203,
203,
203,
203,
203,
203,
203,
203,
203,
203,
203,
203,
203,
203,
203,
203,
203,
203,
203,
203,
203,
203,
203,
203,
203,
203,
203,
203,
203,
203,
203,
204,
204,
204,
204,
204,
204,
204,
204,
204,
204,
204,
204,
204,
204,
204,
204,
204,
204,
204,
204,
204,
204,
204,
204,
204,
204,
204,
204,
204,
204,
204,
204,
204,
204,
204,
204,
204,
204,
204,
204,
204,
204,
204,
204,
204,
204,
204,
204,
204,
204,
204,
204,
204,
204,
204,
204,
204,
204,
204,
204,
204,
204,
204,
204,
204,
204,
204,
205,
205,
205,
205,
205,
205,
205,
205,
