WILD Winter-Late Steelhead,HATCHERY Summer Steelhead,HATCHERY Winter Steelhead,HATCHERY Winter-Late Steelhead,HATCHERY Type N Coho
031,003,002,032,002
031,003,002,034,002
032,003,002,034,002
032,003,002,036,003
032,004,002,039,003
032,009,002,040,003
032,009,002,040,003
033,010,002,040,003
035,012,002,040,004
035,117,002,042,004
036,124,002,042,004
036,128,002,042,004
036,131,002,042,004
036,135,002,042,004
036,135,002,042,004
036,135,002,043,004
036,137,002,044,004
037,137,002,044,004
037,137,002,047,004
037,138,002,047,004
037,138,002,047,004
038,139,002,048,004
038,139,002,050,004
039,139,002,051,004
039,141,002,052,004
039,141,002,052,004
039,141,002,053,004
039,142,002,053,004
041,144,002,054,004
041,144,002,055,004
042,144,002,055,004
042,144,002,056,004
043,144,002,058,004
043,145,002,059,004
043,149,002,060,004
043,149,002,061,004
043,149,002,061,004
044,149,002,061,004
044,149,002,061,004
044,151,002,061,004
044,151,002,061,006
044,151,002,065,006
044,151,002,065,006
045,151,003,065,008
046,152,003,066,008
047,152,003,066,009
047,152,003,066,009
047,152,003,066,009
047,156,003,066,009
048,156,003,066,009
048,156,003,066,009
048,156,003,066,009
049,156,003,066,009
050,156,003,066,009
050,156,003,066,009
051,156,003,066,009
051,158,003,066,009
051,158,003,066,009
051,158,003,066,009
051,158,003,066,010
052,158,003,066,010
053,162,003,066,010
053,163,003,066,010
053,164,003,066,010
053,166,003,066,010
053,168,003,066,010
053,168,003,066,010
054,168,003,066,010
054,169,003,066,010
054,169,003,066,010
054,169,003,066,010
054,170,003,066,010
054,170,003,066,010
055,170,003,066,011
055,171,003,066,011
055,171,003,066,011
056,171,003,066,011
057,171,004,066,011
058,173,004,066,011
058,176,004,066,011
058,176,004,066,011
058,176,004,066,011
059,176,004,066,011
059,177,004,066,011
060,177,004,066,011
061,177,004,066,011
061,177,004,066,011
062,178,004,066,012
062,178,004,066,012
062,178,004,066,013
063,178,004,066,013
063,178,004,066,013
063,182,004,066,013
065,182,004,066,013
065,182,004,067,013
065,182,004,067,013
066,182,004,067,013
066,182,004,067,013
067,183,004,067,013
067,183,004,067,015
067,183,004,068,015
067,183,006,068,015
067,183,006,070,015
067,183,006,070,015
068,183,006,071,015
068,183,006,071,015
