WILD Summer Steelhead,HATCHERY Summer Steelhead
025,005
027,005
027,005
030,006
030,010
032,023
033,023
034,025
039,025
042,025
044,025
047,025
047,025
048,025
049,025
049,025
049,026
049,026
049,026
049,026
049,026
049,026
049,027
049,027
049,030
055,030
056,030
058,030
058,030
058,032
058,032
058,033
058,033
058,034
058,037
058,037
058,039
058,039
058,040
058,040
058,041
058,041
058,042
058,044
058,045
058,045
058,045
058,045
058,046
058,046
058,046
058,046
058,047
058,047
058,047
059,047
059,047
059,047
059,047
059,047
060,048
060,049
060,049
060,049
060,049
060,049
060,049
060,049
060,049
061,051
061,051
061,052
061,052
062,052
062,052
062,052
063,052
063,052
063,052
063,052
065,052
065,052
066,052
066,052
066,052
066,052
066,052
066,052
067,052
067,052
067,052
067,052
067,052
067,052
067,052
067,052
067,052
067,052
067,052
068,052
068,052
068,052
068,052
068,052
068,056
068,056
068,056
068,058
068,058
068,059
068,059
069,059
069,059
069,059
069,059
069,060
069,060
069,060
069,060
069,060
069,060
069,060
069,060
069,060
069,060
069,060
069,060
069,060
069,060
069,060
069,060
069,061
069,061
069,062
070,062
070,062
070,062
070,063
070,063
070,063
070,063
070,063
070,063
070,065
070,065
070,065
071,065
071,065
071,065
071,065
071,066
071,066
071,066
071,066
072,067
072,067
072,067
072,067
072,067
072,067
072,067
072,067
072,068
072,068
072,068
072,068
072,068
072,068
072,068
072,068
072,068
072,068
072,068
072,069
073,069
073,069
073,069
073,069
073,069
073,069
073,069
073,069
073,069
073,069
073,069
073,069
073,069
073,069
073,069
073,069
073,070
073,070
073,070
073,070
073,070
073,070
073,070
073,070
073,070
073,070
074,070
074,070
074,070
074,070
074,070
074,070
074,070
074,070
074,070
074,070
074,070
074,070
074,070
074,070
074,070
074,070
074,070
075,070
075,070
075,070
075,070
075,070
075,070
075,070
075,070
075,070
075,070
075,070
075,070
075,070
075,070
076,070
076,070
076,070
076,070
076,070
076,070
076,070
076,070
076,070
076,070
076,070
076,070
076,070
076,070
076,070
076,070
076,070
076,070
076,070
076,070
076,070
076,070
076,070
076,071
076,071
076,071
076,071
076,071
076,071
076,071
076,071
076,071
076,071
076,071
076,071
076,071
076,071
076,071
076,071
076,071
076,071
076,071
076,071
076,071
076,071
076,071
076,071
077,072
077,072
077,072
077,072
077,072
077,072
077,072
077,072
077,072
077,072
077,072
077,072
077,072
077,072
077,072
077,072
077,072
077,072
077,072
077,072
077,072
077,072
