HATCHERY Spring Chinook,HATCHERY Fall Chinook,WILD Winter Steelhead,HATCHERY Summer Steelhead,HATCHERY Winter Steelhead,WILD Type S Coho,HATCHERY Type S Coho,HATCHERY Type N Coho
112,232,003,140,002,257,251,002
112,234,003,140,002,257,251,002
112,235,003,140,002,257,251,002
112,235,003,146,002,257,253,002
112,236,003,157,002,257,253,002
112,236,003,157,002,257,253,002
112,236,003,157,002,257,254,002
112,237,003,163,002,257,254,002
112,237,003,164,002,257,255,002
112,237,003,172,002,257,255,002
112,238,003,172,002,257,255,002
112,238,003,177,002,257,257,002
112,238,003,177,002,257,257,003
112,239,003,177,002,257,257,003
112,239,003,177,002,258,257,005
112,239,003,178,002,258,257,005
112,239,003,178,002,258,257,005
112,239,003,178,002,258,257,005
112,239,003,178,002,261,257,005
112,239,003,178,002,264,257,005
119,240,003,178,002,264,258,005
119,240,003,178,002,264,258,005
119,240,003,178,003,264,258,005
119,240,003,178,003,264,258,005
119,240,010,178,003,265,258,005
119,240,010,178,003,272,258,005
119,240,010,178,003,273,258,005
119,240,010,178,003,273,258,005
119,240,010,178,003,273,259,005
119,240,010,178,003,273,259,005
119,241,010,178,003,273,259,005
119,241,010,178,003,279,259,005
122,241,010,179,003,279,259,005
122,241,013,179,003,279,259,005
122,241,013,179,003,279,259,005
122,241,024,179,003,279,259,005
122,241,024,187,003,281,259,005
122,241,024,187,003,281,260,005
122,241,024,187,003,281,260,005
124,242,024,187,003,281,260,005
124,242,024,187,003,281,260,005
124,242,028,187,003,281,260,005
124,242,028,187,003,281,261,005
124,242,028,187,003,281,261,005
124,242,028,187,003,281,261,005
124,242,028,187,003,281,261,005
124,242,028,187,003,281,261,005
124,242,028,192,003,281,262,005
124,242,028,192,003,281,262,005
124,242,028,192,003,281,263,005
124,243,028,192,003,281,263,005
126,243,028,192,003,281,263,005
126,243,028,192,003,281,263,005
126,243,028,192,005,281,263,005
126,243,028,198,005,281,263,005
126,243,028,198,005,281,263,005
126,243,028,198,005,281,263,005
126,243,028,198,005,281,263,005
126,243,028,198,005,286,263,005
126,243,028,198,005,286,263,005
126,243,028,198,005,286,263,005
126,243,028,198,005,286,264,005
126,244,028,198,005,286,264,005
126,244,028,198,005,286,264,005
126,244,028,198,005,286,264,005
126,244,028,198,005,286,264,005
126,244,028,198,005,286,264,005
126,244,028,198,005,286,264,005
126,244,028,198,005,286,264,005
126,244,034,198,005,286,264,005
126,244,034,198,005,286,264,005
126,244,042,198,005,286,264,005
127,244,042,198,005,286,264,005
127,245,042,198,005,286,264,005
127,245,042,198,005,286,265,005
127,245,042,199,005,286,266,005
127,245,042,199,005,286,266,005
127,245,042,199,005,286,268,005
127,245,042,199,005,286,268,005
127,245,042,199,005,286,272,005
127,245,042,199,005,286,272,005
127,245,042,199,005,286,273,005
127,245,042,199,005,286,273,005
127,245,042,199,005,286,273,005
127,245,042,199,005,286,273,005
127,245,042,199,005,286,273,005
127,245,042,199,005,286,274,005
128,245,042,199,005,286,274,005
128,245,042,199,005,286,274,005
128,245,042,203,005,286,274,005
128,245,042,206,005,286,274,005
128,245,042,206,005,286,274,005
128,246,042,206,005,286,274,005
128,246,042,206,005,286,274,005
128,246,042,206,005,286,274,005
128,246,042,206,005,286,274,005
128,246,042,206,005,286,274,005
128,246,042,206,005,286,274,005
128,246,042,214,005,286,274,005
128,246,042,214,005,286,274,005
128,246,042,214,005,286,274,005
128,246,042,214,005,286,274,005
128,246,042,221,005,286,274,005
128,246,042,221,005,286,274,005
128,246,042,221,005,286,274,005
128,246,042,221,005,286,274,005
128,247,042,221,005,286,274,005
128,247,042,221,005,286,274,005
128,247,042,221,005,286,274,005
128,247,042,235,005,286,274,005
128,247,042,235,005,286,274,005
128,247,042,235,005,286,274,005
128,247,042,235,005,286,274,005
128,247,042,235,005,286,274,005
128,247,042,235,005,286,274,006
128,247,042,235,005,286,274,006
128,247,042,235,005,286,274,006
128,247,042,235,005,286,274,006
128,247,042,235,005,286,274,006
128,247,042,235,005,286,274,015
128,247,042,235,005,286,274,293
128,247,042,235,005,286,274,293
128,247,042,235,005,286,274,293
128,247,042,235,005,286,274,293
128,247,042,235,005,286,274,293
128,247,042,238,005,286,274,293
128,248,042,238,005,286,274,293
128,248,042,238,006,286,274,293
132,248,042,238,006,286,274,293
132,248,042,238,006,286,274,293
132,248,042,238,006,286,274,293
132,248,042,238,006,286,274,293
132,248,042,238,006,286,274,293
132,248,042,238,006,286,274,293
132,248,042,238,006,287,274,293
132,248,042,238,006,287,274,293
132,248,042,238,006,287,274,293
132,248,042,238,006,287,274,293
132,248,042,238,006,287,274,293
136,248,042,238,006,288,274,293
136,248,042,238,006,288,274,293
136,248,042,238,006,288,274,293
136,248,042,238,006,289,274,293
136,248,042,238,006,289,274,293
136,248,042,238,006,289,274,293
136,248,042,238,006,289,274,293
136,248,042,238,006,289,274,294
136,248,042,238,006,289,274,294
136,248,042,242,006,289,274,294
136,248,042,242,006,289,274,294
136,248,042,242,006,289,274,296
136,248,042,242,006,289,275,296
136,249,042,242,006,289,275,296
136,249,042,242,006,289,275,296
136,249,043,242,006,289,275,296
136,249,043,242,006,289,275,296
136,249,043,242,006,289,275,296
136,249,043,242,006,289,275,296
136,249,043,242,006,289,275,296
136,249,043,242,006,289,275,296
136,249,043,263,006,289,275,296
136,249,043,263,006,289,275,296
136,249,043,263,006,289,275,296
136,249,043,263,006,289,275,296
136,249,043,263,006,289,275,296
136,249,043,263,006,289,275,296
136,249,043,263,006,289,275,296
138,249,043,263,006,289,275,296
138,249,043,263,006,289,275,296
138,249,043,263,006,289,275,296
138,249,043,263,006,289,275,296
138,249,043,263,006,289,275,296
138,249,043,264,006,289,276,296
139,249,043,264,006,289,276,296
139,249,043,264,006,289,276,296
139,249,043,264,006,293,276,296
139,250,044,264,006,293,276,296
139,250,044,264,006,293,276,296
139,250,047,264,007,293,276,296
139,250,053,264,007,293,276,296
139,250,057,264,007,293,276,296
140,250,057,264,007,293,276,296
140,250,057,264,007,293,276,296
140,250,057,264,007,293,276,296
140,250,057,264,009,293,276,296
140,250,057,264,009,293,276,296
140,250,057,264,009,293,276,296
140,250,057,264,009,293,276,297
140,250,057,264,009,293,276,297
140,250,057,264,009,293,276,297
140,250,057,264,009,293,276,297
140,250,057,264,009,293,276,297
140,250,057,264,009,293,276,297
140,250,057,264,009,293,276,298
140,250,057,268,009,293,276,298
140,250,057,268,009,293,276,298
140,250,057,268,009,293,276,298
140,250,057,268,009,293,276,298
140,250,058,268,010,293,276,298
140,250,058,270,010,293,276,298
140,250,058,270,010,293,276,298
140,250,058,272,010,293,276,298
140,250,059,272,010,293,276,298
140,250,059,272,010,293,276,298
140,251,059,272,010,293,276,298
140,251,059,272,010,294,276,298
140,251,059,272,010,294,278,298
140,251,059,272,010,294,278,298
140,251,059,272,010,294,278,298
140,251,059,272,010,294,278,298
140,251,059,272,010,294,278,298
140,251,059,272,010,294,278,298
140,251,059,272,010,294,278,298
140,251,059,272,010,294,278,298
140,251,059,272,012,294,278,298
140,251,059,272,012,294,278,298
140,251,059,272,012,294,278,298
140,251,059,272,012,294,278,298
140,251,059,272,012,294,278,298
140,251,059,272,012,294,278,298
140,251,059,272,012,294,278,298
140,251,059,272,012,294,278,298
140,251,059,272,012,294,278,298
140,251,059,272,012,294,278,298
140,251,059,272,012,294,278,298
140,251,059,272,012,294,278,298
140,251,059,272,012,294,278,298
140,251,059,272,012,294,278,298
140,251,059,272,012,294,278,298
