WILD Fall Chinook,HATCHERY Fall Chinook,WILD Type N Coho,HATCHERY Type S Coho
223,236,258,256
223,237,259,258
228,237,260,258
228,238,261,258
234,240,262,259
234,240,263,259
235,242,263,260
235,242,264,261
236,243,264,261
236,244,264,261
236,245,266,262
237,246,267,263
237,246,269,263
238,246,269,263
238,246,269,263
243,247,272,264
243,247,272,264
244,248,272,264
244,248,272,264
245,249,272,264
245,249,272,264
245,249,274,264
246,249,274,264
246,249,276,266
246,250,276,266
246,250,282,267
246,250,282,267
246,251,284,267
246,252,285,269
246,252,285,269
247,253,285,269
247,253,285,272
248,253,285,272
248,254,286,272
249,254,286,272
249,254,286,272
249,255,287,272
250,255,287,272
250,255,289,272
255,256,289,272
255,256,289,274
255,256,289,274
256,257,289,274
256,257,289,275
256,257,289,276
258,258,289,276
258,258,289,276
259,258,289,276
259,258,289,277
260,258,289,278
260,258,291,281
260,259,292,282
260,259,292,282
260,260,292,284
261,260,292,285
261,260,292,285
261,260,292,285
261,260,292,285
261,260,292,285
261,260,292,286
261,261,293,287
261,261,293,287
261,261,293,288
261,261,293,288
261,261,293,289
262,261,293,289
262,261,293,289
264,262,294,289
264,262,294,289
264,262,294,289
264,262,295,289
264,263,295,289
264,263,305,291
265,263,305,292
265,263,309,292
266,263,309,292
266,263,309,292
266,264,310,292
266,264,310,292
266,264,310,292
269,264,311,293
269,265,311,293
269,266,312,293
269,266,312,293
269,266,320,294
272,266,321,294
272,269,321,295
272,269,323,296
274,269,324,304
274,272,324,306
274,272,351,307
277,272,,308
277,276,,309
277,277,,309
277,280,,310
277,282,,310
277,,,311
278,,,312
278,,,312
279,,,
279,,,
282,,,
282,,,
328,,,
328,,,
