HATCHERY Fall Chinook,HATCHERY Winter Steelhead,HATCHERY Type S Coho,HATCHERY Type N Coho,WILD  Chum
245,001,259,294,301
247,001,259,294,301
247,001,259,294,301
248,002,259,294,301
252,002,259,294,301
252,002,259,294,301
259,002,259,294,301
259,002,259,294,301
259,002,259,294,301
259,002,259,294,301
259,002,259,294,302
259,002,259,294,302
259,002,259,294,302
259,002,259,294,302
259,002,259,294,302
259,002,260,294,302
259,002,260,301,302
259,002,260,301,302
259,002,260,301,302
259,002,260,301,304
259,002,260,301,304
259,002,260,301,304
259,002,260,301,304
259,002,260,301,304
259,002,260,301,304
259,002,260,301,305
259,002,260,301,305
259,002,266,301,305
259,002,266,301,305
259,002,266,301,305
259,002,266,301,305
259,002,266,301,305
259,002,266,301,305
259,002,266,301,305
259,002,266,301,305
259,002,266,301,305
259,002,266,301,305
259,002,266,301,305
259,002,266,301,309
259,002,266,301,309
259,002,266,301,309
259,002,266,301,309
259,002,273,301,309
259,002,273,301,309
259,002,273,301,309
259,002,273,301,309
259,002,273,301,309
259,002,273,301,309
259,002,273,301,309
259,002,273,301,309
259,002,273,301,309
259,002,273,301,309
259,002,273,301,309
259,002,273,301,309
259,002,273,301,309
259,002,273,301,309
260,003,273,301,309
260,003,273,301,309
260,003,273,301,309
260,003,273,301,309
260,003,273,301,309
260,003,273,301,309
260,003,273,301,309
260,003,273,301,309
260,003,273,301,309
260,003,273,301,309
260,003,273,301,309
260,003,273,301,309
260,003,273,301,309
260,003,273,301,309
260,003,273,301,309
260,003,273,301,309
260,003,273,301,309
260,003,273,301,309
260,003,273,301,309
260,003,273,301,309
260,003,273,301,309
260,003,273,301,309
260,003,273,301,309
260,003,273,301,309
260,003,273,301,309
260,003,273,301,309
266,003,273,307,309
266,003,273,307,309
266,003,273,307,309
266,003,273,307,309
266,003,273,307,309
266,003,273,307,309
266,003,273,307,309
266,003,273,307,309
266,003,273,307,309
266,003,273,307,309
266,003,273,307,309
266,003,273,307,309
266,003,273,307,309
266,003,273,307,309
266,003,273,307,309
266,003,273,307,309
266,003,273,307,309
266,003,273,307,309
266,003,275,307,309
266,003,275,307,309
266,003,275,307,309
266,003,275,307,309
266,003,275,307,309
266,003,275,307,309
266,003,275,307,309
266,003,275,307,309
266,003,275,307,309
266,003,275,307,310
266,003,275,307,310
266,003,275,307,310
266,003,275,307,310
266,003,275,307,310
266,003,275,307,310
266,003,275,307,310
266,003,275,309,310
266,003,275,309,310
266,003,275,309,310
266,003,275,309,310
266,003,275,309,310
266,003,275,309,310
266,003,275,309,310
266,003,275,309,310
266,003,275,309,310
266,003,275,309,310
266,003,275,309,310
266,003,275,309,310
266,003,275,309,310
266,003,275,309,310
266,003,275,309,310
266,003,275,309,310
270,003,275,309,310
270,003,275,309,310
270,003,275,309,310
271,003,275,309,310
275,003,275,309,310
275,003,275,309,310
275,003,275,309,310
275,003,275,309,310
275,003,275,309,310
275,003,275,309,310
275,003,275,309,310
275,003,275,309,310
275,003,275,309,310
275,003,275,309,310
275,003,275,309,310
275,003,275,309,310
275,003,275,309,310
275,003,275,309,310
275,003,275,309,311
275,003,276,309,311
275,003,276,309,311
275,003,276,309,311
275,003,276,309,311
275,003,276,309,311
275,003,276,309,311
275,003,276,309,311
275,003,276,309,311
275,003,276,309,311
275,003,276,309,311
275,003,276,309,311
275,003,276,309,311
275,003,276,309,311
275,003,276,309,311
275,003,276,309,311
275,003,276,309,311
275,003,276,309,311
275,003,276,309,311
275,005,276,309,311
275,005,276,310,311
275,005,276,310,311
275,005,276,310,311
275,005,276,310,311
275,005,276,310,311
275,005,276,310,311
275,005,276,310,311
275,005,276,310,311
275,005,276,310,311
275,005,276,310,311
275,005,276,310,311
275,005,276,310,311
275,005,276,310,311
275,005,276,310,311
275,005,276,310,311
275,005,276,310,311
275,005,276,310,311
275,005,276,310,311
275,005,276,310,311
275,005,276,310,311
275,005,276,310,311
275,005,276,310,311
275,005,279,310,311
275,005,279,310,311
275,005,279,310,311
275,005,281,310,311
275,005,281,310,311
276,005,281,310,311
276,005,281,310,311
276,005,281,310,311
276,005,281,310,311
276,005,281,310,311
276,005,281,310,311
276,005,281,310,311
276,005,281,310,311
276,005,281,310,311
276,005,281,310,311
276,005,281,310,311
276,005,281,310,311
276,005,281,310,311
276,005,281,310,311
276,005,281,310,311
276,005,281,310,311
276,005,281,310,311
276,005,281,310,311
276,005,281,311,311
276,005,281,311,311
276,005,281,311,311
276,005,281,311,311
276,005,281,311,311
276,005,281,311,311
276,005,281,311,311
276,005,281,311,311
276,005,281,311,311
276,005,281,311,311
276,005,281,311,311
276,005,281,311,311
276,005,281,311,311
276,005,281,311,311
276,005,281,311,311
276,005,281,311,311
276,005,281,311,311
276,005,281,311,311
276,005,281,311,311
276,005,281,311,313
276,005,281,311,313
276,005,281,311,313
276,005,281,311,313
277,005,281,311,313
278,005,281,311,313
279,005,281,311,313
279,005,281,311,313
279,005,281,311,313
279,005,281,311,313
279,005,281,311,313
279,005,281,311,313
279,005,281,311,313
279,005,281,311,313
279,005,281,311,313
279,005,281,311,313
279,005,281,311,313
279,005,281,311,313
279,005,281,311,313
279,005,281,311,313
279,005,281,311,313
279,005,281,311,313
279,005,281,311,313
279,005,283,311,313
279,005,283,311,313
279,005,283,311,313
279,005,283,311,313
279,005,283,311,313
279,005,283,311,313
279,005,283,311,313
279,005,283,311,313
279,005,283,311,313
279,005,283,311,313
279,005,283,311,313
279,005,283,311,313
279,005,283,311,313
279,005,283,311,313
279,005,283,311,313
279,005,283,311,313
279,005,283,311,313
279,005,283,311,313
279,005,283,311,313
279,005,283,311,313
279,005,283,311,313
279,005,283,311,313
279,006,285,311,313
279,006,285,311,313
279,006,285,311,313
279,006,285,311,313
279,006,285,311,313
