WILD Winter Steelhead,WILD Winter-Late Steelhead,HATCHERY Summer Steelhead,HATCHERY Winter Steelhead
011,052,032,002
011,056,032,002
026,063,032,002
026,063,032,002
027,063,032,002
027,063,032,002
027,064,033,002
033,064,033,002
033,064,033,002
039,064,033,002
039,064,033,002
039,064,033,002
039,064,070,002
039,064,070,002
046,064,070,002
046,064,070,002
047,064,070,002
047,064,070,002
049,064,070,002
053,064,070,002
053,064,070,002
060,064,070,002
060,064,070,002
060,064,070,002
060,064,070,002
060,064,070,002
060,067,070,002
061,067,070,002
061,067,070,002
062,067,070,002
063,067,070,002
063,067,070,002
067,067,070,002
067,068,070,002
067,068,070,002
067,068,070,002
067,068,070,002
070,070,070,002
070,070,070,002
070,070,070,002
070,070,070,002
071,070,070,002
074,070,070,002
074,071,070,002
074,071,070,002
081,071,070,002
081,071,070,002
081,071,070,002
081,071,070,002
081,074,070,002
081,075,070,002
081,075,070,002
081,075,070,003
081,075,070,003
081,076,070,003
081,076,070,003
081,076,070,003
081,080,070,003
081,080,070,003
081,080,070,003
081,080,070,003
082,080,070,003
082,080,070,003
082,080,070,003
082,080,070,003
082,080,070,003
082,080,070,003
082,080,070,003
082,081,070,003
084,081,070,003
084,081,070,003
084,081,070,003
084,082,070,003
084,083,070,003
084,083,070,003
084,083,070,003
084,083,070,003
084,083,070,003
084,083,070,003
084,083,070,003
084,083,070,003
084,083,070,003
084,084,070,003
084,084,070,003
084,084,070,003
084,084,070,003
086,084,070,003
086,084,070,003
086,085,070,003
086,086,070,004
088,088,070,004
088,088,070,004
088,088,070,004
088,088,070,004
088,088,070,004
088,088,070,004
088,088,070,004
088,088,070,004
089,088,070,004
089,088,070,004
090,088,070,004
090,088,070,004
090,088,070,004
090,088,070,004
090,088,070,004
090,088,070,004
091,088,070,004
091,088,070,004
091,088,070,004
091,088,070,004
091,088,070,004
091,088,070,004
091,088,121,004
091,088,128,005
095,088,134,005
095,088,142,005
095,088,142,005
095,088,142,005
