WILD Spring Chinook,HATCHERY Spring Chinook,WILD Summer Steelhead,HATCHERY Summer Steelhead
123,123,078,060
123,124,078,061
124,124,080,068
124,124,080,068
124,125,080,068
124,125,080,068
124,126,082,068
124,126,083,070
124,126,083,070
124,126,083,070
124,126,084,070
125,127,084,074
126,129,085,074
126,130,085,074
126,130,085,074
126,130,085,074
126,130,086,074
126,130,086,074
126,131,086,075
126,131,087,075
126,131,087,076
126,131,087,076
126,131,087,077
126,131,087,077
126,131,087,077
126,131,087,077
127,131,087,078
128,131,087,078
128,132,087,079
130,132,087,080
130,132,087,081
130,132,087,081
130,132,087,081
130,132,087,081
130,132,087,081
130,132,087,081
130,132,087,081
130,132,087,081
130,132,087,081
131,132,087,081
131,132,087,081
131,132,087,081
131,132,087,081
131,132,087,081
131,132,087,081
131,132,087,081
131,132,087,081
131,132,087,082
131,132,087,083
131,132,087,083
131,132,087,083
131,132,087,083
131,133,088,083
131,133,088,083
131,133,088,083
131,133,088,083
131,133,088,083
131,133,088,084
131,133,088,084
131,133,088,085
131,133,088,085
131,133,088,085
131,133,088,085
131,133,088,085
131,133,088,085
132,133,088,086
132,133,088,086
132,133,088,086
132,133,088,086
132,134,088,086
132,134,088,086
132,134,088,086
132,134,088,086
132,134,088,087
132,134,088,087
132,134,088,087
132,134,088,088
132,134,089,088
132,134,089,088
132,134,089,088
132,134,089,088
132,134,089,088
132,134,089,088
132,134,089,088
132,134,089,088
132,134,089,089
132,134,089,089
132,134,089,089
132,135,089,089
132,135,089,089
132,135,089,089
132,135,089,089
132,135,089,089
132,135,089,089
132,135,089,089
133,135,089,089
133,135,089,089
133,135,089,089
133,135,089,089
133,135,089,090
133,135,089,090
133,135,089,090
133,135,089,090
133,135,089,090
133,135,089,090
133,135,089,090
133,135,089,090
133,136,089,090
133,136,089,090
133,136,089,090
133,136,089,090
133,137,089,090
133,137,089,090
133,137,089,090
133,137,090,091
133,137,090,091
133,137,091,091
134,137,091,091
134,137,091,091
134,137,091,091
134,137,091,091
134,137,091,091
134,137,091,092
134,137,091,092
134,137,091,092
134,137,091,092
134,137,091,092
135,137,091,092
135,137,091,092
135,137,091,092
135,137,091,092
136,137,091,092
136,137,091,092
136,137,091,092
136,137,092,092
136,137,092,092
136,137,092,092
137,137,092,092
137,137,092,092
137,137,092,092
137,137,092,092
137,137,092,092
137,137,092,092
137,137,092,092
137,137,092,092
137,137,092,092
137,137,092,092
138,137,092,092
138,138,092,092
138,138,092,093
138,138,092,093
138,138,093,093
138,138,093,093
138,138,093,093
138,138,093,093
138,138,093,093
138,138,093,093
138,139,093,093
139,139,093,093
139,139,093,093
139,139,093,093
139,139,093,093
139,139,093,093
139,139,093,093
139,139,093,093
139,139,093,093
139,139,093,093
139,139,093,093
139,139,093,093
139,139,093,093
139,139,093,093
139,139,093,094
139,139,094,094
139,139,094,094
139,139,094,094
139,139,094,094
139,140,094,094
139,140,094,094
139,140,094,094
139,140,094,094
139,140,094,094
139,140,094,094
139,140,094,094
139,140,094,094
139,140,094,094
139,140,094,094
139,140,094,094
139,140,094,094
139,140,094,094
139,140,094,095
139,140,094,095
139,140,094,095
139,140,094,095
139,140,094,095
139,140,094,095
139,140,094,095
139,140,094,095
139,140,094,095
139,140,094,095
139,140,094,095
139,140,094,095
139,140,094,095
139,140,094,095
139,140,094,095
139,140,095,095
139,140,095,096
139,140,095,096
140,140,095,096
140,140,095,096
140,140,095,096
140,140,095,096
140,140,095,096
140,140,095,097
140,141,095,097
140,141,095,097
140,141,095,097
140,141,095,097
140,141,095,097
140,141,095,097
140,141,095,097
140,141,095,097
140,141,095,098
140,141,095,098
140,141,096,098
140,141,096,098
140,141,096,098
140,141,096,098
140,141,096,098
140,141,096,098
140,141,096,099
141,141,096,099
141,141,096,099
141,141,097,099
141,141,097,099
141,141,097,099
141,141,097,099
141,141,097,100
141,141,097,100
141,141,097,100
141,142,097,100
141,142,097,100
141,142,097,100
141,142,097,100
141,142,097,100
141,142,098,100
141,142,098,100
141,142,098,100
141,142,098,100
142,142,098,101
142,142,098,101
142,142,098,101
142,142,098,101
142,142,099,101
142,142,099,101
142,142,099,101
142,142,099,101
142,142,100,101
142,142,100,101
142,142,100,101
142,142,100,101
142,142,100,101
142,142,100,101
142,142,100,101
142,142,100,101
142,142,100,101
142,142,100,101
142,142,100,101
142,142,100,101
142,142,100,102
142,142,100,102
142,142,100,102
142,142,100,102
142,142,100,102
143,142,100,102
143,142,100,102
143,142,101,102
143,142,101,102
143,142,101,102
143,142,101,102
143,143,101,102
143,143,101,102
143,143,101,102
143,143,101,102
143,143,101,102
143,143,101,102
143,143,101,102
143,143,101,102
143,143,101,102
143,143,101,102
143,143,101,102
143,143,101,102
143,143,101,103
144,143,101,103
144,143,101,103
144,143,101,103
144,143,101,103
144,143,101,103
144,143,101,103
144,143,101,103
144,143,101,103
144,143,101,103
144,143,101,103
144,143,101,103
144,144,101,103
144,144,101,103
144,144,101,103
144,144,101,103
144,144,101,103
144,144,101,104
144,144,101,104
144,144,101,104
144,144,102,104
144,144,102,104
144,144,102,104
144,144,102,104
144,144,102,104
144,144,102,104
144,144,102,104
144,144,102,104
144,144,102,104
145,144,102,104
145,144,102,104
145,144,102,105
145,144,102,105
145,144,102,105
145,144,102,105
145,144,102,105
146,144,103,105
146,144,103,106
146,144,103,106
147,144,103,106
147,144,103,106
147,144,103,106
147,144,103,106
147,144,103,107
147,144,103,107
148,144,103,107
148,144,103,107
148,144,103,107
148,144,103,107
148,144,103,107
148,145,103,107
149,145,103,107
149,145,103,107
149,145,103,108
149,145,103,108
149,145,103,108
149,145,103,108
149,145,103,108
149,145,103,108
149,145,103,108
149,145,103,108
150,145,103,108
150,145,103,108
150,145,103,108
150,145,103,108
150,145,103,108
150,145,103,108
150,145,103,108
150,145,103,108
150,145,103,108
150,145,103,108
150,146,103,108
150,146,103,108
150,146,103,108
150,146,103,108
150,146,103,108
150,146,103,108
150,146,103,108
150,146,103,109
150,146,103,109
150,146,103,109
150,146,103,109
151,146,103,109
151,146,103,109
151,146,103,109
151,146,103,109
151,146,103,110
151,146,104,110
151,146,104,110
151,147,104,110
151,147,104,110
151,147,105,110
151,147,105,110
152,147,105,110
152,147,105,110
152,147,106,110
152,147,106,110
152,147,106,110
152,148,106,110
152,148,106,110
152,148,107,110
152,148,107,111
152,148,107,111
152,148,107,111
152,148,107,111
152,148,107,111
153,148,107,111
153,148,107,111
153,148,107,111
153,148,107,111
153,148,107,111
153,148,107,111
153,148,107,112
153,148,107,112
153,148,107,112
153,148,107,112
153,148,108,112
154,148,108,112
154,148,108,112
154,148,108,112
154,148,108,112
154,148,108,112
154,148,108,112
154,148,108,112
154,149,108,112
154,149,108,112
154,149,108,112
154,149,108,112
155,149,109,112
155,149,109,112
155,149,109,112
155,149,109,112
155,149,109,112
156,149,109,112
156,149,109,112
156,149,109,112
156,149,109,112
156,149,109,112
156,149,109,112
156,149,109,112
156,149,109,112
157,149,109,112
157,149,109,112
157,149,109,112
157,149,109,112
157,149,109,112
157,149,109,112
157,149,110,112
157,149,110,112
157,149,110,112
157,150,110,112
157,150,110,113
158,150,110,113
158,150,110,113
158,150,110,113
158,150,110,113
